     0: >>> E[0:00:00]-R[?]: Return=   -0.0076, Steps= 8.6, Features = 16
   788: E[0:00:06]-R[0:00:09]: Return=     0.993, Steps=   8, Features = 16
   928: E[0:00:07]-R[0:00:08]: Return=     0.987, Steps=  14, Features = 16
  1066: E[0:00:08]-R[0:00:07]: Return=     0.997, Steps=   4, Features = 16
  1192: E[0:00:09]-R[0:00:06]: Return=     0.997, Steps=   4, Features = 16
  1330: E[0:00:10]-R[0:00:05]: Return=     0.989, Steps=  12, Features = 16
  1468: E[0:00:11]-R[0:00:04]: Return=     0.997, Steps=   4, Features = 16
  1612: E[0:00:12]-R[0:00:03]: Return=     0.991, Steps=  10, Features = 16
  1750: E[0:00:13]-R[0:00:02]: Return=    -1.005, Steps=   6, Features = 16
  1888: E[0:00:14]-R[0:00:01]: Return=     0.993, Steps=   8, Features = 16
  2000: >>> E[0:00:15]-R[0:00:00]: Return=    0.9954, Steps= 5.6, Features = 16
Total Experiment Duration 0:00:15
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=   -0.0076, Steps= 8.6, Features = 16
   100: E[0:00:01]-R[0:00:14]: Return=     0.995, Steps=   6, Features = 16
   228: E[0:00:02]-R[0:00:13]: Return=     0.997, Steps=   4, Features = 16
   364: E[0:00:03]-R[0:00:12]: Return=     0.995, Steps=   6, Features = 16
   502: E[0:00:04]-R[0:00:11]: Return=     0.993, Steps=   8, Features = 16
   640: E[0:00:05]-R[0:00:10]: Return=     0.995, Steps=   6, Features = 16
   780: E[0:00:06]-R[0:00:09]: Return=     0.991, Steps=  10, Features = 16
   910: E[0:00:07]-R[0:00:08]: Return=     0.995, Steps=   6, Features = 16
  1050: E[0:00:08]-R[0:00:07]: Return=     0.993, Steps=   8, Features = 16
  1184: E[0:00:09]-R[0:00:06]: Return=     0.997, Steps=   4, Features = 16
  1318: E[0:00:10]-R[0:00:05]: Return=     0.997, Steps=   4, Features = 16
  1452: E[0:00:11]-R[0:00:04]: Return=     0.987, Steps=  14, Features = 16
  1588: E[0:00:12]-R[0:00:03]: Return=     0.989, Steps=  12, Features = 16
  1724: E[0:00:13]-R[0:00:02]: Return=     0.995, Steps=   6, Features = 16
  1862: E[0:00:14]-R[0:00:01]: Return=     0.997, Steps=   4, Features = 16
  1998: E[0:00:15]-R[0:00:00]: Return=     0.997, Steps=   4, Features = 16
  2000: >>> E[0:00:15]-R[0:00:00]: Return=    0.9954, Steps= 5.6, Features = 16
Total Experiment Duration 0:00:15
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=   -0.0076, Steps= 8.6, Features = 16
   106: E[0:00:01]-R[0:00:13]: Return=     0.995, Steps=   6, Features = 16
   240: E[0:00:02]-R[0:00:13]: Return=     0.993, Steps=   8, Features = 16
   382: E[0:00:03]-R[0:00:12]: Return=     0.995, Steps=   6, Features = 16
   526: E[0:00:04]-R[0:00:11]: Return=     0.997, Steps=   4, Features = 16
   668: E[0:00:05]-R[0:00:10]: Return=     0.997, Steps=   4, Features = 16
   812: E[0:00:06]-R[0:00:09]: Return=     0.993, Steps=   8, Features = 16
   952: E[0:00:07]-R[0:00:08]: Return=     0.983, Steps=  18, Features = 16
  1092: E[0:00:08]-R[0:00:07]: Return=     0.993, Steps=   8, Features = 16
  1230: E[0:00:09]-R[0:00:06]: Return=     0.995, Steps=   6, Features = 16
  1368: E[0:00:10]-R[0:00:05]: Return=     0.995, Steps=   6, Features = 16
  1504: E[0:00:11]-R[0:00:04]: Return=     0.997, Steps=   4, Features = 16
  1638: E[0:00:12]-R[0:00:03]: Return=     0.997, Steps=   4, Features = 16
  1778: E[0:00:13]-R[0:00:02]: Return=    -1.007, Steps=   8, Features = 16
  1916: E[0:00:14]-R[0:00:01]: Return=     0.991, Steps=  10, Features = 16
  2000: >>> E[0:00:15]-R[0:00:00]: Return=    0.9954, Steps= 5.6, Features = 16
Total Experiment Duration 0:00:15
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=    0.5796, Steps=21.4, Features = 16
    80: E[0:00:01]-R[0:00:14]: Return=     0.998, Steps=   3, Features = 16
   203: E[0:00:02]-R[0:00:14]: Return=     0.998, Steps=   3, Features = 16
   333: E[0:00:03]-R[0:00:13]: Return=      0.99, Steps=  11, Features = 16
   465: E[0:00:04]-R[0:00:12]: Return=     0.994, Steps=   7, Features = 16
   607: E[0:00:05]-R[0:00:11]: Return=     0.978, Steps=  23, Features = 16
   738: E[0:00:06]-R[0:00:10]: Return=     0.982, Steps=  19, Features = 16
   870: E[0:00:07]-R[0:00:09]: Return=     0.998, Steps=   3, Features = 16
   994: E[0:00:08]-R[0:00:08]: Return=     0.994, Steps=   7, Features = 16
  1126: E[0:00:09]-R[0:00:07]: Return=     0.998, Steps=   3, Features = 16
  1258: E[0:00:10]-R[0:00:06]: Return=     0.998, Steps=   3, Features = 16
  1386: E[0:00:11]-R[0:00:05]: Return=     0.996, Steps=   5, Features = 16
  1516: E[0:00:12]-R[0:00:04]: Return=     0.992, Steps=   9, Features = 16
  1641: E[0:00:13]-R[0:00:03]: Return=     0.992, Steps=   9, Features = 16
  1769: E[0:00:14]-R[0:00:02]: Return=     0.992, Steps=   9, Features = 16
  1903: E[0:00:15]-R[0:00:01]: Return=     0.996, Steps=   5, Features = 16
  2000: >>> E[0:00:16]-R[0:00:00]: Return=    0.9972, Steps= 3.8, Features = 16
Total Experiment Duration 0:00:16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=    0.1938, Steps= 7.2, Features = 16
    72: E[0:00:01]-R[0:00:19]: Return=    -1.017, Steps=  18, Features = 16
   173: E[0:00:02]-R[0:00:18]: Return=     0.996, Steps=   5, Features = 16
   279: E[0:00:03]-R[0:00:17]: Return=     0.998, Steps=   3, Features = 16
   380: E[0:00:04]-R[0:00:16]: Return=     0.994, Steps=   7, Features = 16
   475: E[0:00:05]-R[0:00:15]: Return=      0.99, Steps=  11, Features = 16
   582: E[0:00:06]-R[0:00:14]: Return=    -1.011, Steps=  12, Features = 16
   678: E[0:00:07]-R[0:00:13]: Return=    -1.003, Steps=   4, Features = 16
   783: E[0:00:08]-R[0:00:12]: Return=     0.992, Steps=   9, Features = 16
   882: E[0:00:09]-R[0:00:11]: Return=         1, Steps=   1, Features = 16
   988: E[0:00:10]-R[0:00:10]: Return=         1, Steps=   1, Features = 16
  1081: E[0:00:11]-R[0:00:09]: Return=     0.996, Steps=   5, Features = 16
  1173: E[0:00:12]-R[0:00:08]: Return=     0.998, Steps=   3, Features = 16
  1273: E[0:00:13]-R[0:00:07]: Return=     0.998, Steps=   3, Features = 16
  1382: E[0:00:14]-R[0:00:06]: Return=     0.996, Steps=   5, Features = 16
  1486: E[0:00:15]-R[0:00:05]: Return=         1, Steps=   1, Features = 16
  1581: E[0:00:16]-R[0:00:04]: Return=         1, Steps=   1, Features = 16
  1674: E[0:00:17]-R[0:00:03]: Return=     0.998, Steps=   3, Features = 16
  1780: E[0:00:18]-R[0:00:02]: Return=      0.99, Steps=  11, Features = 16
  1868: E[0:00:19]-R[0:00:01]: Return=     0.998, Steps=   3, Features = 16
  1982: E[0:00:20]-R[0:00:00]: Return=      0.99, Steps=  11, Features = 16
  2000: >>> E[0:00:20]-R[0:00:00]: Return=    0.9994, Steps= 1.6, Features = 16
Total Experiment Duration 0:00:20
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=    0.5934, Steps= 7.6, Features = 16
   105: E[0:00:01]-R[0:00:15]: Return=    -1.021, Steps=  22, Features = 16
   164: E[0:00:02]-R[0:00:22]: Return=    -1.011, Steps=  12, Features = 16
   264: E[0:00:03]-R[0:00:20]: Return=         1, Steps=   1, Features = 16
   387: E[0:00:04]-R[0:00:17]: Return=         1, Steps=   1, Features = 16
   495: E[0:00:05]-R[0:00:15]: Return=      0.99, Steps=  11, Features = 16
   609: E[0:00:06]-R[0:00:14]: Return=     0.996, Steps=   5, Features = 16
   721: E[0:00:07]-R[0:00:12]: Return=         1, Steps=   1, Features = 16
   837: E[0:00:08]-R[0:00:11]: Return=    -1.035, Steps=  36, Features = 16
   945: E[0:00:09]-R[0:00:10]: Return=         1, Steps=   1, Features = 16
  1063: E[0:00:10]-R[0:00:09]: Return=     0.988, Steps=  13, Features = 16
  1170: E[0:00:11]-R[0:00:08]: Return=     0.996, Steps=   5, Features = 16
  1273: E[0:00:12]-R[0:00:07]: Return=         1, Steps=   1, Features = 16
  1388: E[0:00:13]-R[0:00:06]: Return=     0.992, Steps=   9, Features = 16
  1472: E[0:00:14]-R[0:00:05]: Return=     0.996, Steps=   5, Features = 16
  1549: E[0:00:15]-R[0:00:04]: Return=         1, Steps=   1, Features = 16
  1656: E[0:00:16]-R[0:00:03]: Return=         1, Steps=   1, Features = 16
  1764: E[0:00:17]-R[0:00:02]: Return=     0.994, Steps=   7, Features = 16
  1877: E[0:00:18]-R[0:00:01]: Return=         1, Steps=   1, Features = 16
  1987: E[0:00:19]-R[0:00:00]: Return=    -1.001, Steps=   2, Features = 16
  2000: >>> E[0:00:20]-R[0:00:00]: Return=    0.9988, Steps= 2.2, Features = 16
Total Experiment Duration 0:00:20
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=    -0.601, Steps= 2.0, Features = 16
    43: E[0:00:00]-R[0:00:21]: Return=     0.994, Steps=   7, Features = 16
   156: E[0:00:01]-R[0:00:18]: Return=     0.994, Steps=   7, Features = 16
   281: E[0:00:03]-R[0:00:15]: Return=     0.994, Steps=   7, Features = 16
   406: E[0:00:04]-R[0:00:14]: Return=     0.992, Steps=   9, Features = 16
   488: E[0:00:05]-R[0:00:15]: Return=     0.992, Steps=   9, Features = 16
   605: E[0:00:06]-R[0:00:13]: Return=     0.998, Steps=   3, Features = 16
   723: E[0:00:07]-R[0:00:12]: Return=     0.998, Steps=   3, Features = 16
   844: E[0:00:08]-R[0:00:11]: Return=     0.998, Steps=   3, Features = 16
   969: E[0:00:09]-R[0:00:09]: Return=    -1.002, Steps=   3, Features = 16
  1088: E[0:00:10]-R[0:00:08]: Return=     0.996, Steps=   5, Features = 16
  1161: E[0:00:11]-R[0:00:08]: Return=     0.994, Steps=   7, Features = 16
  1279: E[0:00:12]-R[0:00:07]: Return=     0.998, Steps=   3, Features = 16
  1402: E[0:00:13]-R[0:00:06]: Return=     0.996, Steps=   5, Features = 16
  1529: E[0:00:14]-R[0:00:04]: Return=     0.988, Steps=  13, Features = 16
  1656: E[0:00:15]-R[0:00:03]: Return=     0.996, Steps=   5, Features = 16
  1757: E[0:00:16]-R[0:00:02]: Return=     0.998, Steps=   3, Features = 16
  1851: E[0:00:17]-R[0:00:01]: Return=     0.998, Steps=   3, Features = 16
  1972: E[0:00:18]-R[0:00:00]: Return=     0.998, Steps=   3, Features = 16
  2000: >>> E[0:00:18]-R[0:00:00]: Return=    0.5966, Steps= 4.4, Features = 16
Total Experiment Duration 0:00:18
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=     0.185, Steps=16.0, Features = 16
   101: E[0:00:01]-R[0:00:14]: Return=     0.976, Steps=  25, Features = 16
   228: E[0:00:02]-R[0:00:14]: Return=     0.994, Steps=   7, Features = 16
   352: E[0:00:03]-R[0:00:14]: Return=     0.974, Steps=  27, Features = 16
   439: E[0:00:04]-R[0:00:14]: Return=    -1.007, Steps=   8, Features = 16
   579: E[0:00:05]-R[0:00:13]: Return=     0.988, Steps=  13, Features = 16
   718: E[0:00:06]-R[0:00:11]: Return=    -1.003, Steps=   4, Features = 16
   851: E[0:00:07]-R[0:00:10]: Return=     0.992, Steps=   9, Features = 16
   981: E[0:00:08]-R[0:00:09]: Return=     0.996, Steps=   5, Features = 16
  1103: E[0:00:09]-R[0:00:07]: Return=     0.992, Steps=   9, Features = 16
  1244: E[0:00:10]-R[0:00:06]: Return=      0.98, Steps=  21, Features = 16
  1384: E[0:00:11]-R[0:00:05]: Return=     0.994, Steps=   7, Features = 16
  1527: E[0:00:12]-R[0:00:04]: Return=     0.992, Steps=   9, Features = 16
  1672: E[0:00:13]-R[0:00:03]: Return=      0.99, Steps=  11, Features = 16
  1777: E[0:00:14]-R[0:00:02]: Return=     0.996, Steps=   5, Features = 16
  1904: E[0:00:15]-R[0:00:01]: Return=     0.994, Steps=   7, Features = 16
  2000: >>> E[0:00:16]-R[0:00:00]: Return=    0.9936, Steps= 7.4, Features = 16
Total Experiment Duration 0:00:16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=   -0.2072, Steps= 8.2, Features = 16
    87: E[0:00:01]-R[0:00:15]: Return=     0.993, Steps=   8, Features = 16
   213: E[0:00:02]-R[0:00:14]: Return=     0.995, Steps=   6, Features = 16
   337: E[0:00:03]-R[0:00:13]: Return=     0.995, Steps=   6, Features = 16
   470: E[0:00:04]-R[0:00:13]: Return=     0.987, Steps=  14, Features = 16
   552: E[0:00:05]-R[0:00:13]: Return=     0.995, Steps=   6, Features = 16
   685: E[0:00:06]-R[0:00:11]: Return=     0.993, Steps=   8, Features = 16
   811: E[0:00:07]-R[0:00:10]: Return=     0.997, Steps=   4, Features = 16
   943: E[0:00:08]-R[0:00:09]: Return=     0.993, Steps=   8, Features = 16
  1021: E[0:00:09]-R[0:00:09]: Return=     0.995, Steps=   6, Features = 16
  1141: E[0:00:10]-R[0:00:08]: Return=     0.997, Steps=   4, Features = 16
  1275: E[0:00:11]-R[0:00:06]: Return=     0.991, Steps=  10, Features = 16
  1407: E[0:00:12]-R[0:00:05]: Return=     0.989, Steps=  12, Features = 16
  1515: E[0:00:13]-R[0:00:04]: Return=     0.997, Steps=   4, Features = 16
  1609: E[0:00:14]-R[0:00:03]: Return=     0.995, Steps=   6, Features = 16
  1739: E[0:00:15]-R[0:00:02]: Return=     0.991, Steps=  10, Features = 16
  1869: E[0:00:16]-R[0:00:01]: Return=     0.995, Steps=   6, Features = 16
  1997: E[0:00:17]-R[0:00:00]: Return=     0.995, Steps=   6, Features = 16
  2000: >>> E[0:00:17]-R[0:00:00]: Return=    0.9966, Steps= 4.4, Features = 16
Total Experiment Duration 0:00:17
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=    0.9964, Steps= 4.6, Features = 16
    49: E[0:00:01]-R[0:00:28]: Return=     0.998, Steps=   3, Features = 16
   122: E[0:00:02]-R[0:00:27]: Return=     0.994, Steps=   7, Features = 16
   222: E[0:00:03]-R[0:00:22]: Return=         1, Steps=   1, Features = 16
   317: E[0:00:04]-R[0:00:20]: Return=         1, Steps=   1, Features = 16
   413: E[0:00:05]-R[0:00:18]: Return=         1, Steps=   1, Features = 16
   513: E[0:00:06]-R[0:00:17]: Return=     0.998, Steps=   3, Features = 16
   599: E[0:00:07]-R[0:00:16]: Return=     0.998, Steps=   3, Features = 16
   675: E[0:00:08]-R[0:00:15]: Return=      0.99, Steps=  11, Features = 16
   766: E[0:00:09]-R[0:00:14]: Return=     0.998, Steps=   3, Features = 16
   873: E[0:00:10]-R[0:00:13]: Return=     0.988, Steps=  13, Features = 16
   981: E[0:00:11]-R[0:00:11]: Return=     0.998, Steps=   3, Features = 16
  1029: E[0:00:12]-R[0:00:11]: Return=         1, Steps=   1, Features = 16
  1124: E[0:00:13]-R[0:00:10]: Return=         1, Steps=   1, Features = 16
  1220: E[0:00:14]-R[0:00:09]: Return=     0.996, Steps=   5, Features = 16
  1322: E[0:00:15]-R[0:00:08]: Return=     0.996, Steps=   5, Features = 16
  1378: E[0:00:16]-R[0:00:07]: Return=         1, Steps=   1, Features = 16
  1458: E[0:00:17]-R[0:00:06]: Return=     0.996, Steps=   5, Features = 16
  1562: E[0:00:18]-R[0:00:05]: Return=         1, Steps=   1, Features = 16
  1662: E[0:00:19]-R[0:00:04]: Return=     0.996, Steps=   5, Features = 16
  1763: E[0:00:20]-R[0:00:03]: Return=     0.998, Steps=   3, Features = 16
  1814: E[0:00:21]-R[0:00:02]: Return=         1, Steps=   1, Features = 16
  1915: E[0:00:22]-R[0:00:01]: Return=     0.998, Steps=   3, Features = 16
  2000: >>> E[0:00:23]-R[0:00:00]: Return=    0.9976, Steps= 3.4, Features = 16
Total Experiment Duration 0:00:23
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=    -0.209, Steps=10.0, Features = 16
    94: E[0:00:01]-R[0:00:14]: Return=    -1.015, Steps=  16, Features = 16
   220: E[0:00:02]-R[0:00:14]: Return=     0.999, Steps=   2, Features = 16
   340: E[0:00:03]-R[0:00:14]: Return=     0.985, Steps=  16, Features = 16
   406: E[0:00:04]-R[0:00:15]: Return=     0.973, Steps=  28, Features = 16
   524: E[0:00:05]-R[0:00:14]: Return=     0.991, Steps=  10, Features = 16
   638: E[0:00:06]-R[0:00:12]: Return=     0.999, Steps=   2, Features = 16
   760: E[0:00:07]-R[0:00:11]: Return=     0.999, Steps=   2, Features = 16
   894: E[0:00:08]-R[0:00:10]: Return=     0.981, Steps=  20, Features = 16
   966: E[0:00:09]-R[0:00:10]: Return=     0.989, Steps=  12, Features = 16
  1088: E[0:00:10]-R[0:00:08]: Return=     0.999, Steps=   2, Features = 16
  1198: E[0:00:11]-R[0:00:07]: Return=     0.999, Steps=   2, Features = 16
  1318: E[0:00:12]-R[0:00:06]: Return=     0.993, Steps=   8, Features = 16
  1442: E[0:00:13]-R[0:00:05]: Return=     0.993, Steps=   8, Features = 16
  1546: E[0:00:14]-R[0:00:04]: Return=     0.997, Steps=   4, Features = 16
  1644: E[0:00:15]-R[0:00:03]: Return=     0.997, Steps=   4, Features = 16
  1768: E[0:00:16]-R[0:00:02]: Return=     0.995, Steps=   6, Features = 16
  1890: E[0:00:17]-R[0:00:01]: Return=     0.997, Steps=   4, Features = 16
  2000: >>> E[0:00:18]-R[0:00:00]: Return=    0.9986, Steps= 2.4, Features = 16
Total Experiment Duration 0:00:18
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=   -0.4056, Steps= 6.6, Features = 16
    64: E[0:00:01]-R[0:00:24]: Return=     0.975, Steps=  26, Features = 16
   180: E[0:00:02]-R[0:00:18]: Return=     0.999, Steps=   2, Features = 16
   312: E[0:00:03]-R[0:00:16]: Return=     0.987, Steps=  14, Features = 16
   430: E[0:00:04]-R[0:00:14]: Return=     0.999, Steps=   2, Features = 16
   526: E[0:00:05]-R[0:00:14]: Return=     0.999, Steps=   2, Features = 16
   626: E[0:00:06]-R[0:00:13]: Return=     0.997, Steps=   4, Features = 16
   754: E[0:00:07]-R[0:00:11]: Return=     0.997, Steps=   4, Features = 16
   888: E[0:00:08]-R[0:00:10]: Return=     0.983, Steps=  18, Features = 16
  1020: E[0:00:09]-R[0:00:09]: Return=     0.993, Steps=   8, Features = 16
  1104: E[0:00:10]-R[0:00:08]: Return=     0.997, Steps=   4, Features = 16
  1204: E[0:00:11]-R[0:00:07]: Return=    -1.003, Steps=   4, Features = 16
  1326: E[0:00:12]-R[0:00:06]: Return=     0.999, Steps=   2, Features = 16
  1458: E[0:00:13]-R[0:00:05]: Return=     0.989, Steps=  12, Features = 16
  1532: E[0:00:14]-R[0:00:04]: Return=     0.999, Steps=   2, Features = 16
  1646: E[0:00:15]-R[0:00:03]: Return=     0.997, Steps=   4, Features = 16
  1772: E[0:00:16]-R[0:00:02]: Return=     0.997, Steps=   4, Features = 16
  1888: E[0:00:17]-R[0:00:01]: Return=     0.991, Steps=  10, Features = 16
  2000: >>> E[0:00:18]-R[0:00:00]: Return=    0.9984, Steps= 2.6, Features = 16
Total Experiment Duration 0:00:18
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=    0.7922, Steps= 8.8, Features = 16
    87: E[0:00:01]-R[0:00:15]: Return=     0.996, Steps=   5, Features = 16
   212: E[0:00:02]-R[0:00:15]: Return=     0.992, Steps=   9, Features = 16
   327: E[0:00:03]-R[0:00:14]: Return=     0.996, Steps=   5, Features = 16
   426: E[0:00:04]-R[0:00:14]: Return=     0.996, Steps=   5, Features = 16
   512: E[0:00:05]-R[0:00:14]: Return=     0.998, Steps=   3, Features = 16
   635: E[0:00:06]-R[0:00:13]: Return=     0.998, Steps=   3, Features = 16
   757: E[0:00:07]-R[0:00:11]: Return=     0.998, Steps=   3, Features = 16
   881: E[0:00:08]-R[0:00:10]: Return=     0.978, Steps=  23, Features = 16
   951: E[0:00:09]-R[0:00:10]: Return=      0.99, Steps=  11, Features = 16
  1071: E[0:00:10]-R[0:00:09]: Return=     0.998, Steps=   3, Features = 16
  1200: E[0:00:11]-R[0:00:07]: Return=     0.996, Steps=   5, Features = 16
  1323: E[0:00:12]-R[0:00:06]: Return=     0.998, Steps=   3, Features = 16
  1446: E[0:00:13]-R[0:00:05]: Return=     0.998, Steps=   3, Features = 16
  1523: E[0:00:14]-R[0:00:04]: Return=     0.996, Steps=   5, Features = 16
  1652: E[0:00:15]-R[0:00:03]: Return=     0.988, Steps=  13, Features = 16
  1778: E[0:00:16]-R[0:00:02]: Return=     0.996, Steps=   5, Features = 16
  1910: E[0:00:17]-R[0:00:01]: Return=     0.992, Steps=   9, Features = 16
  2000: >>> E[0:00:18]-R[0:00:00]: Return=    0.9972, Steps= 3.8, Features = 16
Total Experiment Duration 0:00:18
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=    -0.209, Steps=10.0, Features = 16
    93: E[0:00:01]-R[0:00:14]: Return=    -1.036, Steps=  37, Features = 16
   227: E[0:00:02]-R[0:00:14]: Return=     0.982, Steps=  19, Features = 16
   345: E[0:00:03]-R[0:00:14]: Return=     0.996, Steps=   5, Features = 16
   429: E[0:00:04]-R[0:00:14]: Return=     0.996, Steps=   5, Features = 16
   541: E[0:00:05]-R[0:00:13]: Return=     0.998, Steps=   3, Features = 16
   663: E[0:00:06]-R[0:00:12]: Return=     0.998, Steps=   3, Features = 16
   789: E[0:00:07]-R[0:00:11]: Return=     0.994, Steps=   7, Features = 16
   908: E[0:00:08]-R[0:00:10]: Return=    -1.006, Steps=   7, Features = 16
  1022: E[0:00:09]-R[0:00:09]: Return=        -1, Steps=   1, Features = 16
  1144: E[0:00:10]-R[0:00:07]: Return=     0.996, Steps=   5, Features = 16
  1270: E[0:00:11]-R[0:00:06]: Return=    -1.004, Steps=   5, Features = 16
  1396: E[0:00:12]-R[0:00:05]: Return=     0.984, Steps=  17, Features = 16
  1518: E[0:00:13]-R[0:00:04]: Return=     0.994, Steps=   7, Features = 16
  1643: E[0:00:14]-R[0:00:03]: Return=     0.992, Steps=   9, Features = 16
  1762: E[0:00:15]-R[0:00:02]: Return=     0.998, Steps=   3, Features = 16
  1882: E[0:00:16]-R[0:00:01]: Return=        -1, Steps=   1, Features = 16
  2000: E[0:00:17]-R[0:00:00]: Return=    -1.004, Steps=   5, Features = 16
  2000: >>> E[0:00:17]-R[0:00:00]: Return=     0.598, Steps= 3.0, Features = 16
Total Experiment Duration 0:00:17
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=    0.1964, Steps= 4.6, Features = 16
    93: E[0:00:01]-R[0:00:16]: Return=     0.994, Steps=   7, Features = 16
   201: E[0:00:02]-R[0:00:16]: Return=         1, Steps=   1, Features = 16
   300: E[0:00:03]-R[0:00:16]: Return=     0.998, Steps=   3, Features = 16
   413: E[0:00:04]-R[0:00:15]: Return=     0.992, Steps=   9, Features = 16
   514: E[0:00:05]-R[0:00:14]: Return=         1, Steps=   1, Features = 16
   617: E[0:00:06]-R[0:00:13]: Return=         1, Steps=   1, Features = 16
   726: E[0:00:07]-R[0:00:12]: Return=     0.996, Steps=   5, Features = 16
   832: E[0:00:08]-R[0:00:11]: Return=     0.992, Steps=   9, Features = 16
   938: E[0:00:09]-R[0:00:10]: Return=         1, Steps=   1, Features = 16
  1055: E[0:00:10]-R[0:00:09]: Return=     0.996, Steps=   5, Features = 16
  1160: E[0:00:11]-R[0:00:08]: Return=     0.996, Steps=   5, Features = 16
  1263: E[0:00:12]-R[0:00:07]: Return=      0.99, Steps=  11, Features = 16
  1373: E[0:00:13]-R[0:00:06]: Return=      0.99, Steps=  11, Features = 16
  1479: E[0:00:14]-R[0:00:05]: Return=         1, Steps=   1, Features = 16
