     0: >>> E[0:00:00]-R[?]: Return=     -0.61, Steps=11.0, Features = 16
  1090: E[0:00:14]-R[0:00:12]: Return=    -1.011, Steps=  12, Features = 16
  1206: E[0:00:15]-R[0:00:10]: Return=         1, Steps=   1, Features = 16
  1315: E[0:00:16]-R[0:00:09]: Return=    -1.003, Steps=   4, Features = 16
  1420: E[0:00:17]-R[0:00:07]: Return=    -1.003, Steps=   4, Features = 16
  1536: E[0:00:18]-R[0:00:06]: Return=    -1.013, Steps=  14, Features = 16
  1625: E[0:00:20]-R[0:00:05]: Return=     0.986, Steps=  15, Features = 16
  1721: E[0:00:21]-R[0:00:03]: Return=         1, Steps=   1, Features = 16
  1826: E[0:00:22]-R[0:00:02]: Return=    -1.001, Steps=   2, Features = 16
  1959: E[0:00:23]-R[0:00:00]: Return=      0.99, Steps=  11, Features = 16
  2000: >>> E[0:00:23]-R[0:00:00]: Return=    0.5978, Steps= 3.2, Features = 16
Total Experiment Duration 0:00:23
     1: >>> E[0:00:23]-R[12:58:43]: Return=    0.5992, Steps= 1.8, Features = 16
     1: >>> E[0:00:45]-R[1 day, 0:44:00]: Return=         1, Steps= 1.0, Features = 16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=    0.5926, Steps= 8.4, Features = 16
    31: E[0:00:00]-R[0:00:27]: Return=      0.97, Steps=  31, Features = 16
   173: E[0:00:01]-R[0:00:16]: Return=    -1.013, Steps=  14, Features = 16
   325: E[0:00:03]-R[0:00:13]: Return=    -1.015, Steps=  16, Features = 16
   434: E[0:00:04]-R[0:00:13]: Return=         1, Steps=   1, Features = 16
   544: E[0:00:05]-R[0:00:12]: Return=     0.998, Steps=   3, Features = 16
   660: E[0:00:06]-R[0:00:11]: Return=     0.994, Steps=   7, Features = 16
   786: E[0:00:07]-R[0:00:10]: Return=      0.99, Steps=  11, Features = 16
   865: E[0:00:08]-R[0:00:10]: Return=    -1.007, Steps=   8, Features = 16
   981: E[0:00:09]-R[0:00:09]: Return=         1, Steps=   1, Features = 16
  1082: E[0:00:10]-R[0:00:08]: Return=    -1.005, Steps=   6, Features = 16
  1183: E[0:00:11]-R[0:00:07]: Return=         1, Steps=   1, Features = 16
  1285: E[0:00:12]-R[0:00:07]: Return=         1, Steps=   1, Features = 16
  1387: E[0:00:13]-R[0:00:06]: Return=         1, Steps=   1, Features = 16
  1478: E[0:00:14]-R[0:00:05]: Return=         1, Steps=   1, Features = 16
  1576: E[0:00:15]-R[0:00:04]: Return=     0.982, Steps=  19, Features = 16
  1669: E[0:00:16]-R[0:00:03]: Return=    -1.025, Steps=  26, Features = 16
  1787: E[0:00:17]-R[0:00:02]: Return=     0.996, Steps=   5, Features = 16
  1888: E[0:00:18]-R[0:00:01]: Return=     0.996, Steps=   5, Features = 16
  1994: E[0:00:19]-R[0:00:00]: Return=     0.984, Steps=  17, Features = 16
  2000: >>> E[0:00:19]-R[0:00:00]: Return=    0.7937, Steps= 7.3, Features = 16
Total Experiment Duration 0:00:19
     1: >>> E[0:00:20]-R[10:53:53]: Return=    0.9992, Steps= 1.8, Features = 16
     1: >>> E[0:00:40]-R[22:27:07]: Return=    0.9996, Steps= 1.4, Features = 16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=        -1, Steps= 1.0, Features = 16
    95: E[0:00:01]-R[0:00:16]: Return=     0.986, Steps=  15, Features = 16
   208: E[0:00:02]-R[0:00:17]: Return=     0.988, Steps=  13, Features = 16
   299: E[0:00:03]-R[0:00:17]: Return=     0.994, Steps=   7, Features = 16
   439: E[0:00:04]-R[0:00:14]: Return=    -1.014, Steps=  15, Features = 16
   561: E[0:00:05]-R[0:00:13]: Return=     0.996, Steps=   5, Features = 16
   694: E[0:00:06]-R[0:00:12]: Return=     0.996, Steps=   5, Features = 16
   814: E[0:00:07]-R[0:00:10]: Return=     0.996, Steps=   5, Features = 16
   942: E[0:00:08]-R[0:00:09]: Return=     0.996, Steps=   5, Features = 16
  1014: E[0:00:09]-R[0:00:09]: Return=     0.978, Steps=  23, Features = 16
  1145: E[0:00:10]-R[0:00:08]: Return=      0.99, Steps=  11, Features = 16
  1275: E[0:00:11]-R[0:00:06]: Return=     0.996, Steps=   5, Features = 16
  1395: E[0:00:12]-R[0:00:05]: Return=     0.988, Steps=  13, Features = 16
  1518: E[0:00:13]-R[0:00:04]: Return=     0.992, Steps=   9, Features = 16
  1644: E[0:00:14]-R[0:00:03]: Return=     0.994, Steps=   7, Features = 16
  1719: E[0:00:15]-R[0:00:03]: Return=     0.998, Steps=   3, Features = 16
  1852: E[0:00:16]-R[0:00:01]: Return=     0.988, Steps=  13, Features = 16
  1977: E[0:00:17]-R[0:00:00]: Return=     0.996, Steps=   5, Features = 16
  2000: >>> E[0:00:18]-R[0:00:00]: Return=    0.7924, Steps= 8.6, Features = 16
Total Experiment Duration 0:00:18
     1: >>> E[0:00:18]-R[10:01:04]: Return=    0.7962, Steps= 4.8, Features = 16
     1: >>> E[0:00:37]-R[20:37:11]: Return=    0.5964, Steps= 4.6, Features = 16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=   -0.8077, Steps= 8.7, Features = 16
   138: E[0:00:01]-R[0:00:13]: Return=    -1.049, Steps=  50, Features = 16
   275: E[0:00:02]-R[0:00:12]: Return=    -1.003, Steps=   4, Features = 16
   393: E[0:00:03]-R[0:00:13]: Return=    -1.059, Steps=  60, Features = 16
   570: E[0:00:04]-R[0:00:11]: Return=    -1.053, Steps=  54, Features = 16
   713: E[0:00:06]-R[0:00:10]: Return=    -1.025, Steps=  26, Features = 16
   880: E[0:00:07]-R[0:00:09]: Return=     0.966, Steps=  35, Features = 16
   967: E[0:00:08]-R[0:00:08]: Return=     0.952, Steps=  49, Features = 16
  1076: E[0:00:09]-R[0:00:08]: Return=    -1.003, Steps=   4, Features = 16
  1218: E[0:00:10]-R[0:00:06]: Return=     0.986, Steps=  15, Features = 16
  1359: E[0:00:11]-R[0:00:05]: Return=     0.988, Steps=  13, Features = 16
  1493: E[0:00:12]-R[0:00:04]: Return=     0.994, Steps=   7, Features = 16
  1636: E[0:00:13]-R[0:00:03]: Return=      0.99, Steps=  11, Features = 16
  1754: E[0:00:14]-R[0:00:02]: Return=     0.986, Steps=  15, Features = 16
  1857: E[0:00:15]-R[0:00:01]: Return=    -1.013, Steps=  14, Features = 16
  2000: E[0:00:16]-R[0:00:00]: Return=     0.988, Steps=  13, Features = 16
  2000: >>> E[0:00:16]-R[0:00:00]: Return=    0.5946, Steps= 6.4, Features = 16
Total Experiment Duration 0:00:16
     1: >>> E[0:00:17]-R[9:16:12]: Return=    0.7915, Steps= 9.5, Features = 16
     1: >>> E[0:00:34]-R[18:47:19]: Return=    0.7955, Steps= 5.5, Features = 16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=     0.994, Steps= 7.0, Features = 16
    94: E[0:00:01]-R[0:00:15]: Return=     0.995, Steps=   6, Features = 16
   220: E[0:00:02]-R[0:00:15]: Return=     0.993, Steps=   8, Features = 16
   347: E[0:00:03]-R[0:00:13]: Return=    -1.002, Steps=   3, Features = 16
   416: E[0:00:04]-R[0:00:15]: Return=     0.991, Steps=  10, Features = 16
   549: E[0:00:05]-R[0:00:13]: Return=     0.995, Steps=   6, Features = 16
   679: E[0:00:06]-R[0:00:12]: Return=     0.993, Steps=   8, Features = 16
   805: E[0:00:07]-R[0:00:10]: Return=     0.995, Steps=   6, Features = 16
   899: E[0:00:08]-R[0:00:10]: Return=     0.997, Steps=   4, Features = 16
  1006: E[0:00:09]-R[0:00:09]: Return=     0.993, Steps=   8, Features = 16
  1142: E[0:00:10]-R[0:00:08]: Return=     0.997, Steps=   4, Features = 16
  1276: E[0:00:11]-R[0:00:06]: Return=     0.991, Steps=  10, Features = 16
  1407: E[0:00:12]-R[0:00:05]: Return=     0.995, Steps=   6, Features = 16
  1502: E[0:00:13]-R[0:00:04]: Return=     0.995, Steps=   6, Features = 16
  1616: E[0:00:14]-R[0:00:03]: Return=     0.993, Steps=   8, Features = 16
  1751: E[0:00:15]-R[0:00:02]: Return=     0.989, Steps=  12, Features = 16
  1893: E[0:00:16]-R[0:00:01]: Return=     0.993, Steps=   8, Features = 16
  2000: >>> E[0:00:17]-R[0:00:00]: Return=     0.994, Steps= 7.0, Features = 16
Total Experiment Duration 0:00:17
     1: >>> E[0:00:17]-R[9:38:12]: Return=    0.9952, Steps= 5.8, Features = 16
     1: >>> E[0:00:36]-R[19:46:22]: Return=    0.9954, Steps= 5.6, Features = 16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=    0.7967, Steps= 4.3, Features = 16
    75: E[0:00:01]-R[0:00:16]: Return=     0.998, Steps=   3, Features = 16
   138: E[0:00:02]-R[0:00:22]: Return=         1, Steps=   1, Features = 16
   279: E[0:00:03]-R[0:00:17]: Return=     0.984, Steps=  17, Features = 16
   407: E[0:00:04]-R[0:00:15]: Return=     0.994, Steps=   7, Features = 16
   521: E[0:00:05]-R[0:00:14]: Return=     0.996, Steps=   5, Features = 16
   639: E[0:00:06]-R[0:00:12]: Return=     0.996, Steps=   5, Features = 16
   781: E[0:00:07]-R[0:00:11]: Return=      0.98, Steps=  21, Features = 16
   902: E[0:00:08]-R[0:00:10]: Return=     0.996, Steps=   5, Features = 16
   988: E[0:00:09]-R[0:00:09]: Return=     0.994, Steps=   7, Features = 16
  1105: E[0:00:10]-R[0:00:08]: Return=     0.992, Steps=   9, Features = 16
  1239: E[0:00:11]-R[0:00:07]: Return=     0.992, Steps=   9, Features = 16
  1361: E[0:00:12]-R[0:00:06]: Return=     0.996, Steps=   5, Features = 16
  1481: E[0:00:13]-R[0:00:05]: Return=     0.998, Steps=   3, Features = 16
  1601: E[0:00:14]-R[0:00:04]: Return=     0.998, Steps=   3, Features = 16
  1719: E[0:00:15]-R[0:00:02]: Return=     0.998, Steps=   3, Features = 16
  1835: E[0:00:16]-R[0:00:01]: Return=     0.996, Steps=   5, Features = 16
  1951: E[0:00:17]-R[0:00:00]: Return=         1, Steps=   1, Features = 16
  2000: >>> E[0:00:18]-R[0:00:00]: Return=    0.7953, Steps= 5.7, Features = 16
Total Experiment Duration 0:00:18
     1: >>> E[0:00:18]-R[10:11:51]: Return=     0.998, Steps= 3.0, Features = 16
     1: >>> E[0:00:42]-R[23:24:07]: Return=         1, Steps= 1.0, Features = 16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=   -0.0068, Steps= 7.8, Features = 16
   106: E[0:00:01]-R[0:00:14]: Return=     0.987, Steps=  14, Features = 16
   208: E[0:00:02]-R[0:00:16]: Return=    -1.005, Steps=   6, Features = 16
   340: E[0:00:03]-R[0:00:14]: Return=    -1.073, Steps=  74, Features = 16
   486: E[0:00:04]-R[0:00:12]: Return=     0.961, Steps=  40, Features = 16
   724: E[0:00:06]-R[0:00:10]: Return=    -1.207, Steps= 208, Features = 16
   876: E[0:00:07]-R[0:00:09]: Return=     0.987, Steps=  14, Features = 16
  1004: E[0:00:08]-R[0:00:08]: Return=     0.999, Steps=   2, Features = 16
  1126: E[0:00:09]-R[0:00:07]: Return=     0.999, Steps=   2, Features = 16
  1240: E[0:00:10]-R[0:00:06]: Return=     0.989, Steps=  12, Features = 16
  1366: E[0:00:11]-R[0:00:05]: Return=     0.999, Steps=   2, Features = 16
  1496: E[0:00:12]-R[0:00:04]: Return=     0.999, Steps=   2, Features = 16
  1628: E[0:00:13]-R[0:00:03]: Return=     0.993, Steps=   8, Features = 16
  1716: E[0:00:14]-R[0:00:02]: Return=     0.995, Steps=   6, Features = 16
  1826: E[0:00:15]-R[0:00:01]: Return=     0.999, Steps=   2, Features = 16
  1958: E[0:00:16]-R[0:00:00]: Return=     0.993, Steps=   8, Features = 16
  2000: >>> E[0:00:17]-R[0:00:00]: Return=     0.997, Steps= 4.0, Features = 16
Total Experiment Duration 0:00:17
     1: >>> E[0:00:17]-R[9:24:04]: Return=    0.7972, Steps= 3.8, Features = 16
     1: >>> E[0:00:36]-R[19:57:49]: Return=    0.7974, Steps= 3.6, Features = 16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=    0.7926, Steps= 8.4, Features = 16
    94: E[0:00:01]-R[0:00:14]: Return=     0.929, Steps=  72, Features = 16
   240: E[0:00:02]-R[0:00:13]: Return=     0.979, Steps=  22, Features = 16
   374: E[0:00:03]-R[0:00:12]: Return=     0.993, Steps=   8, Features = 16
   462: E[0:00:04]-R[0:00:13]: Return=     0.981, Steps=  20, Features = 16
   576: E[0:00:05]-R[0:00:12]: Return=     0.995, Steps=   6, Features = 16
   710: E[0:00:06]-R[0:00:11]: Return=     0.993, Steps=   8, Features = 16
   846: E[0:00:07]-R[0:00:09]: Return=     0.989, Steps=  12, Features = 16
   986: E[0:00:08]-R[0:00:08]: Return=     0.989, Steps=  12, Features = 16
  1110: E[0:00:09]-R[0:00:07]: Return=     0.997, Steps=   4, Features = 16
  1206: E[0:00:10]-R[0:00:07]: Return=     0.989, Steps=  12, Features = 16
  1344: E[0:00:11]-R[0:00:05]: Return=     0.991, Steps=  10, Features = 16
  1482: E[0:00:12]-R[0:00:04]: Return=     0.995, Steps=   6, Features = 16
  1614: E[0:00:13]-R[0:00:03]: Return=     0.999, Steps=   2, Features = 16
  1750: E[0:00:14]-R[0:00:02]: Return=     0.975, Steps=  26, Features = 16
  1882: E[0:00:15]-R[0:00:01]: Return=     0.991, Steps=  10, Features = 16
  1988: E[0:00:16]-R[0:00:00]: Return=     0.997, Steps=   4, Features = 16
  2000: >>> E[0:00:17]-R[0:00:00]: Return=    0.9946, Steps= 6.4, Features = 16
Total Experiment Duration 0:00:17
     1: >>> E[0:00:17]-R[9:26:22]: Return=    0.5942, Steps= 6.8, Features = 16
     1: >>> E[0:00:36]-R[20:12:52]: Return=    0.7986, Steps= 2.4, Features = 16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=    0.7968, Steps= 4.2, Features = 16
    77: E[0:00:01]-R[0:00:18]: Return=     0.998, Steps=   3, Features = 16
   181: E[0:00:02]-R[0:00:18]: Return=     0.998, Steps=   3, Features = 16
   314: E[0:00:03]-R[0:00:15]: Return=     0.994, Steps=   7, Features = 16
   432: E[0:00:04]-R[0:00:14]: Return=     0.994, Steps=   7, Features = 16
   556: E[0:00:05]-R[0:00:13]: Return=     0.998, Steps=   3, Features = 16
   679: E[0:00:06]-R[0:00:11]: Return=     0.998, Steps=   3, Features = 16
   789: E[0:00:07]-R[0:00:11]: Return=     0.992, Steps=   9, Features = 16
   874: E[0:00:08]-R[0:00:10]: Return=     0.996, Steps=   5, Features = 16
  1000: E[0:00:09]-R[0:00:09]: Return=     0.996, Steps=   5, Features = 16
  1128: E[0:00:10]-R[0:00:08]: Return=     0.996, Steps=   5, Features = 16
  1254: E[0:00:11]-R[0:00:07]: Return=     0.994, Steps=   7, Features = 16
  1379: E[0:00:12]-R[0:00:05]: Return=     0.994, Steps=   7, Features = 16
  1455: E[0:00:13]-R[0:00:05]: Return=      0.99, Steps=  11, Features = 16
  1578: E[0:00:14]-R[0:00:04]: Return=     0.996, Steps=   5, Features = 16
  1707: E[0:00:15]-R[0:00:03]: Return=     0.998, Steps=   3, Features = 16
  1835: E[0:00:16]-R[0:00:01]: Return=     0.994, Steps=   7, Features = 16
  1933: E[0:00:17]-R[0:00:01]: Return=     0.998, Steps=   3, Features = 16
  2000: >>> E[0:00:18]-R[0:00:00]: Return=    0.9956, Steps= 5.4, Features = 16
Total Experiment Duration 0:00:18
     1: >>> E[0:00:18]-R[10:10:15]: Return=    0.9962, Steps= 4.8, Features = 16
     1: >>> E[0:00:37]-R[20:31:48]: Return=    0.9976, Steps= 3.4, Features = 16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=    0.1924, Steps= 8.6, Features = 16
   106: E[0:00:01]-R[0:00:14]: Return=      0.99, Steps=  11, Features = 16
   230: E[0:00:02]-R[0:00:14]: Return=    -1.004, Steps=   5, Features = 16
   355: E[0:00:03]-R[0:00:13]: Return=     0.994, Steps=   7, Features = 16
   479: E[0:00:04]-R[0:00:12]: Return=     0.996, Steps=   5, Features = 16
   594: E[0:00:05]-R[0:00:12]: Return=     0.996, Steps=   5, Features = 16
   716: E[0:00:06]-R[0:00:11]: Return=     0.998, Steps=   3, Features = 16
   846: E[0:00:07]-R[0:00:10]: Return=      0.99, Steps=  11, Features = 16
   972: E[0:00:08]-R[0:00:09]: Return=     0.996, Steps=   5, Features = 16
  1104: E[0:00:09]-R[0:00:07]: Return=     0.988, Steps=  13, Features = 16
  1232: E[0:00:10]-R[0:00:06]: Return=    -1.006, Steps=   7, Features = 16
