     0: >>> E[0:00:00]-R[?]: Return=    0.9892, Steps=11.8, Features = 16
   709: E[0:00:06]-R[0:00:11]: Return=     0.994, Steps=   7, Features = 16
   793: E[0:00:07]-R[0:00:10]: Return=     0.988, Steps=  13, Features = 16
   912: E[0:00:08]-R[0:00:09]: Return=     0.996, Steps=   5, Features = 16
  1043: E[0:00:09]-R[0:00:08]: Return=     0.998, Steps=   3, Features = 16
  1178: E[0:00:10]-R[0:00:07]: Return=     0.996, Steps=   5, Features = 16
  1307: E[0:00:11]-R[0:00:06]: Return=     0.996, Steps=   5, Features = 16
  1446: E[0:00:12]-R[0:00:05]: Return=     0.996, Steps=   5, Features = 16
  1533: E[0:00:13]-R[0:00:04]: Return=     0.992, Steps=   9, Features = 16
  1654: E[0:00:14]-R[0:00:03]: Return=     0.984, Steps=  17, Features = 16
  1784: E[0:00:15]-R[0:00:02]: Return=     0.994, Steps=   7, Features = 16
  1916: E[0:00:16]-R[0:00:01]: Return=     0.986, Steps=  15, Features = 16
  2000: >>> E[0:00:17]-R[0:00:00]: Return=    0.9942, Steps= 6.8, Features = 16
Total Experiment Duration 0:00:17
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=   -0.2162, Steps=17.2, Features = 16
    62: E[0:00:00]-R[0:00:15]: Return=     0.992, Steps=   9, Features = 16
   192: E[0:00:02]-R[0:00:14]: Return=     0.992, Steps=   9, Features = 16
   324: E[0:00:03]-R[0:00:13]: Return=      0.99, Steps=  11, Features = 16
   455: E[0:00:04]-R[0:00:12]: Return=     0.988, Steps=  13, Features = 16
   588: E[0:00:05]-R[0:00:11]: Return=     0.994, Steps=   7, Features = 16
   724: E[0:00:06]-R[0:00:10]: Return=     0.994, Steps=   7, Features = 16
   809: E[0:00:07]-R[0:00:10]: Return=     0.998, Steps=   3, Features = 16
   942: E[0:00:08]-R[0:00:09]: Return=     0.992, Steps=   9, Features = 16
  1071: E[0:00:09]-R[0:00:08]: Return=     0.992, Steps=   9, Features = 16
  1195: E[0:00:10]-R[0:00:07]: Return=     0.998, Steps=   3, Features = 16
  1313: E[0:00:11]-R[0:00:06]: Return=     0.998, Steps=   3, Features = 16
  1446: E[0:00:12]-R[0:00:05]: Return=     0.996, Steps=   5, Features = 16
  1559: E[0:00:13]-R[0:00:04]: Return=     0.994, Steps=   7, Features = 16
  1668: E[0:00:14]-R[0:00:03]: Return=     0.996, Steps=   5, Features = 16
  1805: E[0:00:15]-R[0:00:02]: Return=    -1.007, Steps=   8, Features = 16
  1945: E[0:00:16]-R[0:00:00]: Return=     0.996, Steps=   5, Features = 16
  2000: >>> E[0:00:16]-R[0:00:00]: Return=    0.9942, Steps= 6.8, Features = 16
Total Experiment Duration 0:00:16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=   -0.2162, Steps=17.2, Features = 16
    53: E[0:00:01]-R[0:00:29]: Return=     0.978, Steps=  23, Features = 16
   157: E[0:00:02]-R[0:00:21]: Return=     0.992, Steps=   9, Features = 16
   310: E[0:00:03]-R[0:00:16]: Return=      0.98, Steps=  21, Features = 16
   429: E[0:00:04]-R[0:00:14]: Return=     0.998, Steps=   3, Features = 16
   524: E[0:00:05]-R[0:00:15]: Return=     0.978, Steps=  23, Features = 16
   652: E[0:00:06]-R[0:00:13]: Return=     0.994, Steps=   7, Features = 16
   780: E[0:00:07]-R[0:00:11]: Return=     0.994, Steps=   7, Features = 16
   902: E[0:00:08]-R[0:00:10]: Return=     0.992, Steps=   9, Features = 16
  1035: E[0:00:09]-R[0:00:09]: Return=      0.98, Steps=  21, Features = 16
  1109: E[0:00:10]-R[0:00:08]: Return=      0.99, Steps=  11, Features = 16
  1245: E[0:00:11]-R[0:00:07]: Return=     0.992, Steps=   9, Features = 16
  1368: E[0:00:12]-R[0:00:06]: Return=     0.996, Steps=   5, Features = 16
  1490: E[0:00:13]-R[0:00:05]: Return=     0.998, Steps=   3, Features = 16
  1616: E[0:00:14]-R[0:00:03]: Return=     0.996, Steps=   5, Features = 16
  1741: E[0:00:15]-R[0:00:02]: Return=     0.998, Steps=   3, Features = 16
  1856: E[0:00:16]-R[0:00:01]: Return=     0.984, Steps=  17, Features = 16
  1991: E[0:00:17]-R[0:00:00]: Return=     0.998, Steps=   3, Features = 16
  2000: >>> E[0:00:18]-R[0:00:00]: Return=    0.9942, Steps= 6.8, Features = 16
Total Experiment Duration 0:00:18
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=   -0.2162, Steps=17.2, Features = 16
   100: E[0:00:01]-R[0:00:14]: Return=      0.99, Steps=  11, Features = 16
   183: E[0:00:02]-R[0:00:18]: Return=     0.992, Steps=   9, Features = 16
   310: E[0:00:03]-R[0:00:16]: Return=      0.98, Steps=  21, Features = 16
   439: E[0:00:04]-R[0:00:14]: Return=     0.998, Steps=   3, Features = 16
   574: E[0:00:05]-R[0:00:12]: Return=     0.992, Steps=   9, Features = 16
   645: E[0:00:06]-R[0:00:13]: Return=     0.994, Steps=   7, Features = 16
   727: E[0:00:07]-R[0:00:12]: Return=     0.998, Steps=   3, Features = 16
   859: E[0:00:08]-R[0:00:11]: Return=     0.986, Steps=  15, Features = 16
   990: E[0:00:09]-R[0:00:09]: Return=      0.99, Steps=  11, Features = 16
  1109: E[0:00:10]-R[0:00:08]: Return=      0.99, Steps=  11, Features = 16
  1200: E[0:00:11]-R[0:00:07]: Return=     0.996, Steps=   5, Features = 16
  1328: E[0:00:12]-R[0:00:06]: Return=     0.994, Steps=   7, Features = 16
  1438: E[0:00:13]-R[0:00:05]: Return=     0.984, Steps=  17, Features = 16
  1542: E[0:00:14]-R[0:00:04]: Return=     0.992, Steps=   9, Features = 16
  1668: E[0:00:15]-R[0:00:03]: Return=     0.996, Steps=   5, Features = 16
  1797: E[0:00:16]-R[0:00:02]: Return=     0.994, Steps=   7, Features = 16
  1872: E[0:00:17]-R[0:00:01]: Return=     0.992, Steps=   9, Features = 16
  2000: >>> E[0:00:18]-R[0:00:00]: Return=    0.9942, Steps= 6.8, Features = 16
Total Experiment Duration 0:00:18
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=   -0.2162, Steps=17.2, Features = 16
    53: E[0:00:01]-R[0:00:28]: Return=     0.978, Steps=  23, Features = 16
   167: E[0:00:02]-R[0:00:20]: Return=    -1.009, Steps=  10, Features = 16
   310: E[0:00:03]-R[0:00:16]: Return=      0.98, Steps=  21, Features = 16
   436: E[0:00:04]-R[0:00:14]: Return=     0.998, Steps=   3, Features = 16
   574: E[0:00:05]-R[0:00:12]: Return=     0.992, Steps=   9, Features = 16
   645: E[0:00:06]-R[0:00:12]: Return=     0.994, Steps=   7, Features = 16
   773: E[0:00:07]-R[0:00:11]: Return=     0.992, Steps=   9, Features = 16
   902: E[0:00:08]-R[0:00:10]: Return=     0.992, Steps=   9, Features = 16
  1035: E[0:00:09]-R[0:00:08]: Return=      0.98, Steps=  21, Features = 16
  1139: E[0:00:10]-R[0:00:08]: Return=      0.99, Steps=  11, Features = 16
  1225: E[0:00:11]-R[0:00:07]: Return=     0.998, Steps=   3, Features = 16
  1352: E[0:00:12]-R[0:00:06]: Return=      0.99, Steps=  11, Features = 16
  1482: E[0:00:13]-R[0:00:05]: Return=     0.992, Steps=   9, Features = 16
  1611: E[0:00:14]-R[0:00:03]: Return=     0.996, Steps=   5, Features = 16
  1741: E[0:00:15]-R[0:00:02]: Return=     0.998, Steps=   3, Features = 16
  1821: E[0:00:16]-R[0:00:02]: Return=      0.99, Steps=  11, Features = 16
  1953: E[0:00:17]-R[0:00:00]: Return=     0.998, Steps=   3, Features = 16
  2000: >>> E[0:00:18]-R[0:00:00]: Return=    0.9942, Steps= 6.8, Features = 16
Total Experiment Duration 0:00:18
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=   -0.2162, Steps=17.2, Features = 16
   100: E[0:00:01]-R[0:00:14]: Return=      0.99, Steps=  11, Features = 16
   192: E[0:00:02]-R[0:00:17]: Return=     0.992, Steps=   9, Features = 16
   310: E[0:00:03]-R[0:00:16]: Return=      0.98, Steps=  21, Features = 16
   439: E[0:00:04]-R[0:00:14]: Return=     0.998, Steps=   3, Features = 16
   565: E[0:00:05]-R[0:00:12]: Return=     0.992, Steps=   9, Features = 16
   697: E[0:00:06]-R[0:00:11]: Return=      0.97, Steps=  31, Features = 16
   806: E[0:00:07]-R[0:00:10]: Return=    -1.007, Steps=   8, Features = 16
   882: E[0:00:08]-R[0:00:10]: Return=     0.998, Steps=   3, Features = 16
  1014: E[0:00:09]-R[0:00:09]: Return=     0.998, Steps=   3, Features = 16
  1150: E[0:00:10]-R[0:00:07]: Return=      0.99, Steps=  11, Features = 16
  1275: E[0:00:11]-R[0:00:06]: Return=     0.998, Steps=   3, Features = 16
  1396: E[0:00:12]-R[0:00:05]: Return=     0.982, Steps=  19, Features = 16
  1482: E[0:00:13]-R[0:00:05]: Return=     0.992, Steps=   9, Features = 16
  1603: E[0:00:14]-R[0:00:03]: Return=     0.986, Steps=  15, Features = 16
  1733: E[0:00:15]-R[0:00:02]: Return=     0.988, Steps=  13, Features = 16
  1872: E[0:00:16]-R[0:00:01]: Return=     0.992, Steps=   9, Features = 16
  1953: E[0:00:17]-R[0:00:00]: Return=     0.998, Steps=   3, Features = 16
  2000: >>> E[0:00:18]-R[0:00:00]: Return=    0.9942, Steps= 6.8, Features = 16
Total Experiment Duration 0:00:18
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=   -0.2162, Steps=17.2, Features = 16
    69: E[0:00:01]-R[0:00:17]: Return=     0.994, Steps=   7, Features = 16
   142: E[0:00:02]-R[0:00:21]: Return=     0.992, Steps=   9, Features = 16
   275: E[0:00:03]-R[0:00:16]: Return=     0.996, Steps=   5, Features = 16
   414: E[0:00:04]-R[0:00:14]: Return=     0.992, Steps=   9, Features = 16
   556: E[0:00:05]-R[0:00:12]: Return=     0.988, Steps=  13, Features = 16
   697: E[0:00:06]-R[0:00:12]: Return=      0.97, Steps=  31, Features = 16
   780: E[0:00:07]-R[0:00:11]: Return=     0.994, Steps=   7, Features = 16
   915: E[0:00:08]-R[0:00:10]: Return=     0.998, Steps=   3, Features = 16
  1043: E[0:00:09]-R[0:00:08]: Return=     0.998, Steps=   3, Features = 16
  1173: E[0:00:10]-R[0:00:07]: Return=     0.984, Steps=  17, Features = 16
  1302: E[0:00:11]-R[0:00:06]: Return=     0.996, Steps=   5, Features = 16
  1438: E[0:00:12]-R[0:00:05]: Return=     0.984, Steps=  17, Features = 16
  1577: E[0:00:13]-R[0:00:04]: Return=     0.986, Steps=  15, Features = 16
  1663: E[0:00:15]-R[0:00:03]: Return=     0.992, Steps=   9, Features = 16
  1760: E[0:00:16]-R[0:00:02]: Return=     0.992, Steps=   9, Features = 16
  1895: E[0:00:17]-R[0:00:01]: Return=     0.998, Steps=   3, Features = 16
  2000: >>> E[0:00:17]-R[0:00:00]: Return=    0.9942, Steps= 6.8, Features = 16
Total Experiment Duration 0:00:17
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=   -0.2162, Steps=17.2, Features = 16
   100: E[0:00:01]-R[0:00:14]: Return=      0.99, Steps=  11, Features = 16
   228: E[0:00:02]-R[0:00:14]: Return=     0.996, Steps=   5, Features = 16
   353: E[0:00:03]-R[0:00:13]: Return=    -1.003, Steps=   4, Features = 16
   490: E[0:00:04]-R[0:00:12]: Return=     0.988, Steps=  13, Features = 16
   588: E[0:00:05]-R[0:00:12]: Return=     0.994, Steps=   7, Features = 16
   697: E[0:00:06]-R[0:00:11]: Return=      0.97, Steps=  31, Features = 16
   827: E[0:00:07]-R[0:00:10]: Return=     0.994, Steps=   7, Features = 16
   963: E[0:00:08]-R[0:00:09]: Return=    -1.015, Steps=  16, Features = 16
  1090: E[0:00:09]-R[0:00:08]: Return=    -1.013, Steps=  14, Features = 16
  1222: E[0:00:10]-R[0:00:06]: Return=     0.998, Steps=   3, Features = 16
  1310: E[0:00:11]-R[0:00:06]: Return=     0.998, Steps=   3, Features = 16
  1421: E[0:00:12]-R[0:00:05]: Return=     0.998, Steps=   3, Features = 16
  1547: E[0:00:13]-R[0:00:04]: Return=     0.996, Steps=   5, Features = 16
  1682: E[0:00:14]-R[0:00:03]: Return=      0.99, Steps=  11, Features = 16
  1805: E[0:00:15]-R[0:00:02]: Return=    -1.007, Steps=   8, Features = 16
  1889: E[0:00:16]-R[0:00:01]: Return=     0.998, Steps=   3, Features = 16
  2000: >>> E[0:00:17]-R[0:00:00]: Return=    0.9942, Steps= 6.8, Features = 16
Total Experiment Duration 0:00:17
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=   -0.2162, Steps=17.2, Features = 16
   100: E[0:00:01]-R[0:00:14]: Return=      0.99, Steps=  11, Features = 16
   228: E[0:00:02]-R[0:00:13]: Return=     0.996, Steps=   5, Features = 16
   310: E[0:00:03]-R[0:00:15]: Return=      0.98, Steps=  21, Features = 16
   442: E[0:00:04]-R[0:00:13]: Return=     0.998, Steps=   3, Features = 16
   574: E[0:00:05]-R[0:00:12]: Return=     0.992, Steps=   9, Features = 16
   709: E[0:00:06]-R[0:00:11]: Return=     0.994, Steps=   7, Features = 16
   844: E[0:00:07]-R[0:00:09]: Return=     0.994, Steps=   7, Features = 16
   963: E[0:00:08]-R[0:00:09]: Return=    -1.015, Steps=  16, Features = 16
  1071: E[0:00:09]-R[0:00:08]: Return=     0.992, Steps=   9, Features = 16
  1209: E[0:00:10]-R[0:00:07]: Return=     0.992, Steps=   9, Features = 16
  1341: E[0:00:11]-R[0:00:05]: Return=     0.988, Steps=  13, Features = 16
  1473: E[0:00:12]-R[0:00:04]: Return=     0.992, Steps=   9, Features = 16
  1577: E[0:00:13]-R[0:00:04]: Return=     0.986, Steps=  15, Features = 16
  1682: E[0:00:14]-R[0:00:03]: Return=      0.99, Steps=  11, Features = 16
  1810: E[0:00:15]-R[0:00:02]: Return=     0.996, Steps=   5, Features = 16
  1940: E[0:00:16]-R[0:00:00]: Return=      0.99, Steps=  11, Features = 16
  2000: >>> E[0:00:17]-R[0:00:00]: Return=    0.9942, Steps= 6.8, Features = 16
Total Experiment Duration 0:00:17
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=   -0.2162, Steps=17.2, Features = 16
    89: E[0:00:01]-R[0:00:14]: Return=     0.986, Steps=  15, Features = 16
   215: E[0:00:02]-R[0:00:14]: Return=     0.988, Steps=  13, Features = 16
   349: E[0:00:03]-R[0:00:13]: Return=     0.998, Steps=   3, Features = 16
   490: E[0:00:04]-R[0:00:11]: Return=     0.988, Steps=  13, Features = 16
   625: E[0:00:05]-R[0:00:10]: Return=     0.994, Steps=   7, Features = 16
   764: E[0:00:06]-R[0:00:09]: Return=     0.986, Steps=  15, Features = 16
   902: E[0:00:07]-R[0:00:08]: Return=     0.992, Steps=   9, Features = 16
  1040: E[0:00:08]-R[0:00:07]: Return=     0.996, Steps=   5, Features = 16
  1178: E[0:00:09]-R[0:00:06]: Return=     0.996, Steps=   5, Features = 16
  1310: E[0:00:10]-R[0:00:05]: Return=     0.998, Steps=   3, Features = 16
  1446: E[0:00:11]-R[0:00:04]: Return=     0.996, Steps=   5, Features = 16
  1582: E[0:00:12]-R[0:00:03]: Return=     0.996, Steps=   5, Features = 16
  1717: E[0:00:13]-R[0:00:02]: Return=     0.996, Steps=   5, Features = 16
  1856: E[0:00:14]-R[0:00:01]: Return=     0.984, Steps=  17, Features = 16
  1991: E[0:00:15]-R[0:00:00]: Return=     0.998, Steps=   3, Features = 16
  2000: >>> E[0:00:15]-R[0:00:00]: Return=    0.9942, Steps= 6.8, Features = 16
Total Experiment Duration 0:00:15
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=   -0.2162, Steps=17.2, Features = 16
   100: E[0:00:01]-R[0:00:14]: Return=      0.99, Steps=  11, Features = 16
   223: E[0:00:02]-R[0:00:14]: Return=    -1.007, Steps=   8, Features = 16
   349: E[0:00:03]-R[0:00:13]: Return=     0.998, Steps=   3, Features = 16
   477: E[0:00:04]-R[0:00:12]: Return=     0.996, Steps=   5, Features = 16
   606: E[0:00:05]-R[0:00:11]: Return=     0.996, Steps=   5, Features = 16
   732: E[0:00:06]-R[0:00:10]: Return=     0.996, Steps=   5, Features = 16
   866: E[0:00:07]-R[0:00:09]: Return=     0.994, Steps=   7, Features = 16
  1000: E[0:00:08]-R[0:00:08]: Return=     0.996, Steps=   5, Features = 16
  1139: E[0:00:09]-R[0:00:07]: Return=      0.99, Steps=  11, Features = 16
