     0: >>> E[0:00:00]-R[?]: Return=    -0.806, Steps= 7.0, Features = 9
  2926: E[0:00:17]-R[0:00:42]: Return=    -1.005, Steps=   6, Features = 9
  3100: E[0:00:18]-R[0:00:40]: Return=     0.997, Steps=   4, Features = 9
  3270: E[0:00:19]-R[0:00:39]: Return=     0.997, Steps=   4, Features = 9
  3436: E[0:00:20]-R[0:00:39]: Return=     0.991, Steps=  10, Features = 9
  3602: E[0:00:21]-R[0:00:38]: Return=    -1.001, Steps=   2, Features = 9
  3774: E[0:00:22]-R[0:00:37]: Return=     0.995, Steps=   6, Features = 9
  3948: E[0:00:23]-R[0:00:36]: Return=     0.997, Steps=   4, Features = 9
  4120: E[0:00:24]-R[0:00:35]: Return=     0.993, Steps=   8, Features = 9
  4306: E[0:00:25]-R[0:00:33]: Return=     0.987, Steps=  14, Features = 9
  4488: E[0:00:26]-R[0:00:32]: Return=     0.995, Steps=   6, Features = 9
  4666: E[0:00:27]-R[0:00:31]: Return=    -1.005, Steps=   6, Features = 9
  4844: E[0:00:28]-R[0:00:30]: Return=     0.989, Steps=  12, Features = 9
  5026: E[0:00:29]-R[0:00:29]: Return=    -1.011, Steps=  12, Features = 9
  5180: E[0:00:30]-R[0:00:28]: Return=     0.997, Steps=   4, Features = 9
  5328: E[0:00:31]-R[0:00:28]: Return=     0.995, Steps=   6, Features = 9
  5488: E[0:00:32]-R[0:00:27]: Return=     0.993, Steps=   8, Features = 9
  5666: E[0:00:33]-R[0:00:26]: Return=     0.995, Steps=   6, Features = 9
  5834: E[0:00:34]-R[0:00:25]: Return=    -1.005, Steps=   6, Features = 9
  5988: E[0:00:36]-R[0:00:24]: Return=     0.993, Steps=   8, Features = 9
  6148: E[0:00:37]-R[0:00:23]: Return=     0.995, Steps=   6, Features = 9
  6310: E[0:00:38]-R[0:00:22]: Return=    -1.007, Steps=   8, Features = 9
  6474: E[0:00:39]-R[0:00:21]: Return=    -1.003, Steps=   4, Features = 9
  6642: E[0:00:40]-R[0:00:20]: Return=     0.997, Steps=   4, Features = 9
  6816: E[0:00:41]-R[0:00:19]: Return=    -1.009, Steps=  10, Features = 9
  6982: E[0:00:42]-R[0:00:18]: Return=    -1.003, Steps=   4, Features = 9
  7154: E[0:00:43]-R[0:00:17]: Return=     0.995, Steps=   6, Features = 9
  7326: E[0:00:44]-R[0:00:16]: Return=    -1.003, Steps=   4, Features = 9
  7496: E[0:00:45]-R[0:00:15]: Return=    -1.001, Steps=   2, Features = 9
  7662: E[0:00:46]-R[0:00:14]: Return=    -1.001, Steps=   2, Features = 9
  7830: E[0:00:47]-R[0:00:13]: Return=    -1.001, Steps=   2, Features = 9
  8008: E[0:00:48]-R[0:00:12]: Return=     0.993, Steps=   8, Features = 9
  8180: E[0:00:49]-R[0:00:11]: Return=    -1.009, Steps=  10, Features = 9
  8348: E[0:00:50]-R[0:00:10]: Return=     0.995, Steps=   6, Features = 9
  8510: E[0:00:51]-R[0:00:09]: Return=     0.997, Steps=   4, Features = 9
  8662: E[0:00:52]-R[0:00:08]: Return=    -1.007, Steps=   8, Features = 9
  8828: E[0:00:53]-R[0:00:07]: Return=    -1.005, Steps=   6, Features = 9
  8978: E[0:00:54]-R[0:00:06]: Return=     0.993, Steps=   8, Features = 9
  9144: E[0:00:55]-R[0:00:05]: Return=    -1.003, Steps=   4, Features = 9
  9300: E[0:00:56]-R[0:00:04]: Return=     0.995, Steps=   6, Features = 9
  9474: E[0:00:57]-R[0:00:03]: Return=     0.993, Steps=   8, Features = 9
  9646: E[0:00:58]-R[0:00:02]: Return=     0.995, Steps=   6, Features = 9
  9824: E[0:00:59]-R[0:00:01]: Return=    -1.005, Steps=   6, Features = 9
  9996: E[0:01:00]-R[0:00:00]: Return=     0.997, Steps=   4, Features = 9
 10000: >>> E[0:01:00]-R[0:00:00]: Return=    0.7958, Steps= 5.2, Features = 9
Total Experiment Duration 0:01:00
     0: >>> E[0:00:00]-R[?]: Return=    -1.004, Steps= 5.4, Features = 9
   114: E[0:00:01]-R[0:01:00]: Return=     0.997, Steps=   4, Features = 9
   264: E[0:00:02]-R[0:01:03]: Return=    -1.001, Steps=   2, Features = 9
   426: E[0:00:03]-R[0:01:02]: Return=     0.991, Steps=  10, Features = 9
   582: E[0:00:04]-R[0:01:01]: Return=    -1.003, Steps=   4, Features = 9
   746: E[0:00:05]-R[0:00:59]: Return=     0.997, Steps=   4, Features = 9
   890: E[0:00:06]-R[0:00:59]: Return=     0.995, Steps=   6, Features = 9
  1044: E[0:00:07]-R[0:00:59]: Return=     0.993, Steps=   8, Features = 9
  1204: E[0:00:08]-R[0:00:57]: Return=     0.997, Steps=   4, Features = 9
  1348: E[0:00:09]-R[0:00:57]: Return=    -1.003, Steps=   4, Features = 9
  1486: E[0:00:10]-R[0:00:56]: Return=     0.997, Steps=   4, Features = 9
  1642: E[0:00:11]-R[0:00:55]: Return=     0.991, Steps=  10, Features = 9
  1798: E[0:00:12]-R[0:00:54]: Return=    -1.001, Steps=   2, Features = 9
  1958: E[0:00:13]-R[0:00:53]: Return=     0.995, Steps=   6, Features = 9
  2130: E[0:00:14]-R[0:00:52]: Return=     0.993, Steps=   8, Features = 9
  2296: E[0:00:15]-R[0:00:50]: Return=    -1.001, Steps=   2, Features = 9
  2454: E[0:00:16]-R[0:00:49]: Return=    -1.001, Steps=   2, Features = 9
  2616: E[0:00:17]-R[0:00:48]: Return=     0.997, Steps=   4, Features = 9
  2760: E[0:00:18]-R[0:00:47]: Return=     0.997, Steps=   4, Features = 9
  2908: E[0:00:19]-R[0:00:46]: Return=     0.993, Steps=   8, Features = 9
  3064: E[0:00:20]-R[0:00:45]: Return=     0.995, Steps=   6, Features = 9
  3232: E[0:00:21]-R[0:00:44]: Return=    -1.003, Steps=   4, Features = 9
  3408: E[0:00:22]-R[0:00:43]: Return=    -1.011, Steps=  12, Features = 9
  3574: E[0:00:23]-R[0:00:42]: Return=    -1.005, Steps=   6, Features = 9
  3742: E[0:00:24]-R[0:00:40]: Return=     0.989, Steps=  12, Features = 9
  3904: E[0:00:25]-R[0:00:39]: Return=     0.991, Steps=  10, Features = 9
  4064: E[0:00:26]-R[0:00:38]: Return=     0.993, Steps=   8, Features = 9
  4230: E[0:00:27]-R[0:00:37]: Return=    -1.003, Steps=   4, Features = 9
  4382: E[0:00:28]-R[0:00:36]: Return=     0.995, Steps=   6, Features = 9
  4534: E[0:00:29]-R[0:00:35]: Return=     0.995, Steps=   6, Features = 9
  4684: E[0:00:30]-R[0:00:34]: Return=    -1.011, Steps=  12, Features = 9
  4848: E[0:00:31]-R[0:00:33]: Return=     0.995, Steps=   6, Features = 9
  5016: E[0:00:32]-R[0:00:32]: Return=    -1.015, Steps=  16, Features = 9
  5170: E[0:00:33]-R[0:00:31]: Return=    -1.001, Steps=   2, Features = 9
  5328: E[0:00:34]-R[0:00:30]: Return=    -1.001, Steps=   2, Features = 9
  5494: E[0:00:35]-R[0:00:29]: Return=     0.995, Steps=   6, Features = 9
  5662: E[0:00:36]-R[0:00:28]: Return=    -1.009, Steps=  10, Features = 9
  5830: E[0:00:37]-R[0:00:27]: Return=    -1.007, Steps=   8, Features = 9
  5984: E[0:00:38]-R[0:00:26]: Return=     0.997, Steps=   4, Features = 9
  6146: E[0:00:39]-R[0:00:25]: Return=     0.997, Steps=   4, Features = 9
  6308: E[0:00:40]-R[0:00:24]: Return=     0.997, Steps=   4, Features = 9
  6472: E[0:00:41]-R[0:00:23]: Return=     0.995, Steps=   6, Features = 9
  6638: E[0:00:42]-R[0:00:22]: Return=    -1.003, Steps=   4, Features = 9
  6792: E[0:00:43]-R[0:00:21]: Return=     0.995, Steps=   6, Features = 9
  6954: E[0:00:44]-R[0:00:19]: Return=    -1.003, Steps=   4, Features = 9
  7124: E[0:00:46]-R[0:00:18]: Return=     0.991, Steps=  10, Features = 9
  7276: E[0:00:47]-R[0:00:17]: Return=    -1.003, Steps=   4, Features = 9
  7444: E[0:00:48]-R[0:00:16]: Return=     0.993, Steps=   8, Features = 9
  7602: E[0:00:49]-R[0:00:15]: Return=    -1.001, Steps=   2, Features = 9
  7768: E[0:00:50]-R[0:00:14]: Return=     0.993, Steps=   8, Features = 9
  7924: E[0:00:51]-R[0:00:13]: Return=     0.995, Steps=   6, Features = 9
  8080: E[0:00:52]-R[0:00:12]: Return=     0.997, Steps=   4, Features = 9
  8242: E[0:00:53]-R[0:00:11]: Return=    -1.001, Steps=   2, Features = 9
  8402: E[0:00:54]-R[0:00:10]: Return=    -1.001, Steps=   2, Features = 9
  8566: E[0:00:55]-R[0:00:09]: Return=     0.997, Steps=   4, Features = 9
  8732: E[0:00:56]-R[0:00:08]: Return=     0.997, Steps=   4, Features = 9
  8900: E[0:00:57]-R[0:00:07]: Return=    -1.003, Steps=   4, Features = 9
  9066: E[0:00:58]-R[0:00:06]: Return=    -1.003, Steps=   4, Features = 9
  9234: E[0:00:59]-R[0:00:05]: Return=    -1.001, Steps=   2, Features = 9
  9402: E[0:01:00]-R[0:00:04]: Return=     0.997, Steps=   4, Features = 9
  9566: E[0:01:01]-R[0:00:03]: Return=    -1.003, Steps=   4, Features = 9
  9738: E[0:01:02]-R[0:00:02]: Return=     0.995, Steps=   6, Features = 9
  9912: E[0:01:03]-R[0:00:01]: Return=     0.993, Steps=   8, Features = 9
 10000: >>> E[0:01:03]-R[0:00:00]: Return=     0.596, Steps= 5.0, Features = 9
Total Experiment Duration 0:01:03
     0: >>> E[0:00:00]-R[?]: Return=    -1.004, Steps= 5.4, Features = 9
   138: E[0:00:01]-R[0:00:52]: Return=    -1.005, Steps=   6, Features = 9
   322: E[0:00:02]-R[0:00:53]: Return=     0.993, Steps=   8, Features = 9
     0: >>> E[0:00:00]-R[?]: Return=    0.9892, Steps=11.8, Features = 16
    74: E[0:00:01]-R[0:00:15]: Return=     0.999, Steps=   2, Features = 16
   208: E[0:00:02]-R[0:00:14]: Return=     0.993, Steps=   8, Features = 16
   346: E[0:00:03]-R[0:00:13]: Return=     0.999, Steps=   2, Features = 16
   480: E[0:00:04]-R[0:00:12]: Return=    -1.001, Steps=   2, Features = 16
   620: E[0:00:05]-R[0:00:10]: Return=     0.983, Steps=  18, Features = 16
   746: E[0:00:06]-R[0:00:10]: Return=     0.997, Steps=   4, Features = 16
   884: E[0:00:07]-R[0:00:08]: Return=     0.989, Steps=  12, Features = 16
  1008: E[0:00:08]-R[0:00:08]: Return=     0.997, Steps=   4, Features = 16
  1136: E[0:00:09]-R[0:00:07]: Return=     0.999, Steps=   2, Features = 16
  1304: E[0:00:10]-R[0:00:05]: Return=     0.963, Steps=  38, Features = 16
  1454: E[0:00:11]-R[0:00:04]: Return=     0.977, Steps=  24, Features = 16
  1592: E[0:00:12]-R[0:00:03]: Return=     0.995, Steps=   6, Features = 16
  1730: E[0:00:13]-R[0:00:02]: Return=     0.979, Steps=  22, Features = 16
  1858: E[0:00:14]-R[0:00:01]: Return=     0.993, Steps=   8, Features = 16
  2000: >>> E[0:00:15]-R[0:00:00]: Return=    0.9968, Steps= 4.2, Features = 16
Total Experiment Duration 0:00:15
Output:			./Results/Experiment0/
     0: >>> E[0:00:00]-R[?]: Return=    0.9892, Steps=11.8, Features = 16
    70: E[0:00:01]-R[0:00:15]: Return=     0.977, Steps=  24, Features = 16
   200: E[0:00:02]-R[0:00:14]: Return=     0.999, Steps=   2, Features = 16
   340: E[0:00:03]-R[0:00:13]: Return=     0.985, Steps=  16, Features = 16
   474: E[0:00:04]-R[0:00:12]: Return=     0.995, Steps=   6, Features = 16
   602: E[0:00:05]-R[0:00:11]: Return=     0.999, Steps=   2, Features = 16
   732: E[0:00:06]-R[0:00:10]: Return=     0.997, Steps=   4, Features = 16
   870: E[0:00:07]-R[0:00:09]: Return=     0.991, Steps=  10, Features = 16
  1002: E[0:00:08]-R[0:00:08]: Return=     0.997, Steps=   4, Features = 16
  1134: E[0:00:09]-R[0:00:07]: Return=     0.999, Steps=   2, Features = 16
  1304: E[0:00:10]-R[0:00:05]: Return=     0.963, Steps=  38, Features = 16
  1454: E[0:00:11]-R[0:00:04]: Return=     0.977, Steps=  24, Features = 16
  1592: E[0:00:12]-R[0:00:03]: Return=     0.995, Steps=   6, Features = 16
  1730: E[0:00:13]-R[0:00:02]: Return=     0.979, Steps=  22, Features = 16
  1858: E[0:00:14]-R[0:00:01]: Return=     0.993, Steps=   8, Features = 16
  2000: >>> E[0:00:15]-R[0:00:00]: Return=    0.9968, Steps= 4.2, Features = 16
Total Experiment Duration 0:00:15
Output:			./Results/Experiment0/
     0: >>> E[0:00:00]-R[?]: Return=    0.9892, Steps=11.8, Features = 16
    92: E[0:00:01]-R[0:00:15]: Return=     0.987, Steps=  14, Features = 16
   228: E[0:00:02]-R[0:00:14]: Return=     0.989, Steps=  12, Features = 16
   360: E[0:00:03]-R[0:00:13]: Return=     0.995, Steps=   6, Features = 16
   488: E[0:00:04]-R[0:00:12]: Return=     0.999, Steps=   2, Features = 16
   622: E[0:00:05]-R[0:00:11]: Return=     0.999, Steps=   2, Features = 16
   762: E[0:00:06]-R[0:00:10]: Return=     0.985, Steps=  16, Features = 16
   896: E[0:00:07]-R[0:00:09]: Return=     0.995, Steps=   6, Features = 16
  1036: E[0:00:08]-R[0:00:07]: Return=     0.973, Steps=  28, Features = 16
  1162: E[0:00:09]-R[0:00:07]: Return=     0.999, Steps=   2, Features = 16
  1304: E[0:00:10]-R[0:00:05]: Return=     0.963, Steps=  38, Features = 16
  1454: E[0:00:11]-R[0:00:04]: Return=     0.977, Steps=  24, Features = 16
  1584: E[0:00:12]-R[0:00:03]: Return=     0.993, Steps=   8, Features = 16
  1704: E[0:00:13]-R[0:00:02]: Return=     0.999, Steps=   2, Features = 16
  1822: E[0:00:14]-R[0:00:01]: Return=     0.999, Steps=   2, Features = 16
  1950: E[0:00:15]-R[0:00:00]: Return=     0.979, Steps=  22, Features = 16
  2000: >>> E[0:00:16]-R[0:00:00]: Return=    0.9968, Steps= 4.2, Features = 16
Total Experiment Duration 0:00:16
Output:			./Results/Experiment0/
