     0: >>> E[0:00:00]-R[?]: Return=   -0.8642, Steps= 5.2, Features = 16
  2000: E[0:00:38]-R[0:00:57]: Return=     0.979, Steps=  22, Features = 16
  2000: >>> E[0:00:38]-R[0:00:57]: Return=    0.5722, Steps= 8.8, Features = 16
  2064: E[0:00:39]-R[0:00:56]: Return=     0.983, Steps=  18, Features = 16
  2122: E[0:00:40]-R[0:00:55]: Return=     0.995, Steps=   6, Features = 16
  2176: E[0:00:41]-R[0:00:54]: Return=    -1.005, Steps=   6, Features = 16
  2232: E[0:00:42]-R[0:00:53]: Return=     0.989, Steps=  12, Features = 16
  2298: E[0:00:44]-R[0:00:51]: Return=     0.989, Steps=  12, Features = 16
  2348: E[0:00:45]-R[0:00:51]: Return=     0.985, Steps=  16, Features = 16
  2388: E[0:00:46]-R[0:00:50]: Return=     0.993, Steps=   8, Features = 16
  2436: E[0:00:47]-R[0:00:49]: Return=     0.993, Steps=   8, Features = 16
  2488: E[0:00:48]-R[0:00:48]: Return=     0.987, Steps=  14, Features = 16
  2500: >>> E[0:00:48]-R[0:00:48]: Return=    0.5728, Steps= 8.2, Features = 16
  2554: E[0:00:50]-R[0:00:47]: Return=     0.985, Steps=  16, Features = 16
  2604: E[0:00:51]-R[0:00:47]: Return=     0.995, Steps=   6, Features = 16
  2674: E[0:00:52]-R[0:00:45]: Return=     0.981, Steps=  20, Features = 16
  2722: E[0:00:53]-R[0:00:44]: Return=     0.981, Steps=  20, Features = 16
  2792: E[0:00:55]-R[0:00:43]: Return=     0.963, Steps=  38, Features = 16
  2834: E[0:00:56]-R[0:00:43]: Return=     0.989, Steps=  12, Features = 16
  2884: E[0:00:57]-R[0:00:42]: Return=     0.983, Steps=  18, Features = 16
  2950: E[0:00:58]-R[0:00:40]: Return=     0.985, Steps=  16, Features = 16
  3000: E[0:00:59]-R[0:00:39]: Return=     0.995, Steps=   6, Features = 16
  3000: >>> E[0:00:59]-R[0:00:39]: Return=    0.6127, Steps=8.28, Features = 16
  3048: E[0:01:00]-R[0:00:38]: Return=     0.993, Steps=   8, Features = 16
  3094: E[0:01:01]-R[0:00:38]: Return=     0.995, Steps=   6, Features = 16
  3166: E[0:01:03]-R[0:00:36]: Return=     0.967, Steps=  34, Features = 16
  3230: E[0:01:04]-R[0:00:35]: Return=     0.979, Steps=  22, Features = 16
  3288: E[0:01:05]-R[0:00:34]: Return=     0.975, Steps=  26, Features = 16
  3338: E[0:01:06]-R[0:00:33]: Return=     0.991, Steps=  10, Features = 16
  3394: E[0:01:07]-R[0:00:32]: Return=     0.985, Steps=  16, Features = 16
  3448: E[0:01:08]-R[0:00:31]: Return=     0.989, Steps=  12, Features = 16
  3500: >>> E[0:01:09]-R[0:00:30]: Return=    0.5929, Steps=8.08, Features = 16
  3556: E[0:01:10]-R[0:00:29]: Return=     0.981, Steps=  20, Features = 16
  3612: E[0:01:12]-R[0:00:27]: Return=     0.993, Steps=   8, Features = 16
  3664: E[0:01:13]-R[0:00:26]: Return=     0.993, Steps=   8, Features = 16
  3726: E[0:01:14]-R[0:00:25]: Return=     0.985, Steps=  16, Features = 16
  3786: E[0:01:15]-R[0:00:24]: Return=     0.979, Steps=  22, Features = 16
  3846: E[0:01:16]-R[0:00:23]: Return=    -1.001, Steps=   2, Features = 16
  3904: E[0:01:17]-R[0:00:22]: Return=     0.989, Steps=  12, Features = 16
  3960: E[0:01:18]-R[0:00:21]: Return=     0.985, Steps=  16, Features = 16
  4000: >>> E[0:01:19]-R[0:00:20]: Return=    0.7133, Steps=7.74, Features = 16
  4068: E[0:01:20]-R[0:00:18]: Return=     0.985, Steps=  16, Features = 16
  4112: E[0:01:21]-R[0:00:18]: Return=     0.995, Steps=   6, Features = 16
  4170: E[0:01:23]-R[0:00:16]: Return=     0.993, Steps=   8, Features = 16
  4226: E[0:01:24]-R[0:00:15]: Return=     0.993, Steps=   8, Features = 16
  4296: E[0:01:25]-R[0:00:14]: Return=     0.977, Steps=  24, Features = 16
  4358: E[0:01:26]-R[0:00:13]: Return=     0.989, Steps=  12, Features = 16
  4442: E[0:01:28]-R[0:00:11]: Return=     0.949, Steps=  52, Features = 16
  4486: E[0:01:29]-R[0:00:10]: Return=     0.995, Steps=   6, Features = 16
  4500: >>> E[0:01:29]-R[0:00:10]: Return=    0.6127, Steps=8.28, Features = 16
  4550: E[0:01:30]-R[0:00:09]: Return=     0.995, Steps=   6, Features = 16
  4602: E[0:01:31]-R[0:00:08]: Return=     0.993, Steps=   8, Features = 16
  4656: E[0:01:32]-R[0:00:07]: Return=     0.965, Steps=  36, Features = 16
  4720: E[0:01:34]-R[0:00:06]: Return=     0.989, Steps=  12, Features = 16
  4782: E[0:01:35]-R[0:00:04]: Return=     0.995, Steps=   6, Features = 16
  4832: E[0:01:36]-R[0:00:03]: Return=     0.995, Steps=   6, Features = 16
  4888: E[0:01:37]-R[0:00:02]: Return=     0.993, Steps=   8, Features = 16
  4930: E[0:01:38]-R[0:00:01]: Return=     0.993, Steps=   8, Features = 16
  4978: E[0:01:39]-R[0:00:00]: Return=     0.989, Steps=  12, Features = 16
  5000: >>> E[0:01:39]-R[0:00:00]: Return=    0.5139, Steps=7.14, Features = 16
Total Experiment Duration 0:01:39
Output:			./Results/Experiment4/
     0: >>> E[0:00:00]-R[?]: Return=   -0.9774, Steps=18.43, Features = 49
   121: E[0:00:02]-R[0:01:19]: Return=     0.889, Steps= 112, Features = 49
   179: E[0:00:03]-R[0:01:21]: Return=     -1.01, Steps=  11, Features = 49
   243: E[0:00:04]-R[0:01:20]: Return=    -1.006, Steps=   7, Features = 49
   324: E[0:00:05]-R[0:01:19]: Return=     -1.08, Steps=  81, Features = 49
   428: E[0:00:07]-R[0:01:17]: Return=    -1.059, Steps=  60, Features = 49
   500: >>> E[0:00:08]-R[0:01:16]: Return=    -1.031, Steps=31.77, Features = 49
   599: E[0:00:10]-R[0:01:14]: Return=    -1.078, Steps=  79, Features = 49
   672: E[0:00:11]-R[0:01:12]: Return=    -1.072, Steps=  73, Features = 49
   750: E[0:00:13]-R[0:01:11]: Return=    -1.064, Steps=  65, Features = 49
   822: E[0:00:14]-R[0:01:10]: Return=    -1.014, Steps=  15, Features = 49
   916: E[0:00:15]-R[0:01:09]: Return=     0.907, Steps=  94, Features = 49
  1000: >>> E[0:00:17]-R[0:01:07]: Return=   -0.6049, Steps=65.94, Features = 49
  1135: E[0:00:19]-R[0:01:05]: Return=     -1.12, Steps= 121, Features = 49
  1192: E[0:00:21]-R[0:01:06]: Return=    -1.056, Steps=  57, Features = 49
  1246: E[0:00:23]-R[0:01:08]: Return=     0.947, Steps=  54, Features = 49
  1284: E[0:00:24]-R[0:01:09]: Return=    -1.037, Steps=  38, Features = 49
  1350: E[0:00:25]-R[0:01:09]: Return=    -1.065, Steps=  66, Features = 49
  1490: E[0:00:28]-R[0:01:05]: Return=    -1.126, Steps= 127, Features = 49
  1500: >>> E[0:00:28]-R[0:01:05]: Return=    0.3607, Steps=60.33, Features = 49
  1735: E[0:00:32]-R[0:01:00]: Return=    -1.184, Steps= 185, Features = 49
  1912: E[0:00:35]-R[0:00:56]: Return=    -1.176, Steps= 177, Features = 49
  2000: >>> E[0:00:36]-R[0:00:54]: Return=   -0.4197, Steps=250.66, Features = 49
  2068: E[0:00:37]-R[0:00:53]: Return=     0.969, Steps=  32, Features = 49
  2176: E[0:00:39]-R[0:00:51]: Return=     0.945, Steps=  56, Features = 49
  2254: E[0:00:40]-R[0:00:49]: Return=    -1.024, Steps=  25, Features = 49
  2364: E[0:00:42]-R[0:00:47]: Return=     0.891, Steps= 110, Features = 49
  2469: E[0:00:44]-R[0:00:45]: Return=    -1.104, Steps= 105, Features = 49
  2500: >>> E[0:00:44]-R[0:00:44]: Return=    -1.003, Steps=44.49, Features = 49
  2751: E[0:00:48]-R[0:00:39]: Return=     0.719, Steps= 282, Features = 49
  2846: E[0:00:50]-R[0:00:38]: Return=    -1.094, Steps=  95, Features = 49
  2963: E[0:00:52]-R[0:00:36]: Return=    -1.116, Steps= 117, Features = 49
  3000: >>> E[0:00:53]-R[0:00:35]: Return=   -0.8713, Steps=92.3, Features = 49
  3109: E[0:00:54]-R[0:00:33]: Return=     0.855, Steps= 146, Features = 49
  3246: E[0:00:57]-R[0:00:31]: Return=    -1.136, Steps= 137, Features = 49
  3426: E[0:01:00]-R[0:00:27]: Return=     0.821, Steps= 180, Features = 49
  3500: >>> E[0:01:01]-R[0:00:26]: Return=   0.01844, Steps=122.56, Features = 49
  3583: E[0:01:03]-R[0:00:25]: Return=    -1.114, Steps= 115, Features = 49
  3673: E[0:01:05]-R[0:00:23]: Return=     0.911, Steps=  90, Features = 49
  3748: E[0:01:06]-R[0:00:22]: Return=    -1.028, Steps=  29, Features = 49
  3910: E[0:01:09]-R[0:00:19]: Return=     0.839, Steps= 162, Features = 49
  4000: >>> E[0:01:10]-R[0:00:18]: Return=   -0.8122, Steps=33.2, Features = 49
  4118: E[0:01:12]-R[0:00:15]: Return=     0.927, Steps=  74, Features = 49
  4212: E[0:01:14]-R[0:00:14]: Return=     -1.04, Steps=  41, Features = 49
  4277: E[0:01:15]-R[0:00:13]: Return=    -1.022, Steps=  23, Features = 49
  4384: E[0:01:16]-R[0:00:11]: Return=    -1.066, Steps=  67, Features = 49
  4457: E[0:01:18]-R[0:00:09]: Return=     -1.04, Steps=  41, Features = 49
  4500: >>> E[0:01:18]-R[0:00:09]: Return=    0.4646, Steps=56.38, Features = 49
  4625: E[0:01:20]-R[0:00:07]: Return=     0.925, Steps=  76, Features = 49
  4712: E[0:01:22]-R[0:00:05]: Return=    -1.028, Steps=  29, Features = 49
  4808: E[0:01:23]-R[0:00:03]: Return=     0.965, Steps=  36, Features = 49
  4876: E[0:01:25]-R[0:00:02]: Return=    -1.014, Steps=  15, Features = 49
  5000: >>> E[0:01:27]-R[0:00:00]: Return=    0.5894, Steps=31.57, Features = 49
Total Experiment Duration 0:01:27
Output:			./Results/Experiment4/
