     0: >>> E[0:00:00]-R[?]: Return=   -0.8642, Steps= 5.2, Features = 16
  1722: E[0:00:16]-R[0:00:12]: Return=     0.987, Steps=  14, Features = 16
  1800: >>> E[0:00:17]-R[0:00:11]: Return=    0.6319, Steps=9.06, Features = 16
  1910: E[0:00:18]-R[0:00:10]: Return=     0.985, Steps=  16, Features = 16
  2020: E[0:00:19]-R[0:00:09]: Return=     0.989, Steps=  12, Features = 16
  2100: >>> E[0:00:20]-R[0:00:09]: Return=    0.6326, Steps= 8.4, Features = 16
  2204: E[0:00:21]-R[0:00:08]: Return=     0.981, Steps=  20, Features = 16
  2314: E[0:00:22]-R[0:00:07]: Return=     0.991, Steps=  10, Features = 16
  2400: >>> E[0:00:23]-R[0:00:06]: Return=    0.5132, Steps=7.84, Features = 16
  2530: E[0:00:24]-R[0:00:05]: Return=     0.981, Steps=  20, Features = 16
  2632: E[0:00:25]-R[0:00:04]: Return=     0.983, Steps=  18, Features = 16
  2700: >>> E[0:00:26]-R[0:00:03]: Return=    0.6132, Steps=7.84, Features = 16
  2818: E[0:00:27]-R[0:00:02]: Return=     0.923, Steps=  78, Features = 16
  2932: E[0:00:28]-R[0:00:01]: Return=     0.991, Steps=  10, Features = 16
  3000: >>> E[0:00:29]-R[0:00:00]: Return=    0.6324, Steps= 8.6, Features = 16
Total Experiment Duration 0:00:29
Output:			./Results/Experiment2/
     0: >>> E[0:00:00]-R[?]: Return=   -0.8642, Steps= 5.2, Features = 16
    62: E[0:00:01]-R[0:00:31]: Return=    -1.015, Steps=  16, Features = 16
   160: E[0:00:02]-R[0:00:31]: Return=     0.981, Steps=  20, Features = 16
   258: E[0:00:03]-R[0:00:29]: Return=     0.981, Steps=  20, Features = 16
   300: >>> E[0:00:03]-R[0:00:29]: Return=   -0.8486, Steps=9.58, Features = 16
   394: E[0:00:04]-R[0:00:28]: Return=    -1.003, Steps=   4, Features = 16
   490: E[0:00:05]-R[0:00:27]: Return=     0.991, Steps=  10, Features = 16
   592: E[0:00:06]-R[0:00:26]: Return=    -1.007, Steps=   8, Features = 16
   600: >>> E[0:00:06]-R[0:00:26]: Return=   -0.5749, Steps=15.88, Features = 16
   706: E[0:00:07]-R[0:00:24]: Return=    -1.013, Steps=  14, Features = 16
   816: E[0:00:09]-R[0:00:23]: Return=    -1.007, Steps=   8, Features = 16
   900: >>> E[0:00:09]-R[0:00:22]: Return=   -0.2528, Steps=13.8, Features = 16
  1002: E[0:00:10]-R[0:00:21]: Return=    -1.011, Steps=  12, Features = 16
  1112: E[0:00:12]-R[0:00:20]: Return=     0.979, Steps=  22, Features = 16
  1200: >>> E[0:00:12]-R[0:00:19]: Return=   -0.1718, Steps=12.82, Features = 16
  1296: E[0:00:13]-R[0:00:18]: Return=     0.993, Steps=   8, Features = 16
  1410: E[0:00:15]-R[0:00:16]: Return=    -1.033, Steps=  34, Features = 16
  1500: >>> E[0:00:16]-R[0:00:16]: Return=   -0.5088, Steps=9.82, Features = 16
  1610: E[0:00:17]-R[0:00:14]: Return=     0.987, Steps=  14, Features = 16
  1722: E[0:00:18]-R[0:00:13]: Return=     0.987, Steps=  14, Features = 16
  1800: >>> E[0:00:19]-R[0:00:12]: Return=    0.6319, Steps=9.06, Features = 16
  1894: E[0:00:20]-R[0:00:11]: Return=    -1.001, Steps=   2, Features = 16
  1990: E[0:00:21]-R[0:00:10]: Return=     0.995, Steps=   6, Features = 16
  2076: E[0:00:22]-R[0:00:10]: Return=    -1.009, Steps=  10, Features = 16
  2100: >>> E[0:00:22]-R[0:00:09]: Return=    0.6326, Steps= 8.4, Features = 16
  2204: E[0:00:23]-R[0:00:08]: Return=     0.981, Steps=  20, Features = 16
  2302: E[0:00:24]-R[0:00:07]: Return=     0.993, Steps=   8, Features = 16
  2400: >>> E[0:00:25]-R[0:00:06]: Return=    0.5132, Steps=7.84, Features = 16
  2502: E[0:00:26]-R[0:00:05]: Return=     0.989, Steps=  12, Features = 16
  2592: E[0:00:27]-R[0:00:04]: Return=     0.995, Steps=   6, Features = 16
  2684: E[0:00:28]-R[0:00:03]: Return=     0.991, Steps=  10, Features = 16
  2700: >>> E[0:00:28]-R[0:00:03]: Return=    0.6132, Steps=7.84, Features = 16
  2818: E[0:00:29]-R[0:00:02]: Return=     0.923, Steps=  78, Features = 16
  2914: E[0:00:31]-R[0:00:01]: Return=     0.987, Steps=  14, Features = 16
  3000: >>> E[0:00:31]-R[0:00:00]: Return=    0.6324, Steps= 8.6, Features = 16
Total Experiment Duration 0:00:31
Output:			./Results/Experiment2/
     0: >>> E[0:00:00]-R[?]: Return=   -0.8642, Steps= 5.2, Features = 16
    20: E[0:00:01]-R[0:01:19]: Return=    -1.013, Steps=  14, Features = 16
    92: E[0:00:02]-R[0:00:59]: Return=     0.981, Steps=  20, Features = 16
   160: E[0:00:03]-R[0:00:52]: Return=     0.981, Steps=  20, Features = 16
   258: E[0:00:04]-R[0:00:44]: Return=     0.981, Steps=  20, Features = 16
   300: >>> E[0:00:05]-R[0:00:43]: Return=   -0.8486, Steps=9.58, Features = 16
   384: E[0:00:06]-R[0:00:40]: Return=    -1.007, Steps=   8, Features = 16
   466: E[0:00:07]-R[0:00:37]: Return=     0.991, Steps=  10, Features = 16
   548: E[0:00:08]-R[0:00:36]: Return=    -1.013, Steps=  14, Features = 16
   600: >>> E[0:00:09]-R[0:00:35]: Return=   -0.5749, Steps=15.88, Features = 16
   680: E[0:00:10]-R[0:00:33]: Return=    -1.011, Steps=  12, Features = 16
   766: E[0:00:11]-R[0:00:32]: Return=    -1.013, Steps=  14, Features = 16
   856: E[0:00:12]-R[0:00:30]: Return=     0.961, Steps=  40, Features = 16
   900: >>> E[0:00:13]-R[0:00:29]: Return=   -0.2528, Steps=13.8, Features = 16
   984: E[0:00:14]-R[0:00:28]: Return=    -1.009, Steps=  10, Features = 16
  1066: E[0:00:15]-R[0:00:26]: Return=    -1.015, Steps=  16, Features = 16
  1168: E[0:00:16]-R[0:00:25]: Return=    -1.023, Steps=  24, Features = 16
  1200: >>> E[0:00:16]-R[0:00:24]: Return=   -0.1718, Steps=12.82, Features = 16
  1288: E[0:00:17]-R[0:00:23]: Return=     0.989, Steps=  12, Features = 16
  1376: E[0:00:18]-R[0:00:22]: Return=     0.953, Steps=  48, Features = 16
  1466: E[0:00:20]-R[0:00:20]: Return=    -1.031, Steps=  32, Features = 16
  1500: >>> E[0:00:20]-R[0:00:20]: Return=   -0.5088, Steps=9.82, Features = 16
  1580: E[0:00:21]-R[0:00:19]: Return=    -1.005, Steps=   6, Features = 16
  1650: E[0:00:22]-R[0:00:18]: Return=    -1.007, Steps=   8, Features = 16
  1734: E[0:00:23]-R[0:00:17]: Return=    -1.011, Steps=  12, Features = 16
  1800: >>> E[0:00:24]-R[0:00:16]: Return=    0.6319, Steps=9.06, Features = 16
  1868: E[0:00:25]-R[0:00:15]: Return=     0.987, Steps=  14, Features = 16
  1928: E[0:00:26]-R[0:00:15]: Return=     0.995, Steps=   6, Features = 16
  2008: E[0:00:27]-R[0:00:13]: Return=     0.993, Steps=   8, Features = 16
  2084: E[0:00:28]-R[0:00:12]: Return=     0.993, Steps=   8, Features = 16
  2100: >>> E[0:00:29]-R[0:00:12]: Return=    0.6326, Steps= 8.4, Features = 16
  2170: E[0:00:30]-R[0:00:11]: Return=    -1.001, Steps=   2, Features = 16
  2256: E[0:00:31]-R[0:00:10]: Return=     0.995, Steps=   6, Features = 16
  2356: E[0:00:32]-R[0:00:09]: Return=     0.959, Steps=  42, Features = 16
  2400: >>> E[0:00:32]-R[0:00:08]: Return=    0.5132, Steps=7.84, Features = 16
  2482: E[0:00:34]-R[0:00:07]: Return=     0.987, Steps=  14, Features = 16
  2562: E[0:00:35]-R[0:00:06]: Return=     0.991, Steps=  10, Features = 16
  2642: E[0:00:36]-R[0:00:05]: Return=    -1.001, Steps=   2, Features = 16
  2700: >>> E[0:00:37]-R[0:00:04]: Return=    0.6132, Steps=7.84, Features = 16
  2818: E[0:00:38]-R[0:00:02]: Return=     0.923, Steps=  78, Features = 16
  2894: E[0:00:40]-R[0:00:01]: Return=     0.969, Steps=  32, Features = 16
  2974: E[0:00:41]-R[0:00:00]: Return=     0.989, Steps=  12, Features = 16
  3000: >>> E[0:00:41]-R[0:00:00]: Return=    0.6324, Steps= 8.6, Features = 16
Total Experiment Duration 0:00:41
Output:			./Results/Experiment2/
     0: >>> E[0:00:00]-R[?]: Return=   -0.8642, Steps= 5.2, Features = 16
    20: E[0:00:00]-R[0:00:51]: Return=    -1.013, Steps=  14, Features = 16
    72: E[0:00:01]-R[0:00:57]: Return=    -1.005, Steps=   6, Features = 16
   124: E[0:00:02]-R[0:00:56]: Return=    -1.001, Steps=   2, Features = 16
   184: E[0:00:03]-R[0:00:53]: Return=     0.977, Steps=  24, Features = 16
   258: E[0:00:05]-R[0:00:51]: Return=     0.981, Steps=  20, Features = 16
   300: >>> E[0:00:06]-R[0:00:50]: Return=   -0.8486, Steps=9.58, Features = 16
   356: E[0:00:07]-R[0:00:49]: Return=    -1.003, Steps=   4, Features = 16
   434: E[0:00:08]-R[0:00:48]: Return=    -1.037, Steps=  38, Features = 16
   490: E[0:00:09]-R[0:00:47]: Return=     0.991, Steps=  10, Features = 16
   548: E[0:00:10]-R[0:00:46]: Return=    -1.013, Steps=  14, Features = 16
   600: >>> E[0:00:11]-R[0:00:45]: Return=   -0.5749, Steps=15.88, Features = 16
   658: E[0:00:12]-R[0:00:44]: Return=    -1.009, Steps=  10, Features = 16
   752: E[0:00:14]-R[0:00:42]: Return=    -1.045, Steps=  46, Features = 16
   808: E[0:00:15]-R[0:00:41]: Return=    -1.003, Steps=   4, Features = 16
   862: E[0:00:16]-R[0:00:40]: Return=    -1.001, Steps=   2, Features = 16
   900: >>> E[0:00:17]-R[0:00:39]: Return=   -0.2528, Steps=13.8, Features = 16
   964: E[0:00:18]-R[0:00:38]: Return=     0.993, Steps=   8, Features = 16
  1032: E[0:00:19]-R[0:00:37]: Return=    -1.023, Steps=  24, Features = 16
  1088: E[0:00:20]-R[0:00:36]: Return=     0.991, Steps=  10, Features = 16
  1144: E[0:00:21]-R[0:00:34]: Return=     0.977, Steps=  24, Features = 16
  1200: >>> E[0:00:22]-R[0:00:33]: Return=   -0.1718, Steps=12.82, Features = 16
  1264: E[0:00:23]-R[0:00:32]: Return=     0.981, Steps=  20, Features = 16
  1328: E[0:00:24]-R[0:00:31]: Return=    -1.007, Steps=   8, Features = 16
  1410: E[0:00:26]-R[0:00:29]: Return=    -1.033, Steps=  34, Features = 16
  1480: E[0:00:27]-R[0:00:28]: Return=     0.989, Steps=  12, Features = 16
  1500: >>> E[0:00:28]-R[0:00:28]: Return=   -0.5088, Steps=9.82, Features = 16
  1564: E[0:00:29]-R[0:00:26]: Return=     0.981, Steps=  20, Features = 16
  1612: E[0:00:30]-R[0:00:26]: Return=    -1.001, Steps=   2, Features = 16
  1678: E[0:00:31]-R[0:00:24]: Return=     0.973, Steps=  28, Features = 16
  1734: E[0:00:32]-R[0:00:23]: Return=    -1.011, Steps=  12, Features = 16
  1794: E[0:00:33]-R[0:00:22]: Return=    -1.009, Steps=  10, Features = 16
  1800: >>> E[0:00:33]-R[0:00:22]: Return=    0.6319, Steps=9.06, Features = 16
  1854: E[0:00:34]-R[0:00:21]: Return=     0.993, Steps=   8, Features = 16
  1910: E[0:00:35]-R[0:00:20]: Return=     0.985, Steps=  16, Features = 16
  1966: E[0:00:36]-R[0:00:19]: Return=     0.993, Steps=   8, Features = 16
  2026: E[0:00:37]-R[0:00:18]: Return=     0.995, Steps=   6, Features = 16
  2076: E[0:00:38]-R[0:00:17]: Return=    -1.009, Steps=  10, Features = 16
  2100: >>> E[0:00:39]-R[0:00:17]: Return=    0.6326, Steps= 8.4, Features = 16
  2156: E[0:00:40]-R[0:00:16]: Return=     0.993, Steps=   8, Features = 16
  2218: E[0:00:41]-R[0:00:15]: Return=     0.987, Steps=  14, Features = 16
  2278: E[0:00:42]-R[0:00:13]: Return=     0.993, Steps=   8, Features = 16
  2356: E[0:00:44]-R[0:00:12]: Return=     0.959, Steps=  42, Features = 16
  2400: >>> E[0:00:45]-R[0:00:11]: Return=    0.5132, Steps=7.84, Features = 16
  2468: E[0:00:46]-R[0:00:10]: Return=    -1.025, Steps=  26, Features = 16
  2530: E[0:00:47]-R[0:00:09]: Return=     0.981, Steps=  20, Features = 16
  2580: E[0:00:48]-R[0:00:08]: Return=     0.991, Steps=  10, Features = 16
  2640: E[0:00:49]-R[0:00:07]: Return=     0.993, Steps=   8, Features = 16
  2692: E[0:00:50]-R[0:00:06]: Return=    -1.003, Steps=   4, Features = 16
  2700: >>> E[0:00:50]-R[0:00:06]: Return=    0.6132, Steps=7.84, Features = 16
  2818: E[0:00:52]-R[0:00:03]: Return=     0.923, Steps=  78, Features = 16
  2894: E[0:00:54]-R[0:00:02]: Return=     0.969, Steps=  32, Features = 16
  2952: E[0:00:55]-R[0:00:01]: Return=     0.989, Steps=  12, Features = 16
  3000: >>> E[0:00:56]-R[0:00:00]: Return=    0.6324, Steps= 8.6, Features = 16
Total Experiment Duration 0:00:56
Output:			./Results/Experiment2/
     0: >>> E[0:00:00]-R[?]: Return=   -0.8786, Steps=19.65, Features = 25
    14: E[0:00:00]-R[0:00:34]: Return=    -1.013, Steps=  14, Features = 25
   143: E[0:00:02]-R[0:00:33]: Return=     -1.05, Steps=  51, Features = 25
   241: E[0:00:03]-R[0:00:33]: Return=    -1.038, Steps=  39, Features = 25
   300: >>> E[0:00:04]-R[0:00:32]: Return=   -0.8473, Steps=8.25, Features = 25
   392: E[0:00:05]-R[0:00:30]: Return=     0.989, Steps=  12, Features = 25
   489: E[0:00:06]-R[0:00:29]: Return=     0.987, Steps=  14, Features = 25
   584: E[0:00:07]-R[0:00:28]: Return=    -1.011, Steps=  12, Features = 25
   600: >>> E[0:00:07]-R[0:00:28]: Return=    0.7285, Steps=12.53, Features = 25
   714: E[0:00:08]-R[0:00:26]: Return=     0.977, Steps=  24, Features = 25
   806: E[0:00:09]-R[0:00:25]: Return=     0.993, Steps=   8, Features = 25
   894: E[0:00:10]-R[0:00:24]: Return=     0.981, Steps=  20, Features = 25
   900: >>> E[0:00:10]-R[0:00:24]: Return=    0.8483, Steps=12.65, Features = 25
  1001: E[0:00:11]-R[0:00:23]: Return=     0.981, Steps=  20, Features = 25
  1105: E[0:00:13]-R[0:00:22]: Return=     0.979, Steps=  22, Features = 25
  1187: E[0:00:14]-R[0:00:21]: Return=    -1.023, Steps=  24, Features = 25
  1200: >>> E[0:00:14]-R[0:00:21]: Return=    0.8273, Steps=13.7, Features = 25
  1291: E[0:00:15]-R[0:00:20]: Return=     0.991, Steps=  10, Features = 25
  1381: E[0:00:16]-R[0:00:19]: Return=     0.993, Steps=   8, Features = 25
  1453: E[0:00:17]-R[0:00:18]: Return=     0.983, Steps=  18, Features = 25
  1500: >>> E[0:00:18]-R[0:00:18]: Return=    0.8888, Steps=12.15, Features = 25
  1594: E[0:00:19]-R[0:00:17]: Return=     0.979, Steps=  22, Features = 25
  1693: E[0:00:20]-R[0:00:15]: Return=     -1.02, Steps=  21, Features = 25
  1776: E[0:00:21]-R[0:00:15]: Return=     0.987, Steps=  14, Features = 25
  1800: >>> E[0:00:21]-R[0:00:14]: Return=     0.869, Steps=11.96, Features = 25
  1879: E[0:00:22]-R[0:00:13]: Return=    -1.008, Steps=   9, Features = 25
  1969: E[0:00:23]-R[0:00:12]: Return=     0.993, Steps=   8, Features = 25
  2067: E[0:00:25]-R[0:00:11]: Return=     0.989, Steps=  12, Features = 25
  2100: >>> E[0:00:25]-R[0:00:11]: Return=    0.9082, Steps=12.76, Features = 25
  2199: E[0:00:26]-R[0:00:10]: Return=     0.987, Steps=  14, Features = 25
  2299: E[0:00:27]-R[0:00:08]: Return=     0.977, Steps=  24, Features = 25
  2397: E[0:00:28]-R[0:00:07]: Return=    -1.009, Steps=  10, Features = 25
  2400: >>> E[0:00:29]-R[0:00:07]: Return=    0.9292, Steps=11.77, Features = 25
  2470: E[0:00:30]-R[0:00:06]: Return=     0.975, Steps=  26, Features = 25
  2546: E[0:00:31]-R[0:00:05]: Return=     0.989, Steps=  12, Features = 25
  2628: E[0:00:32]-R[0:00:04]: Return=     0.989, Steps=  12, Features = 25
  2678: E[0:00:33]-R[0:00:04]: Return=     0.987, Steps=  14, Features = 25
  2700: >>> E[0:00:34]-R[0:00:04]: Return=    0.9083, Steps=12.68, Features = 25
  2748: E[0:00:35]-R[0:00:03]: Return=     0.987, Steps=  14, Features = 25
  2795: E[0:00:36]-R[0:00:03]: Return=     0.989, Steps=  12, Features = 25
  2849: E[0:00:37]-R[0:00:02]: Return=     0.993, Steps=   8, Features = 25
  2930: E[0:00:38]-R[0:00:01]: Return=     0.971, Steps=  30, Features = 25
  3000: >>> E[0:00:39]-R[0:00:00]: Return=     0.849, Steps=11.98, Features = 25
Total Experiment Duration 0:00:39
Output:			./Results/Experiment2/
     0: >>> E[0:00:00]-R[?]: Return=   -0.8182, Steps=19.2, Features = 25
    80: E[0:00:01]-R[0:01:31]: Return=    -1.021, Steps=  22, Features = 25
   192: E[0:00:02]-R[0:01:31]: Return=     0.991, Steps=  10, Features = 25
   306: E[0:00:03]-R[0:01:30]: Return=     0.993, Steps=   8, Features = 25
   418: E[0:00:04]-R[0:01:30]: Return=     0.991, Steps=  10, Features = 25
   525: E[0:00:05]-R[0:01:30]: Return=     0.993, Steps=   8, Features = 25
   639: E[0:00:06]-R[0:01:29]: Return=     0.987, Steps=  14, Features = 25
   744: E[0:00:07]-R[0:01:28]: Return=     0.993, Steps=   8, Features = 25
   856: E[0:00:08]-R[0:01:27]: Return=     0.993, Steps=   8, Features = 25
   974: E[0:00:09]-R[0:01:26]: Return=     0.981, Steps=  20, Features = 25
  1000: >>> E[0:00:10]-R[0:01:26]: Return=    0.7896, Steps=11.4, Features = 25
  1109: E[0:00:11]-R[0:01:25]: Return=     0.977, Steps=  24, Features = 25
  1227: E[0:00:12]-R[0:01:24]: Return=     0.987, Steps=  14, Features = 25
  1335: E[0:00:13]-R[0:01:22]: Return=     0.991, Steps=  10, Features = 25
  1442: E[0:00:14]-R[0:01:22]: Return=     0.991, Steps=  10, Features = 25
     0: >>> E[0:00:00]-R[?]: Return=   -0.8182, Steps=19.2, Features = 25
    37: E[0:00:01]-R[0:03:58]: Return=    -1.036, Steps=  37, Features = 25
   156: E[0:00:02]-R[0:02:05]: Return=    -1.049, Steps=  50, Features = 25
   270: E[0:00:03]-R[0:01:50]: Return=     0.989, Steps=  12, Features = 25
   384: E[0:00:04]-R[0:01:44]: Return=     0.983, Steps=  18, Features = 25
   492: E[0:00:05]-R[0:01:39]: Return=     0.991, Steps=  10, Features = 25
   625: E[0:00:06]-R[0:01:36]: Return=     0.971, Steps=  30, Features = 25
   736: E[0:00:07]-R[0:01:34]: Return=     0.993, Steps=   8, Features = 25
   838: E[0:00:08]-R[0:01:33]: Return=     0.993, Steps=   8, Features = 25
   954: E[0:00:10]-R[0:01:31]: Return=     0.973, Steps=  28, Features = 25
  1000: >>> E[0:00:10]-R[0:01:30]: Return=    0.7896, Steps=11.4, Features = 25
  1119: E[0:00:11]-R[0:01:28]: Return=     0.991, Steps=  10, Features = 25
  1235: E[0:00:12]-R[0:01:27]: Return=     0.993, Steps=   8, Features = 25
  1365: E[0:00:13]-R[0:01:25]: Return=     0.971, Steps=  30, Features = 25
  1476: E[0:00:15]-R[0:01:24]: Return=     0.985, Steps=  16, Features = 25
  1584: E[0:00:16]-R[0:01:23]: Return=     0.993, Steps=   8, Features = 25
  1697: E[0:00:17]-R[0:01:21]: Return=     0.981, Steps=  20, Features = 25
  1817: E[0:00:18]-R[0:01:20]: Return=     0.981, Steps=  20, Features = 25
  1922: E[0:00:19]-R[0:01:19]: Return=     0.985, Steps=  16, Features = 25
  2000: >>> E[0:00:20]-R[0:01:18]: Return=     0.991, Steps=10.0, Features = 25
  2100: E[0:00:21]-R[0:01:17]: Return=     0.993, Steps=   8, Features = 25
  2203: E[0:00:22]-R[0:01:16]: Return=     0.993, Steps=   8, Features = 25
  2319: E[0:00:23]-R[0:01:15]: Return=     0.985, Steps=  16, Features = 25
  2431: E[0:00:24]-R[0:01:14]: Return=     0.991, Steps=  10, Features = 25
  2549: E[0:00:25]-R[0:01:13]: Return=     0.983, Steps=  18, Features = 25
  2668: E[0:00:26]-R[0:01:12]: Return=     -1.03, Steps=  31, Features = 25
  2775: E[0:00:27]-R[0:01:11]: Return=     0.991, Steps=  10, Features = 25
  2880: E[0:00:28]-R[0:01:10]: Return=     0.991, Steps=  10, Features = 25
  2986: E[0:00:29]-R[0:01:09]: Return=     0.987, Steps=  14, Features = 25
  3000: >>> E[0:00:29]-R[0:01:09]: Return=     0.989, Steps=12.0, Features = 25
  3114: E[0:00:31]-R[0:01:08]: Return=     0.983, Steps=  18, Features = 25
  3221: E[0:00:32]-R[0:01:07]: Return=     0.991, Steps=  10, Features = 25
  3333: E[0:00:33]-R[0:01:05]: Return=     0.979, Steps=  22, Features = 25
  3449: E[0:00:34]-R[0:01:04]: Return=     0.983, Steps=  18, Features = 25
  3557: E[0:00:35]-R[0:01:03]: Return=     0.983, Steps=  18, Features = 25
  3682: E[0:00:36]-R[0:01:02]: Return=     0.971, Steps=  30, Features = 25
  3798: E[0:00:37]-R[0:01:01]: Return=     0.971, Steps=  30, Features = 25
  3911: E[0:00:38]-R[0:00:59]: Return=     0.977, Steps=  24, Features = 25
  4000: >>> E[0:00:39]-R[0:00:59]: Return=     0.989, Steps=12.0, Features = 25
  4109: E[0:00:40]-R[0:00:57]: Return=     0.985, Steps=  16, Features = 25
  4216: E[0:00:41]-R[0:00:56]: Return=     0.993, Steps=   8, Features = 25
  4330: E[0:00:42]-R[0:00:55]: Return=    -1.014, Steps=  15, Features = 25
  4444: E[0:00:43]-R[0:00:54]: Return=     0.967, Steps=  34, Features = 25
  4560: E[0:00:44]-R[0:00:53]: Return=     0.979, Steps=  22, Features = 25
  4662: E[0:00:45]-R[0:00:52]: Return=     0.987, Steps=  14, Features = 25
  4797: E[0:00:47]-R[0:00:51]: Return=     0.961, Steps=  40, Features = 25
  4906: E[0:00:48]-R[0:00:50]: Return=     0.991, Steps=  10, Features = 25
  5000: >>> E[0:00:49]-R[0:00:49]: Return=      0.99, Steps=11.0, Features = 25
  5112: E[0:00:50]-R[0:00:47]: Return=     0.989, Steps=  12, Features = 25
  5235: E[0:00:51]-R[0:00:46]: Return=     0.977, Steps=  24, Features = 25
  5346: E[0:00:52]-R[0:00:45]: Return=     0.991, Steps=  10, Features = 25
  5458: E[0:00:53]-R[0:00:44]: Return=     0.989, Steps=  12, Features = 25
  5568: E[0:00:54]-R[0:00:43]: Return=     0.989, Steps=  12, Features = 25
  5684: E[0:00:55]-R[0:00:42]: Return=     0.983, Steps=  18, Features = 25
  5800: E[0:00:56]-R[0:00:41]: Return=     0.985, Steps=  16, Features = 25
  5918: E[0:00:57]-R[0:00:40]: Return=     0.989, Steps=  12, Features = 25
