     0: >>> E[0:00:00]-R[?]: Return=    0.4738, Steps= 7.2, Features = 16
   566: E[0:00:09]-R[0:00:38]: Return=     0.991, Steps=  10, Features = 16
   600: >>> E[0:00:09]-R[0:00:37]: Return=    0.4144, Steps=6.64, Features = 16
   672: E[0:00:10]-R[0:00:36]: Return=    -1.001, Steps=   2, Features = 16
   742: E[0:00:11]-R[0:00:35]: Return=     0.995, Steps=   6, Features = 16
   820: E[0:00:12]-R[0:00:33]: Return=    -1.005, Steps=   6, Features = 16
   900: E[0:00:13]-R[0:00:31]: Return=    -1.007, Steps=   8, Features = 16
   900: >>> E[0:00:13]-R[0:00:31]: Return=    0.4938, Steps=7.16, Features = 16
   984: E[0:00:15]-R[0:00:30]: Return=     0.989, Steps=  12, Features = 16
  1062: E[0:00:16]-R[0:00:29]: Return=    -1.001, Steps=   2, Features = 16
  1146: E[0:00:17]-R[0:00:27]: Return=     0.991, Steps=  10, Features = 16
  1200: >>> E[0:00:17]-R[0:00:26]: Return=    0.5936, Steps=7.38, Features = 16
  1266: E[0:00:18]-R[0:00:25]: Return=     0.995, Steps=   6, Features = 16
  1344: E[0:00:20]-R[0:00:24]: Return=     0.989, Steps=  12, Features = 16
  1432: E[0:00:21]-R[0:00:23]: Return=     0.983, Steps=  18, Features = 16
  1500: >>> E[0:00:22]-R[0:00:22]: Return=     0.634, Steps= 7.0, Features = 16
  1576: E[0:00:23]-R[0:00:20]: Return=     0.989, Steps=  12, Features = 16
  1650: E[0:00:24]-R[0:00:19]: Return=    -1.001, Steps=   2, Features = 16
  1732: E[0:00:25]-R[0:00:18]: Return=     0.989, Steps=  12, Features = 16
  1800: >>> E[0:00:26]-R[0:00:17]: Return=    0.4742, Steps=6.84, Features = 16
  1878: E[0:00:27]-R[0:00:16]: Return=     0.995, Steps=   6, Features = 16
  1946: E[0:00:28]-R[0:00:15]: Return=     0.993, Steps=   8, Features = 16
  2012: E[0:00:29]-R[0:00:14]: Return=     0.995, Steps=   6, Features = 16
  2086: E[0:00:30]-R[0:00:13]: Return=     0.993, Steps=   8, Features = 16
  2100: >>> E[0:00:30]-R[0:00:13]: Return=    0.4943, Steps= 6.7, Features = 16
  2180: E[0:00:31]-R[0:00:12]: Return=    -1.003, Steps=   4, Features = 16
  2242: E[0:00:32]-R[0:00:11]: Return=    -1.005, Steps=   6, Features = 16
  2340: E[0:00:33]-R[0:00:09]: Return=     0.989, Steps=  12, Features = 16
  2400: >>> E[0:00:34]-R[0:00:08]: Return=    0.6334, Steps=7.62, Features = 16
  2494: E[0:00:35]-R[0:00:07]: Return=     0.995, Steps=   6, Features = 16
  2594: E[0:00:36]-R[0:00:06]: Return=     0.991, Steps=  10, Features = 16
  2700: >>> E[0:00:37]-R[0:00:04]: Return=    0.5936, Steps=7.44, Features = 16
  2798: E[0:00:38]-R[0:00:03]: Return=    -1.005, Steps=   6, Features = 16
  2892: E[0:00:39]-R[0:00:01]: Return=     0.993, Steps=   8, Features = 16
  2984: E[0:00:40]-R[0:00:00]: Return=     0.995, Steps=   6, Features = 16
  3000: >>> E[0:00:40]-R[0:00:00]: Return=    0.3943, Steps= 6.7, Features = 16
Total Experiment Duration 0:00:40
Output:			./Results/Experiment3/
     0: >>> E[0:00:00]-R[?]: Return=    0.4738, Steps= 7.2, Features = 16
    18: E[0:00:00]-R[0:00:59]: Return=     0.991, Steps=  10, Features = 16
    74: E[0:00:01]-R[0:00:55]: Return=    -1.005, Steps=   6, Features = 16
   136: E[0:00:02]-R[0:00:52]: Return=     0.991, Steps=  10, Features = 16
   188: E[0:00:03]-R[0:00:52]: Return=    -1.005, Steps=   6, Features = 16
   250: E[0:00:05]-R[0:00:52]: Return=     0.989, Steps=  12, Features = 16
   300: >>> E[0:00:06]-R[0:00:51]: Return=    0.4734, Steps=7.62, Features = 16
   354: E[0:00:07]-R[0:00:50]: Return=     0.995, Steps=   6, Features = 16
   416: E[0:00:08]-R[0:00:49]: Return=     0.985, Steps=  16, Features = 16
   478: E[0:00:09]-R[0:00:48]: Return=     0.989, Steps=  12, Features = 16
   536: E[0:00:10]-R[0:00:47]: Return=    -1.005, Steps=   6, Features = 16
   588: E[0:00:11]-R[0:00:46]: Return=     0.995, Steps=   6, Features = 16
   600: >>> E[0:00:11]-R[0:00:46]: Return=    0.4144, Steps=6.64, Features = 16
   658: E[0:00:13]-R[0:00:45]: Return=     0.995, Steps=   6, Features = 16
   708: E[0:00:14]-R[0:00:44]: Return=     0.995, Steps=   6, Features = 16
   758: E[0:00:15]-R[0:00:43]: Return=     0.991, Steps=  10, Features = 16
   814: E[0:00:16]-R[0:00:42]: Return=     0.995, Steps=   6, Features = 16
   866: E[0:00:17]-R[0:00:41]: Return=     0.993, Steps=   8, Features = 16
   900: >>> E[0:00:17]-R[0:00:41]: Return=    0.4938, Steps=7.16, Features = 16
   948: E[0:00:18]-R[0:00:40]: Return=     0.995, Steps=   6, Features = 16
  1000: E[0:00:19]-R[0:00:39]: Return=    -1.001, Steps=   2, Features = 16
  1060: E[0:00:21]-R[0:00:38]: Return=     0.991, Steps=  10, Features = 16
  1112: E[0:00:22]-R[0:00:37]: Return=     0.989, Steps=  12, Features = 16
  1168: E[0:00:23]-R[0:00:35]: Return=    -1.005, Steps=   6, Features = 16
  1200: >>> E[0:00:23]-R[0:00:35]: Return=    0.5936, Steps=7.38, Features = 16
  1260: E[0:00:24]-R[0:00:34]: Return=     0.989, Steps=  12, Features = 16
  1316: E[0:00:25]-R[0:00:32]: Return=     0.993, Steps=   8, Features = 16
  1376: E[0:00:26]-R[0:00:31]: Return=     0.993, Steps=   8, Features = 16
  1440: E[0:00:28]-R[0:00:30]: Return=    -1.007, Steps=   8, Features = 16
  1500: >>> E[0:00:29]-R[0:00:29]: Return=     0.634, Steps= 7.0, Features = 16
  1562: E[0:00:30]-R[0:00:27]: Return=     0.991, Steps=  10, Features = 16
  1622: E[0:00:31]-R[0:00:26]: Return=     0.985, Steps=  16, Features = 16
  1670: E[0:00:32]-R[0:00:25]: Return=    -1.003, Steps=   4, Features = 16
  1720: E[0:00:33]-R[0:00:24]: Return=     0.989, Steps=  12, Features = 16
  1778: E[0:00:34]-R[0:00:23]: Return=     0.993, Steps=   8, Features = 16
  1800: >>> E[0:00:34]-R[0:00:23]: Return=    0.4742, Steps=6.84, Features = 16
  1854: E[0:00:35]-R[0:00:22]: Return=     0.987, Steps=  14, Features = 16
  1910: E[0:00:37]-R[0:00:21]: Return=     0.991, Steps=  10, Features = 16
  1968: E[0:00:38]-R[0:00:20]: Return=     0.995, Steps=   6, Features = 16
  2022: E[0:00:39]-R[0:00:19]: Return=     0.993, Steps=   8, Features = 16
  2076: E[0:00:40]-R[0:00:18]: Return=    -1.007, Steps=   8, Features = 16
  2100: >>> E[0:00:40]-R[0:00:17]: Return=    0.4943, Steps= 6.7, Features = 16
  2166: E[0:00:41]-R[0:00:16]: Return=     0.995, Steps=   6, Features = 16
  2222: E[0:00:42]-R[0:00:15]: Return=     0.991, Steps=  10, Features = 16
  2270: E[0:00:43]-R[0:00:14]: Return=    -1.001, Steps=   2, Features = 16
  2320: E[0:00:45]-R[0:00:13]: Return=     0.995, Steps=   6, Features = 16
  2368: E[0:00:46]-R[0:00:12]: Return=     0.995, Steps=   6, Features = 16
  2400: >>> E[0:00:46]-R[0:00:12]: Return=    0.6334, Steps=7.62, Features = 16
  2450: E[0:00:47]-R[0:00:11]: Return=    -1.003, Steps=   4, Features = 16
  2508: E[0:00:48]-R[0:00:09]: Return=     0.993, Steps=   8, Features = 16
  2564: E[0:00:49]-R[0:00:08]: Return=     0.995, Steps=   6, Features = 16
  2618: E[0:00:50]-R[0:00:07]: Return=     0.995, Steps=   6, Features = 16
  2672: E[0:00:52]-R[0:00:06]: Return=     0.995, Steps=   6, Features = 16
  2700: >>> E[0:00:52]-R[0:00:06]: Return=    0.5936, Steps=7.44, Features = 16
  2756: E[0:00:53]-R[0:00:05]: Return=     0.993, Steps=   8, Features = 16
  2808: E[0:00:54]-R[0:00:04]: Return=    -1.003, Steps=   4, Features = 16
  2866: E[0:00:55]-R[0:00:03]: Return=     0.993, Steps=   8, Features = 16
  2926: E[0:00:56]-R[0:00:01]: Return=     0.991, Steps=  10, Features = 16
  2978: E[0:00:57]-R[0:00:00]: Return=    -1.001, Steps=   2, Features = 16
  3000: >>> E[0:00:58]-R[0:00:00]: Return=    0.3943, Steps= 6.7, Features = 16
Total Experiment Duration 0:00:58
Output:			./Results/Experiment3/
     0: >>> E[0:00:00]-R[?]: Return=   -0.8888, Steps= 9.8, Features = 25
    33: E[0:00:00]-R[0:00:45]: Return=     -1.01, Steps=  11, Features = 25
   160: E[0:00:02]-R[0:00:41]: Return=     -1.09, Steps=  91, Features = 25
   240: E[0:00:03]-R[0:00:39]: Return=    -1.003, Steps=   4, Features = 25
   300: >>> E[0:00:04]-R[0:00:37]: Return=    -1.046, Steps=86.56, Features = 25
   392: E[0:00:05]-R[0:00:35]: Return=    -1.147, Steps= 148, Features = 25
   495: E[0:00:07]-R[0:00:33]: Return=    -1.024, Steps=  25, Features = 25
   578: E[0:00:08]-R[0:00:32]: Return=    -1.028, Steps=  29, Features = 25
   600: >>> E[0:00:08]-R[0:00:32]: Return=   -0.9604, Steps=61.43, Features = 25
   730: E[0:00:10]-R[0:00:30]: Return=    -1.052, Steps=  53, Features = 25
   856: E[0:00:11]-R[0:00:28]: Return=    -1.092, Steps=  93, Features = 25
   900: >>> E[0:00:12]-R[0:00:27]: Return=    0.5677, Steps=33.33, Features = 25
  1018: E[0:00:13]-R[0:00:26]: Return=     0.875, Steps= 126, Features = 25
  1200: >>> E[0:00:16]-R[0:00:23]: Return=   -0.2551, Steps=76.13, Features = 25
  1310: E[0:00:17]-R[0:00:22]: Return=    -1.085, Steps=  86, Features = 25
  1400: E[0:00:18]-R[0:00:20]: Return=     0.967, Steps=  34, Features = 25
  1477: E[0:00:19]-R[0:00:20]: Return=     0.965, Steps=  36, Features = 25
  1500: >>> E[0:00:19]-R[0:00:19]: Return=    0.4631, Steps=37.88, Features = 25
  1605: E[0:00:21]-R[0:00:18]: Return=    -1.055, Steps=  56, Features = 25
  1699: E[0:00:22]-R[0:00:17]: Return=    -1.041, Steps=  42, Features = 25
  1800: >>> E[0:00:24]-R[0:00:16]: Return=    0.2391, Steps=41.93, Features = 25
  1857: E[0:00:25]-R[0:00:15]: Return=    -1.033, Steps=  34, Features = 25
  1911: E[0:00:26]-R[0:00:15]: Return=     0.967, Steps=  34, Features = 25
  1999: E[0:00:27]-R[0:00:14]: Return=     0.945, Steps=  56, Features = 25
  2081: E[0:00:28]-R[0:00:13]: Return=     0.967, Steps=  34, Features = 25
  2100: >>> E[0:00:29]-R[0:00:12]: Return=    0.3902, Steps=30.82, Features = 25
  2219: E[0:00:30]-R[0:00:11]: Return=    -1.033, Steps=  34, Features = 25
  2301: E[0:00:31]-R[0:00:09]: Return=     0.981, Steps=  20, Features = 25
  2388: E[0:00:32]-R[0:00:08]: Return=     0.991, Steps=  10, Features = 25
  2400: >>> E[0:00:32]-R[0:00:08]: Return=    0.1474, Steps=33.57, Features = 25
  2500: E[0:00:34]-R[0:00:07]: Return=     0.969, Steps=  32, Features = 25
  2605: E[0:00:35]-R[0:00:05]: Return=    -1.058, Steps=  59, Features = 25
  2687: E[0:00:36]-R[0:00:04]: Return=     0.989, Steps=  12, Features = 25
  2700: >>> E[0:00:36]-R[0:00:04]: Return=    0.5314, Steps=29.59, Features = 25
  2801: E[0:00:37]-R[0:00:03]: Return=     0.983, Steps=  18, Features = 25
  2905: E[0:00:38]-R[0:00:01]: Return=     0.967, Steps=  34, Features = 25
  3000: >>> E[0:00:40]-R[0:00:00]: Return=    0.7933, Steps=27.68, Features = 25
Total Experiment Duration 0:00:40
Output:			./Results/Experiment3/
     0: >>> E[0:00:00]-R[?]: Return=   -0.8074, Steps= 8.4, Features = 25
    15: E[0:00:01]-R[0:06:54]: Return=    -1.005, Steps=   6, Features = 25
   135: E[0:00:02]-R[0:02:13]: Return=    -1.022, Steps=  23, Features = 25
   246: E[0:00:03]-R[0:01:55]: Return=     -1.01, Steps=  11, Features = 25
