     0: >>> E[0:00:00]-R[?]: Return=    -0.924, Steps=5.02, Features = 16
  2102: E[0:00:25]-R[0:00:34]: Return=     0.993, Steps=   8, Features = 16
  2188: E[0:00:26]-R[0:00:33]: Return=     0.991, Steps=  10, Features = 16
  2304: E[0:00:27]-R[0:00:32]: Return=     0.993, Steps=   8, Features = 16
  2406: E[0:00:28]-R[0:00:30]: Return=     0.991, Steps=  10, Features = 16
  2490: E[0:00:29]-R[0:00:29]: Return=     0.983, Steps=  18, Features = 16
  2500: >>> E[0:00:29]-R[0:00:29]: Return=    0.7137, Steps=7.26, Features = 16
  2580: E[0:00:30]-R[0:00:28]: Return=     0.993, Steps=   8, Features = 16
  2658: E[0:00:31]-R[0:00:28]: Return=     0.989, Steps=  12, Features = 16
  2746: E[0:00:32]-R[0:00:27]: Return=     0.993, Steps=   8, Features = 16
  2832: E[0:00:33]-R[0:00:26]: Return=     0.995, Steps=   6, Features = 16
  2916: E[0:00:34]-R[0:00:25]: Return=     0.995, Steps=   6, Features = 16
  3000: >>> E[0:00:35]-R[0:00:24]: Return=    0.6529, Steps=8.12, Features = 16
  3070: E[0:00:36]-R[0:00:23]: Return=     0.995, Steps=   6, Features = 16
  3162: E[0:00:37]-R[0:00:22]: Return=     0.995, Steps=   6, Features = 16
  3262: E[0:00:39]-R[0:00:21]: Return=     0.995, Steps=   6, Features = 16
  3366: E[0:00:40]-R[0:00:19]: Return=     0.989, Steps=  12, Features = 16
  3492: E[0:00:41]-R[0:00:18]: Return=     0.985, Steps=  16, Features = 16
  3500: >>> E[0:00:41]-R[0:00:17]: Return=    0.5537, Steps=7.34, Features = 16
  3594: E[0:00:42]-R[0:00:16]: Return=     0.993, Steps=   8, Features = 16
  3708: E[0:00:43]-R[0:00:15]: Return=     0.995, Steps=   6, Features = 16
  3822: E[0:00:44]-R[0:00:13]: Return=     0.995, Steps=   6, Features = 16
  3936: E[0:00:45]-R[0:00:12]: Return=     0.987, Steps=  14, Features = 16
  4000: >>> E[0:00:46]-R[0:00:11]: Return=    0.6538, Steps=7.24, Features = 16
  4084: E[0:00:47]-R[0:00:10]: Return=     0.993, Steps=   8, Features = 16
  4180: E[0:00:48]-R[0:00:09]: Return=     0.995, Steps=   6, Features = 16
  4278: E[0:00:49]-R[0:00:08]: Return=     0.993, Steps=   8, Features = 16
  4376: E[0:00:50]-R[0:00:07]: Return=     0.991, Steps=  10, Features = 16
  4478: E[0:00:51]-R[0:00:06]: Return=     0.983, Steps=  18, Features = 16
  4500: >>> E[0:00:51]-R[0:00:06]: Return=     0.654, Steps=7.04, Features = 16
  4608: E[0:00:52]-R[0:00:04]: Return=     0.981, Steps=  20, Features = 16
  4704: E[0:00:53]-R[0:00:03]: Return=     0.993, Steps=   8, Features = 16
  4798: E[0:00:54]-R[0:00:02]: Return=    -1.005, Steps=   6, Features = 16
  4882: E[0:00:55]-R[0:00:01]: Return=     0.991, Steps=  10, Features = 16
  4978: E[0:00:56]-R[0:00:00]: Return=     0.993, Steps=   8, Features = 16
  5000: >>> E[0:00:56]-R[0:00:00]: Return=    0.6335, Steps=7.54, Features = 16
Total Experiment Duration 0:00:56
Output:			./Results/Experiment3/
     0: >>> E[0:00:00]-R[?]: Return=    -0.924, Steps=5.02, Features = 16
    16: E[0:00:00]-R[0:01:25]: Return=    -1.009, Steps=  10, Features = 16
    78: E[0:00:01]-R[0:01:30]: Return=    -1.015, Steps=  16, Features = 16
   152: E[0:00:03]-R[0:01:27]: Return=     0.963, Steps=  38, Features = 16
   210: E[0:00:04]-R[0:01:29]: Return=     0.991, Steps=  10, Features = 16
   276: E[0:00:05]-R[0:01:30]: Return=     0.985, Steps=  16, Features = 16
   326: E[0:00:06]-R[0:01:30]: Return=    -1.001, Steps=   2, Features = 16
   394: E[0:00:08]-R[0:01:29]: Return=     0.985, Steps=  16, Features = 16
   444: E[0:00:09]-R[0:01:29]: Return=    -1.007, Steps=   8, Features = 16
   496: E[0:00:10]-R[0:01:28]: Return=    -1.009, Steps=  10, Features = 16
   500: >>> E[0:00:10]-R[0:01:28]: Return=    0.4344, Steps= 6.6, Features = 16
   552: E[0:00:11]-R[0:01:27]: Return=    -1.001, Steps=   2, Features = 16
   606: E[0:00:12]-R[0:01:27]: Return=     0.989, Steps=  12, Features = 16
   662: E[0:00:13]-R[0:01:26]: Return=     0.991, Steps=  10, Features = 16
   714: E[0:00:14]-R[0:01:25]: Return=     0.993, Steps=   8, Features = 16
   772: E[0:00:15]-R[0:01:24]: Return=     0.991, Steps=  10, Features = 16
   826: E[0:00:16]-R[0:01:23]: Return=     0.989, Steps=  12, Features = 16
   890: E[0:00:18]-R[0:01:21]: Return=     0.991, Steps=  10, Features = 16
   950: E[0:00:19]-R[0:01:19]: Return=     0.993, Steps=   8, Features = 16
  1000: >>> E[0:00:19]-R[0:01:17]: Return=     0.534, Steps=7.04, Features = 16
  1114: E[0:00:20]-R[0:01:11]: Return=    -1.009, Steps=  10, Features = 16
  1230: E[0:00:21]-R[0:01:06]: Return=     0.985, Steps=  16, Features = 16
  1332: E[0:00:22]-R[0:01:02]: Return=     0.991, Steps=  10, Features = 16
  1438: E[0:00:24]-R[0:00:58]: Return=     0.989, Steps=  12, Features = 16
  1500: >>> E[0:00:24]-R[0:00:56]: Return=    0.6339, Steps=7.12, Features = 16
  1608: E[0:00:25]-R[0:00:53]: Return=    -1.003, Steps=   4, Features = 16
  1718: E[0:00:26]-R[0:00:50]: Return=     0.993, Steps=   8, Features = 16
  1828: E[0:00:27]-R[0:00:47]: Return=     0.991, Steps=  10, Features = 16
  1932: E[0:00:28]-R[0:00:45]: Return=     0.995, Steps=   6, Features = 16
  2000: >>> E[0:00:29]-R[0:00:43]: Return=    0.6334, Steps=7.56, Features = 16
  2116: E[0:00:30]-R[0:00:41]: Return=     0.993, Steps=   8, Features = 16
  2224: E[0:00:31]-R[0:00:39]: Return=     0.995, Steps=   6, Features = 16
  2332: E[0:00:32]-R[0:00:37]: Return=    -1.001, Steps=   2, Features = 16
  2436: E[0:00:33]-R[0:00:35]: Return=     0.993, Steps=   8, Features = 16
  2500: >>> E[0:00:34]-R[0:00:34]: Return=    0.7137, Steps=7.26, Features = 16
  2608: E[0:00:35]-R[0:00:32]: Return=    -1.001, Steps=   2, Features = 16
  2716: E[0:00:36]-R[0:00:30]: Return=     0.991, Steps=  10, Features = 16
  2824: E[0:00:37]-R[0:00:28]: Return=     0.989, Steps=  12, Features = 16
  2922: E[0:00:38]-R[0:00:27]: Return=     0.995, Steps=   6, Features = 16
  3000: >>> E[0:00:39]-R[0:00:26]: Return=    0.6529, Steps=8.12, Features = 16
  3090: E[0:00:40]-R[0:00:24]: Return=     0.995, Steps=   6, Features = 16
  3148: E[0:00:41]-R[0:00:24]: Return=     0.991, Steps=  10, Features = 16
  3204: E[0:00:42]-R[0:00:23]: Return=     0.993, Steps=   8, Features = 16
  3262: E[0:00:43]-R[0:00:23]: Return=     0.995, Steps=   6, Features = 16
  3344: E[0:00:44]-R[0:00:22]: Return=     0.995, Steps=   6, Features = 16
  3436: E[0:00:45]-R[0:00:20]: Return=     0.995, Steps=   6, Features = 16
  3500: >>> E[0:00:46]-R[0:00:20]: Return=    0.5537, Steps=7.34, Features = 16
  3594: E[0:00:47]-R[0:00:18]: Return=     0.993, Steps=   8, Features = 16
  3688: E[0:00:48]-R[0:00:17]: Return=     0.993, Steps=   8, Features = 16
  3808: E[0:00:49]-R[0:00:15]: Return=     0.993, Steps=   8, Features = 16
  3922: E[0:00:50]-R[0:00:14]: Return=     0.993, Steps=   8, Features = 16
  4000: >>> E[0:00:51]-R[0:00:13]: Return=    0.6538, Steps=7.24, Features = 16
  4108: E[0:00:52]-R[0:00:11]: Return=     0.993, Steps=   8, Features = 16
  4220: E[0:00:53]-R[0:00:10]: Return=     0.993, Steps=   8, Features = 16
  4324: E[0:00:54]-R[0:00:08]: Return=     0.993, Steps=   8, Features = 16
  4420: E[0:00:55]-R[0:00:07]: Return=     0.995, Steps=   6, Features = 16
  4500: >>> E[0:00:56]-R[0:00:06]: Return=     0.654, Steps=7.04, Features = 16
  4608: E[0:00:57]-R[0:00:05]: Return=     0.981, Steps=  20, Features = 16
  4712: E[0:00:58]-R[0:00:04]: Return=     0.995, Steps=   6, Features = 16
  4810: E[0:00:59]-R[0:00:02]: Return=    -1.011, Steps=  12, Features = 16
  4914: E[0:01:00]-R[0:00:01]: Return=     0.993, Steps=   8, Features = 16
  5000: >>> E[0:01:01]-R[0:00:00]: Return=    0.6335, Steps=7.54, Features = 16
Total Experiment Duration 0:01:01
Output:			./Results/Experiment3/
     0: >>> E[0:00:00]-R[?]: Return=   -0.9689, Steps=9.91, Features = 36
    25: E[0:00:00]-R[0:01:25]: Return=    -1.024, Steps=  25, Features = 36
   110: E[0:00:02]-R[0:01:25]: Return=    -1.036, Steps=  37, Features = 36
   245: E[0:00:04]-R[0:01:19]: Return=     -1.08, Steps=  81, Features = 36
   312: E[0:00:05]-R[0:01:18]: Return=    -1.018, Steps=  19, Features = 36
   411: E[0:00:07]-R[0:01:15]: Return=    -1.098, Steps=  99, Features = 36
   488: E[0:00:08]-R[0:01:13]: Return=     -1.01, Steps=  11, Features = 36
   500: >>> E[0:00:08]-R[0:01:13]: Return=    -1.039, Steps=40.47, Features = 36
   673: E[0:00:11]-R[0:01:09]: Return=     0.881, Steps= 120, Features = 36
   780: E[0:00:12]-R[0:01:07]: Return=    -1.048, Steps=  49, Features = 36
   874: E[0:00:14]-R[0:01:05]: Return=     0.945, Steps=  56, Features = 36
   974: E[0:00:15]-R[0:01:04]: Return=     0.939, Steps=  62, Features = 36
  1000: >>> E[0:00:16]-R[0:01:04]: Return=     -1.01, Steps=30.88, Features = 36
  1063: E[0:00:18]-R[0:01:07]: Return=     0.967, Steps=  34, Features = 36
  1126: E[0:00:19]-R[0:01:06]: Return=     -1.02, Steps=  21, Features = 36
  1254: E[0:00:21]-R[0:01:03]: Return=     0.931, Steps=  70, Features = 36
  1364: E[0:00:23]-R[0:01:01]: Return=     0.913, Steps=  88, Features = 36
  1434: E[0:00:24]-R[0:00:59]: Return=     0.961, Steps=  40, Features = 36
  1492: E[0:00:25]-R[0:00:59]: Return=    -1.002, Steps=   3, Features = 36
  1500: >>> E[0:00:25]-R[0:00:59]: Return=  -0.05735, Steps=38.35, Features = 36
  1576: E[0:00:26]-R[0:00:57]: Return=    -1.022, Steps=  23, Features = 36
  1666: E[0:00:28]-R[0:00:55]: Return=     0.961, Steps=  40, Features = 36
  1752: E[0:00:29]-R[0:00:53]: Return=    -1.054, Steps=  55, Features = 36
  1878: E[0:00:31]-R[0:00:52]: Return=    -1.067, Steps=  68, Features = 36
  1951: E[0:00:32]-R[0:00:50]: Return=     0.987, Steps=  14, Features = 36
  2000: >>> E[0:00:33]-R[0:00:50]: Return=   -0.4708, Steps=91.82, Features = 36
  2085: E[0:00:34]-R[0:00:48]: Return=    -1.021, Steps=  22, Features = 36
  2253: E[0:00:37]-R[0:00:45]: Return=     0.903, Steps=  98, Features = 36
  2339: E[0:00:38]-R[0:00:43]: Return=     0.955, Steps=  46, Features = 36
  2423: E[0:00:39]-R[0:00:42]: Return=     0.939, Steps=  62, Features = 36
  2496: E[0:00:40]-R[0:00:40]: Return=     0.975, Steps=  26, Features = 36
  2500: >>> E[0:00:40]-R[0:00:40]: Return=     0.667, Steps=13.99, Features = 36
  2573: E[0:00:41]-R[0:00:39]: Return=     0.987, Steps=  14, Features = 36
  2649: E[0:00:43]-R[0:00:38]: Return=     0.971, Steps=  30, Features = 36
  2722: E[0:00:44]-R[0:00:37]: Return=     -1.02, Steps=  21, Features = 36
  2839: E[0:00:45]-R[0:00:35]: Return=    -1.116, Steps= 117, Features = 36
  2925: E[0:00:47]-R[0:00:33]: Return=     0.953, Steps=  48, Features = 36
  3000: >>> E[0:00:48]-R[0:00:32]: Return=     0.227, Steps=34.02, Features = 36
  3085: E[0:00:49]-R[0:00:30]: Return=    -1.075, Steps=  76, Features = 36
  3182: E[0:00:50]-R[0:00:29]: Return=    -1.073, Steps=  74, Features = 36
  3245: E[0:00:52]-R[0:00:28]: Return=    -1.062, Steps=  63, Features = 36
  3317: E[0:00:55]-R[0:00:28]: Return=     0.929, Steps=  72, Features = 36
  3429: E[0:00:57]-R[0:00:26]: Return=     0.921, Steps=  80, Features = 36
  3500: >>> E[0:00:58]-R[0:00:25]: Return=    0.3042, Steps=16.81, Features = 36
  3572: E[0:00:59]-R[0:00:24]: Return=     -1.01, Steps=  11, Features = 36
  3651: E[0:01:00]-R[0:00:22]: Return=    -1.023, Steps=  24, Features = 36
  3725: E[0:01:01]-R[0:00:21]: Return=     0.985, Steps=  16, Features = 36
  3788: E[0:01:02]-R[0:00:20]: Return=    -1.004, Steps=   5, Features = 36
  3853: E[0:01:03]-R[0:00:19]: Return=    -1.011, Steps=  12, Features = 36
  3937: E[0:01:05]-R[0:00:17]: Return=    -1.023, Steps=  24, Features = 36
  3997: E[0:01:06]-R[0:00:17]: Return=     -1.03, Steps=  31, Features = 36
  4000: >>> E[0:01:06]-R[0:00:16]: Return=   -0.3733, Steps=74.32, Features = 36
  4095: E[0:01:07]-R[0:00:15]: Return=     0.939, Steps=  62, Features = 36
  4185: E[0:01:08]-R[0:00:13]: Return=     0.971, Steps=  30, Features = 36
  4252: E[0:01:10]-R[0:00:12]: Return=     -1.01, Steps=  11, Features = 36
  4311: E[0:01:11]-R[0:00:11]: Return=    -1.013, Steps=  14, Features = 36
  4423: E[0:01:12]-R[0:00:09]: Return=     0.953, Steps=  48, Features = 36
  4500: >>> E[0:01:13]-R[0:00:08]: Return=   -0.4795, Steps=60.48, Features = 36
  4601: E[0:01:15]-R[0:00:06]: Return=     -1.07, Steps=  71, Features = 36
  4709: E[0:01:16]-R[0:00:05]: Return=     0.925, Steps=  76, Features = 36
  4826: E[0:01:18]-R[0:00:03]: Return=    -1.052, Steps=  53, Features = 36
  4911: E[0:01:19]-R[0:00:01]: Return=     -1.06, Steps=  61, Features = 36
  5000: >>> E[0:01:21]-R[0:00:00]: Return=   -0.6232, Steps=84.23, Features = 36
Total Experiment Duration 0:01:21
Output:			./Results/Experiment3/
