     0: >>> E[0:00:00]-R[?]: Return=   -0.8642, Steps= 5.2, Features = 16
  2556: E[0:00:30]-R[0:01:26]: Return=     0.993, Steps=   8, Features = 16
  2664: E[0:00:31]-R[0:01:24]: Return=     0.991, Steps=  10, Features = 16
  2754: E[0:00:32]-R[0:01:23]: Return=     0.987, Steps=  14, Features = 16
  2832: E[0:00:33]-R[0:01:23]: Return=     0.989, Steps=  12, Features = 16
  2928: E[0:00:34]-R[0:01:22]: Return=     0.985, Steps=  16, Features = 16
  3000: >>> E[0:00:35]-R[0:01:21]: Return=    0.6129, Steps=8.14, Features = 16
  3104: E[0:00:36]-R[0:01:19]: Return=     0.989, Steps=  12, Features = 16
  3208: E[0:00:37]-R[0:01:18]: Return=     0.995, Steps=   6, Features = 16
  3306: E[0:00:38]-R[0:01:16]: Return=     0.993, Steps=   8, Features = 16
  3392: E[0:00:39]-R[0:01:16]: Return=    -1.003, Steps=   4, Features = 16
  3508: E[0:00:40]-R[0:01:14]: Return=     0.927, Steps=  74, Features = 16
  3600: E[0:00:41]-R[0:01:13]: Return=     0.989, Steps=  12, Features = 16
  3684: E[0:00:42]-R[0:01:12]: Return=     0.987, Steps=  14, Features = 16
  3778: E[0:00:43]-R[0:01:11]: Return=     0.993, Steps=   8, Features = 16
  3874: E[0:00:44]-R[0:01:10]: Return=    -1.009, Steps=  10, Features = 16
  3982: E[0:00:45]-R[0:01:09]: Return=     0.989, Steps=  12, Features = 16
  4000: >>> E[0:00:46]-R[0:01:09]: Return=    0.6116, Steps=9.44, Features = 16
  4114: E[0:00:47]-R[0:01:07]: Return=     0.989, Steps=  12, Features = 16
  4218: E[0:00:48]-R[0:01:06]: Return=    -1.001, Steps=   2, Features = 16
  4322: E[0:00:49]-R[0:01:04]: Return=     0.993, Steps=   8, Features = 16
  4438: E[0:00:50]-R[0:01:03]: Return=     0.969, Steps=  32, Features = 16
  4536: E[0:00:51]-R[0:01:02]: Return=     0.991, Steps=  10, Features = 16
  4658: E[0:00:52]-R[0:01:00]: Return=     0.993, Steps=   8, Features = 16
  4762: E[0:00:53]-R[0:00:59]: Return=     0.993, Steps=   8, Features = 16
  4866: E[0:00:54]-R[0:00:57]: Return=     0.991, Steps=  10, Features = 16
  4960: E[0:00:55]-R[0:00:56]: Return=     0.995, Steps=   6, Features = 16
  5000: >>> E[0:00:56]-R[0:00:56]: Return=     0.573, Steps=7.98, Features = 16
  5098: E[0:00:57]-R[0:00:55]: Return=     0.995, Steps=   6, Features = 16
  5176: E[0:00:58]-R[0:00:54]: Return=     0.983, Steps=  18, Features = 16
  5262: E[0:00:59]-R[0:00:53]: Return=     0.995, Steps=   6, Features = 16
  5348: E[0:01:00]-R[0:00:52]: Return=     0.989, Steps=  12, Features = 16
  5466: E[0:01:01]-R[0:00:51]: Return=     0.987, Steps=  14, Features = 16
  5560: E[0:01:02]-R[0:00:50]: Return=    -1.005, Steps=   6, Features = 16
  5644: E[0:01:03]-R[0:00:49]: Return=    -1.001, Steps=   2, Features = 16
  5728: E[0:01:04]-R[0:00:48]: Return=    -1.003, Steps=   4, Features = 16
  5808: E[0:01:05]-R[0:00:47]: Return=     0.995, Steps=   6, Features = 16
  5898: E[0:01:06]-R[0:00:46]: Return=    -1.001, Steps=   2, Features = 16
  5988: E[0:01:07]-R[0:00:45]: Return=     0.991, Steps=  10, Features = 16
  6000: >>> E[0:01:07]-R[0:00:45]: Return=    0.5524, Steps= 8.6, Features = 16
  6100: E[0:01:08]-R[0:00:44]: Return=     0.993, Steps=   8, Features = 16
  6196: E[0:01:09]-R[0:00:43]: Return=     0.995, Steps=   6, Features = 16
  6286: E[0:01:10]-R[0:00:42]: Return=     0.993, Steps=   8, Features = 16
  6378: E[0:01:12]-R[0:00:41]: Return=     0.993, Steps=   8, Features = 16
  6462: E[0:01:13]-R[0:00:40]: Return=     0.991, Steps=  10, Features = 16
  6552: E[0:01:14]-R[0:00:39]: Return=     0.987, Steps=  14, Features = 16
  6648: E[0:01:15]-R[0:00:38]: Return=     0.991, Steps=  10, Features = 16
  6758: E[0:01:16]-R[0:00:36]: Return=     0.973, Steps=  28, Features = 16
  6852: E[0:01:17]-R[0:00:35]: Return=    -1.001, Steps=   2, Features = 16
  6946: E[0:01:18]-R[0:00:34]: Return=     0.991, Steps=  10, Features = 16
  7000: >>> E[0:01:18]-R[0:00:34]: Return=    0.6924, Steps=8.62, Features = 16
  7094: E[0:01:20]-R[0:00:33]: Return=     0.993, Steps=   8, Features = 16
  7192: E[0:01:21]-R[0:00:31]: Return=     0.995, Steps=   6, Features = 16
  7292: E[0:01:22]-R[0:00:30]: Return=    -1.015, Steps=  16, Features = 16
  7392: E[0:01:23]-R[0:00:29]: Return=     0.987, Steps=  14, Features = 16
  7494: E[0:01:24]-R[0:00:28]: Return=     0.993, Steps=   8, Features = 16
  7616: E[0:01:25]-R[0:00:27]: Return=     0.977, Steps=  24, Features = 16
  7716: E[0:01:26]-R[0:00:25]: Return=     0.991, Steps=  10, Features = 16
  7814: E[0:01:27]-R[0:00:24]: Return=     0.981, Steps=  20, Features = 16
  7900: E[0:01:28]-R[0:00:23]: Return=     0.995, Steps=   6, Features = 16
  7998: E[0:01:29]-R[0:00:22]: Return=    -1.005, Steps=   6, Features = 16
  8000: >>> E[0:01:29]-R[0:00:22]: Return=    0.6319, Steps=9.06, Features = 16
  8110: E[0:01:30]-R[0:00:21]: Return=     0.971, Steps=  30, Features = 16
  8192: E[0:01:31]-R[0:00:20]: Return=    -1.007, Steps=   8, Features = 16
  8286: E[0:01:32]-R[0:00:19]: Return=     0.995, Steps=   6, Features = 16
  8372: E[0:01:33]-R[0:00:18]: Return=     0.987, Steps=  14, Features = 16
  8476: E[0:01:35]-R[0:00:17]: Return=     0.965, Steps=  36, Features = 16
  8556: E[0:01:36]-R[0:00:16]: Return=     0.995, Steps=   6, Features = 16
  8624: E[0:01:37]-R[0:00:15]: Return=     0.995, Steps=   6, Features = 16
  8718: E[0:01:38]-R[0:00:14]: Return=     0.983, Steps=  18, Features = 16
  8822: E[0:01:39]-R[0:00:13]: Return=    -1.003, Steps=   4, Features = 16
  8944: E[0:01:40]-R[0:00:12]: Return=     0.981, Steps=  20, Features = 16
  9000: >>> E[0:01:41]-R[0:00:11]: Return=    0.6326, Steps=8.38, Features = 16
  9102: E[0:01:42]-R[0:00:10]: Return=     0.959, Steps=  42, Features = 16
  9174: E[0:01:43]-R[0:00:09]: Return=     0.995, Steps=   6, Features = 16
  9276: E[0:01:44]-R[0:00:08]: Return=     0.989, Steps=  12, Features = 16
  9374: E[0:01:45]-R[0:00:07]: Return=     0.985, Steps=  16, Features = 16
  9476: E[0:01:46]-R[0:00:06]: Return=     0.993, Steps=   8, Features = 16
  9584: E[0:01:47]-R[0:00:05]: Return=     0.971, Steps=  30, Features = 16
  9698: E[0:01:48]-R[0:00:03]: Return=     0.991, Steps=  10, Features = 16
  9804: E[0:01:50]-R[0:00:02]: Return=    -1.009, Steps=  10, Features = 16
  9930: E[0:01:51]-R[0:00:01]: Return=     0.969, Steps=  32, Features = 16
 10000: >>> E[0:01:51]-R[0:00:00]: Return=     0.533, Steps=7.96, Features = 16
Total Experiment Duration 0:01:51
Output:			./Results/Experiment5/
     0: >>> E[0:00:00]-R[?]: Return=   -0.8642, Steps= 5.2, Features = 16
    62: E[0:00:01]-R[0:01:47]: Return=    -1.015, Steps=  16, Features = 16
   138: E[0:00:02]-R[0:01:59]: Return=    -1.013, Steps=  14, Features = 16
   188: E[0:00:03]-R[0:02:21]: Return=    -1.003, Steps=   4, Features = 16
   238: E[0:00:04]-R[0:02:34]: Return=    -1.005, Steps=   6, Features = 16
   286: E[0:00:05]-R[0:02:44]: Return=    -1.011, Steps=  12, Features = 16
   342: E[0:00:06]-R[0:02:46]: Return=     0.973, Steps=  28, Features = 16
   396: E[0:00:07]-R[0:02:47]: Return=    -1.003, Steps=   4, Features = 16
   468: E[0:00:08]-R[0:02:41]: Return=     0.987, Steps=  14, Features = 16
   562: E[0:00:09]-R[0:02:30]: Return=     0.995, Steps=   6, Features = 16
   666: E[0:00:10]-R[0:02:20]: Return=     0.985, Steps=  16, Features = 16
   766: E[0:00:11]-R[0:02:13]: Return=     0.995, Steps=   6, Features = 16
   874: E[0:00:12]-R[0:02:08]: Return=     0.985, Steps=  16, Features = 16
   974: E[0:00:13]-R[0:02:03]: Return=    -1.003, Steps=   4, Features = 16
  1000: >>> E[0:00:14]-R[0:02:02]: Return=    0.6513, Steps=9.66, Features = 16
  1118: E[0:00:15]-R[0:01:58]: Return=    -1.025, Steps=  26, Features = 16
  1198: E[0:00:16]-R[0:01:57]: Return=     0.991, Steps=  10, Features = 16
  1302: E[0:00:17]-R[0:01:53]: Return=     0.995, Steps=   6, Features = 16
  1406: E[0:00:18]-R[0:01:50]: Return=     0.993, Steps=   8, Features = 16
  1506: E[0:00:19]-R[0:01:47]: Return=     0.993, Steps=   8, Features = 16
  1616: E[0:00:20]-R[0:01:44]: Return=     0.985, Steps=  16, Features = 16
  1722: E[0:00:21]-R[0:01:42]: Return=     0.991, Steps=  10, Features = 16
  1818: E[0:00:22]-R[0:01:40]: Return=     0.995, Steps=   6, Features = 16
  1934: E[0:00:23]-R[0:01:37]: Return=     0.943, Steps=  58, Features = 16
  2000: >>> E[0:00:24]-R[0:01:36]: Return=    0.5922, Steps=8.76, Features = 16
  2106: E[0:00:25]-R[0:01:34]: Return=     0.995, Steps=   6, Features = 16
  2232: E[0:00:26]-R[0:01:31]: Return=     0.991, Steps=  10, Features = 16
  2346: E[0:00:27]-R[0:01:29]: Return=     0.971, Steps=  30, Features = 16
  2450: E[0:00:28]-R[0:01:28]: Return=     0.985, Steps=  16, Features = 16
  2542: E[0:00:29]-R[0:01:26]: Return=    -1.001, Steps=   2, Features = 16
  2632: E[0:00:30]-R[0:01:25]: Return=     0.983, Steps=  18, Features = 16
  2734: E[0:00:32]-R[0:01:24]: Return=     0.993, Steps=   8, Features = 16
  2832: E[0:00:33]-R[0:01:23]: Return=     0.989, Steps=  12, Features = 16
  2928: E[0:00:34]-R[0:01:21]: Return=     0.985, Steps=  16, Features = 16
  3000: >>> E[0:00:34]-R[0:01:20]: Return=    0.6129, Steps=8.14, Features = 16
  3080: E[0:00:35]-R[0:01:20]: Return=    -1.003, Steps=   4, Features = 16
  3176: E[0:00:36]-R[0:01:18]: Return=     0.991, Steps=  10, Features = 16
  3272: E[0:00:38]-R[0:01:17]: Return=    -1.005, Steps=   6, Features = 16
  3364: E[0:00:39]-R[0:01:16]: Return=     0.993, Steps=   8, Features = 16
  3508: E[0:00:40]-R[0:01:14]: Return=     0.927, Steps=  74, Features = 16
  3600: E[0:00:41]-R[0:01:13]: Return=     0.989, Steps=  12, Features = 16
  3692: E[0:00:42]-R[0:01:12]: Return=     0.993, Steps=   8, Features = 16
  3778: E[0:00:43]-R[0:01:11]: Return=     0.993, Steps=   8, Features = 16
  3874: E[0:00:44]-R[0:01:10]: Return=    -1.009, Steps=  10, Features = 16
  3970: E[0:00:45]-R[0:01:09]: Return=     0.981, Steps=  20, Features = 16
  4000: >>> E[0:00:46]-R[0:01:09]: Return=    0.6116, Steps=9.44, Features = 16
  4056: E[0:00:47]-R[0:01:09]: Return=     0.987, Steps=  14, Features = 16
  4114: E[0:00:48]-R[0:01:09]: Return=     0.989, Steps=  12, Features = 16
  4164: E[0:00:49]-R[0:01:09]: Return=    -1.003, Steps=   4, Features = 16
  4252: E[0:00:50]-R[0:01:08]: Return=     0.991, Steps=  10, Features = 16
  4338: E[0:00:51]-R[0:01:07]: Return=     0.993, Steps=   8, Features = 16
  4438: E[0:00:53]-R[0:01:06]: Return=     0.969, Steps=  32, Features = 16
  4536: E[0:00:54]-R[0:01:05]: Return=     0.991, Steps=  10, Features = 16
  4630: E[0:00:55]-R[0:01:03]: Return=     0.993, Steps=   8, Features = 16
  4726: E[0:00:56]-R[0:01:02]: Return=     0.989, Steps=  12, Features = 16
  4818: E[0:00:57]-R[0:01:01]: Return=     0.991, Steps=  10, Features = 16
  4906: E[0:00:58]-R[0:01:00]: Return=     0.993, Steps=   8, Features = 16
  5000: >>> E[0:00:59]-R[0:00:59]: Return=     0.573, Steps=7.98, Features = 16
  5098: E[0:01:00]-R[0:00:58]: Return=     0.995, Steps=   6, Features = 16
  5188: E[0:01:01]-R[0:00:56]: Return=    -1.001, Steps=   2, Features = 16
  5276: E[0:01:02]-R[0:00:55]: Return=     0.989, Steps=  12, Features = 16
  5362: E[0:01:03]-R[0:00:54]: Return=     0.987, Steps=  14, Features = 16
  5452: E[0:01:04]-R[0:00:53]: Return=     0.991, Steps=  10, Features = 16
  5546: E[0:01:05]-R[0:00:52]: Return=    -1.019, Steps=  20, Features = 16
  5634: E[0:01:06]-R[0:00:51]: Return=    -1.001, Steps=   2, Features = 16
  5724: E[0:01:07]-R[0:00:50]: Return=     0.995, Steps=   6, Features = 16
  5818: E[0:01:08]-R[0:00:49]: Return=     0.991, Steps=  10, Features = 16
  5910: E[0:01:09]-R[0:00:48]: Return=    -1.003, Steps=   4, Features = 16
  6000: >>> E[0:01:10]-R[0:00:47]: Return=    0.5524, Steps= 8.6, Features = 16
  6092: E[0:01:11]-R[0:00:46]: Return=     0.989, Steps=  12, Features = 16
  6166: E[0:01:12]-R[0:00:45]: Return=     0.995, Steps=   6, Features = 16
  6264: E[0:01:13]-R[0:00:44]: Return=     0.985, Steps=  16, Features = 16
  6352: E[0:01:14]-R[0:00:43]: Return=     0.991, Steps=  10, Features = 16
  6448: E[0:01:16]-R[0:00:42]: Return=     0.991, Steps=  10, Features = 16
  6552: E[0:01:17]-R[0:00:40]: Return=     0.987, Steps=  14, Features = 16
  6648: E[0:01:18]-R[0:00:39]: Return=     0.991, Steps=  10, Features = 16
  6758: E[0:01:19]-R[0:00:38]: Return=     0.973, Steps=  28, Features = 16
  6850: E[0:01:20]-R[0:00:37]: Return=     0.991, Steps=  10, Features = 16
  6936: E[0:01:21]-R[0:00:36]: Return=     0.993, Steps=   8, Features = 16
  7000: >>> E[0:01:22]-R[0:00:35]: Return=    0.6924, Steps=8.62, Features = 16
  7104: E[0:01:23]-R[0:00:34]: Return=     0.991, Steps=  10, Features = 16
  7192: E[0:01:24]-R[0:00:33]: Return=     0.995, Steps=   6, Features = 16
  7292: E[0:01:25]-R[0:00:31]: Return=    -1.015, Steps=  16, Features = 16
  7392: E[0:01:26]-R[0:00:30]: Return=     0.987, Steps=  14, Features = 16
  7486: E[0:01:27]-R[0:00:29]: Return=     0.993, Steps=   8, Features = 16
  7546: E[0:01:28]-R[0:00:29]: Return=     0.989, Steps=  12, Features = 16
  7592: E[0:01:29]-R[0:00:28]: Return=    -1.001, Steps=   2, Features = 16
  7644: E[0:01:30]-R[0:00:28]: Return=     0.991, Steps=  10, Features = 16
  7698: E[0:01:31]-R[0:00:27]: Return=    -1.007, Steps=   8, Features = 16
  7774: E[0:01:32]-R[0:00:26]: Return=     0.993, Steps=   8, Features = 16
  7868: E[0:01:33]-R[0:00:25]: Return=     0.989, Steps=  12, Features = 16
  7964: E[0:01:34]-R[0:00:24]: Return=     0.991, Steps=  10, Features = 16
  8000: >>> E[0:01:35]-R[0:00:24]: Return=    0.6319, Steps=9.06, Features = 16
  8110: E[0:01:36]-R[0:00:22]: Return=     0.971, Steps=  30, Features = 16
  8216: E[0:01:37]-R[0:00:21]: Return=     0.977, Steps=  24, Features = 16
  8306: E[0:01:38]-R[0:00:20]: Return=     0.991, Steps=  10, Features = 16
  8402: E[0:01:39]-R[0:00:19]: Return=     0.981, Steps=  20, Features = 16
  8518: E[0:01:40]-R[0:00:17]: Return=     0.967, Steps=  34, Features = 16
  8610: E[0:01:41]-R[0:00:16]: Return=     0.991, Steps=  10, Features = 16
  8700: E[0:01:42]-R[0:00:15]: Return=     0.993, Steps=   8, Features = 16
  8788: E[0:01:43]-R[0:00:14]: Return=     0.983, Steps=  18, Features = 16
  8876: E[0:01:44]-R[0:00:13]: Return=     0.993, Steps=   8, Features = 16
  8968: E[0:01:45]-R[0:00:12]: Return=     0.995, Steps=   6, Features = 16
  9000: >>> E[0:01:46]-R[0:00:12]: Return=    0.6326, Steps=8.38, Features = 16
  9102: E[0:01:47]-R[0:00:11]: Return=     0.959, Steps=  42, Features = 16
  9190: E[0:01:48]-R[0:00:10]: Return=     0.995, Steps=   6, Features = 16
  9284: E[0:01:49]-R[0:00:08]: Return=     0.993, Steps=   8, Features = 16
  9384: E[0:01:50]-R[0:00:07]: Return=     0.991, Steps=  10, Features = 16
  9476: E[0:01:51]-R[0:00:06]: Return=     0.993, Steps=   8, Features = 16
  9584: E[0:01:52]-R[0:00:05]: Return=     0.971, Steps=  30, Features = 16
  9680: E[0:01:53]-R[0:00:04]: Return=     0.985, Steps=  16, Features = 16
  9788: E[0:01:54]-R[0:00:02]: Return=     0.967, Steps=  34, Features = 16
  9892: E[0:01:56]-R[0:00:01]: Return=    -1.011, Steps=  12, Features = 16
  9998: E[0:01:57]-R[0:00:00]: Return=     0.987, Steps=  14, Features = 16
 10000: >>> E[0:01:57]-R[0:00:00]: Return=     0.533, Steps=7.96, Features = 16
Total Experiment Duration 0:01:57
Output:			./Results/Experiment5/
     0: >>> E[0:00:00]-R[?]: Return=    -1.011, Steps=11.82, Features = 64
     6: E[0:00:00]-R[0:05:49]: Return=    -1.005, Steps=   6, Features = 64
    40: E[0:00:01]-R[0:05:25]: Return=    -1.026, Steps=  27, Features = 64
    80: E[0:00:03]-R[0:05:46]: Return=    -1.025, Steps=  26, Features = 64
   119: E[0:00:04]-R[0:05:50]: Return=    -1.038, Steps=  39, Features = 64
   179: E[0:00:07]-R[0:06:23]: Return=    -1.042, Steps=  43, Features = 64
   206: E[0:00:08]-R[0:06:25]: Return=    -1.026, Steps=  27, Features = 64
   243: E[0:00:09]-R[0:06:21]: Return=    -1.036, Steps=  37, Features = 64
   270: E[0:00:11]-R[0:06:23]: Return=    -1.026, Steps=  27, Features = 64
   299: E[0:00:12]-R[0:06:21]: Return=    -1.028, Steps=  29, Features = 64
   324: E[0:00:13]-R[0:06:22]: Return=    -1.003, Steps=   4, Features = 64
   371: E[0:00:15]-R[0:06:23]: Return=    -1.046, Steps=  47, Features = 64
   441: E[0:00:18]-R[0:06:20]: Return=    -1.069, Steps=  70, Features = 64
   474: E[0:00:19]-R[0:06:21]: Return=    -1.032, Steps=  33, Features = 64
   505: E[0:00:20]-R[0:06:22]: Return=    -1.021, Steps=  22, Features = 64
   552: E[0:00:22]-R[0:06:20]: Return=    -1.033, Steps=  34, Features = 64
   598: E[0:00:24]-R[0:06:17]: Return=    -1.023, Steps=  24, Features = 64
   648: E[0:00:26]-R[0:06:14]: Return=    -1.039, Steps=  40, Features = 64
   674: E[0:00:27]-R[0:06:13]: Return=    -1.025, Steps=  26, Features = 64
   702: E[0:00:28]-R[0:06:11]: Return=    -1.011, Steps=  12, Features = 64
   866: E[0:00:34]-R[0:06:03]: Return=    -1.141, Steps= 142, Features = 64
   908: E[0:00:36]-R[0:06:01]: Return=    -1.041, Steps=  42, Features = 64
   957: E[0:00:38]-R[0:06:00]: Return=    -1.026, Steps=  27, Features = 64
   988: E[0:00:39]-R[0:06:00]: Return=     -1.03, Steps=  31, Features = 64
  1000: >>> E[0:00:40]-R[0:06:00]: Return=    -1.029, Steps=30.37, Features = 64
  1061: E[0:00:42]-R[0:05:55]: Return=    -1.044, Steps=  45, Features = 64
  1107: E[0:00:44]-R[0:05:55]: Return=    -1.024, Steps=  25, Features = 64
  1148: E[0:00:46]-R[0:05:55]: Return=     -1.04, Steps=  41, Features = 64
  1277: E[0:00:51]-R[0:05:50]: Return=    -1.118, Steps= 119, Features = 64
  1524: E[0:01:00]-R[0:05:36]: Return=    -1.235, Steps= 236, Features = 64
  1611: E[0:01:04]-R[0:05:33]: Return=    -1.086, Steps=  87, Features = 64
  1651: E[0:01:06]-R[0:05:32]: Return=    -1.039, Steps=  40, Features = 64
  1728: E[0:01:08]-R[0:05:27]: Return=    -1.076, Steps=  77, Features = 64
  1771: E[0:01:10]-R[0:05:25]: Return=    -1.023, Steps=  24, Features = 64
  1819: E[0:01:12]-R[0:05:23]: Return=    -1.024, Steps=  25, Features = 64
  1903: E[0:01:13]-R[0:05:12]: Return=    -1.083, Steps=  84, Features = 64
  1990: E[0:01:15]-R[0:05:02]: Return=    -1.086, Steps=  87, Features = 64
  2000: >>> E[0:01:15]-R[0:05:01]: Return=    -1.198, Steps=209.27, Features = 64
  2133: E[0:01:18]-R[0:04:47]: Return=    -1.134, Steps= 135, Features = 64
  2347: E[0:01:22]-R[0:04:27]: Return=    -1.213, Steps= 214, Features = 64
  2415: E[0:01:23]-R[0:04:21]: Return=    -1.064, Steps=  65, Features = 64
  2472: E[0:01:24]-R[0:04:16]: Return=    -1.033, Steps=  34, Features = 64
  2902: E[0:01:33]-R[0:03:47]: Return=     -1.41, Steps= 411, Features = 64
  3000: >>> E[0:01:34]-R[0:03:40]: Return=    -1.138, Steps=138.9, Features = 64
  3128: E[0:01:37]-R[0:03:33]: Return=    -1.111, Steps= 112, Features = 64
  3358: E[0:01:41]-R[0:03:21]: Return=    -1.229, Steps= 230, Features = 64
  3454: E[0:01:43]-R[0:03:16]: Return=    -1.095, Steps=  96, Features = 64
  3603: E[0:01:46]-R[0:03:08]: Return=    -1.148, Steps= 149, Features = 64
  3938: E[0:01:52]-R[0:02:52]: Return=    -1.334, Steps= 335, Features = 64
  4000: >>> E[0:01:53]-R[0:02:50]: Return=    -1.276, Steps=307.47, Features = 64
  4193: E[0:02:01]-R[0:02:48]: Return=    -1.218, Steps= 219, Features = 64
  4238: E[0:02:03]-R[0:02:47]: Return=    -1.044, Steps=  45, Features = 64
  4292: E[0:02:05]-R[0:02:46]: Return=    -1.053, Steps=  54, Features = 64
  4334: E[0:02:07]-R[0:02:46]: Return=    -1.041, Steps=  42, Features = 64
  4362: E[0:02:08]-R[0:02:46]: Return=    -1.027, Steps=  28, Features = 64
  4407: E[0:02:10]-R[0:02:45]: Return=    -1.044, Steps=  45, Features = 64
  4905: E[0:02:28]-R[0:02:33]: Return=    -1.497, Steps= 498, Features = 64
  4958: E[0:02:30]-R[0:02:32]: Return=    -1.048, Steps=  49, Features = 64
  5000: >>> E[0:02:31]-R[0:02:31]: Return=    -1.189, Steps=189.67, Features = 64
  5244: E[0:02:41]-R[0:02:26]: Return=    -1.285, Steps= 286, Features = 64
  5269: E[0:02:42]-R[0:02:25]: Return=    -1.024, Steps=  25, Features = 64
  5385: E[0:02:46]-R[0:02:23]: Return=    -1.115, Steps= 116, Features = 64
  5678: E[0:02:58]-R[0:02:15]: Return=    -1.292, Steps= 293, Features = 64
  5750: E[0:03:00]-R[0:02:13]: Return=    -1.071, Steps=  72, Features = 64
  5842: E[0:03:04]-R[0:02:11]: Return=    -1.091, Steps=  92, Features = 64
  5893: E[0:03:06]-R[0:02:10]: Return=     -1.05, Steps=  51, Features = 64
  5940: E[0:03:08]-R[0:02:09]: Return=    -1.046, Steps=  47, Features = 64
  6000: >>> E[0:03:11]-R[0:02:07]: Return=    -1.114, Steps=135.14, Features = 64
  6119: E[0:03:15]-R[0:02:04]: Return=    -1.153, Steps= 154, Features = 64
  6349: E[0:03:24]-R[0:01:57]: Return=    -1.229, Steps= 230, Features = 64
  6494: E[0:03:29]-R[0:01:53]: Return=    -1.119, Steps= 120, Features = 64
  6561: E[0:03:31]-R[0:01:51]: Return=    -1.066, Steps=  67, Features = 64
  6672: E[0:03:35]-R[0:01:47]: Return=     -1.11, Steps= 111, Features = 64
  7000: >>> E[0:03:46]-R[0:01:37]: Return=     -1.22, Steps=231.43, Features = 64
  7079: E[0:03:49]-R[0:01:34]: Return=    -1.063, Steps=  64, Features = 64
  7210: E[0:03:53]-R[0:01:30]: Return=     -1.13, Steps= 131, Features = 64
  7250: E[0:03:54]-R[0:01:29]: Return=    -1.039, Steps=  40, Features = 64
  7781: E[0:04:14]-R[0:01:12]: Return=     -1.53, Steps= 531, Features = 64
  7825: E[0:04:16]-R[0:01:11]: Return=    -1.043, Steps=  44, Features = 64
  8000: >>> E[0:04:21]-R[0:01:05]: Return=    -1.331, Steps=361.66, Features = 64
  8123: E[0:04:26]-R[0:01:01]: Return=    -1.297, Steps= 298, Features = 64
  8193: E[0:04:28]-R[0:00:59]: Return=    -1.069, Steps=  70, Features = 64
  8263: E[0:04:31]-R[0:00:57]: Return=    -1.069, Steps=  70, Features = 64
  8476: E[0:04:37]-R[0:00:50]: Return=    -1.212, Steps= 213, Features = 64
  8647: E[0:04:41]-R[0:00:44]: Return=     -1.17, Steps= 171, Features = 64
  8731: E[0:04:44]-R[0:00:41]: Return=    -1.083, Steps=  84, Features = 64
  8887: E[0:04:50]-R[0:00:36]: Return=    -1.155, Steps= 156, Features = 64
  8931: E[0:04:52]-R[0:00:35]: Return=    -1.043, Steps=  44, Features = 64
  8987: E[0:04:54]-R[0:00:33]: Return=    -1.055, Steps=  56, Features = 64
  9000: >>> E[0:04:55]-R[0:00:33]: Return=    -1.216, Steps=247.49, Features = 64
  9079: E[0:04:57]-R[0:00:30]: Return=    -1.091, Steps=  92, Features = 64
