     0: >>> E[0:00:00]-R[?]: Return=    0.5737, Steps=7.26, Features = 16
  3000: >>> E[0:00:34]-R[0:01:19]: Return=    0.6535, Steps= 7.5, Features = 16
  3098: E[0:00:35]-R[0:01:18]: Return=     0.995, Steps=   6, Features = 16
  3214: E[0:00:36]-R[0:01:16]: Return=     0.995, Steps=   6, Features = 16
  3322: E[0:00:37]-R[0:01:14]: Return=     0.995, Steps=   6, Features = 16
  3416: E[0:00:38]-R[0:01:13]: Return=     0.993, Steps=   8, Features = 16
  3532: E[0:00:39]-R[0:01:12]: Return=     0.993, Steps=   8, Features = 16
  3632: E[0:00:40]-R[0:01:10]: Return=     0.987, Steps=  14, Features = 16
  3728: E[0:00:41]-R[0:01:09]: Return=     0.989, Steps=  12, Features = 16
  3806: E[0:00:42]-R[0:01:09]: Return=     0.991, Steps=  10, Features = 16
  3898: E[0:00:43]-R[0:01:08]: Return=     0.993, Steps=   8, Features = 16
  3992: E[0:00:44]-R[0:01:07]: Return=     0.995, Steps=   6, Features = 16
  4000: >>> E[0:00:45]-R[0:01:07]: Return=    0.7933, Steps=7.72, Features = 16
  4094: E[0:00:46]-R[0:01:06]: Return=    -1.007, Steps=   8, Features = 16
  4196: E[0:00:47]-R[0:01:05]: Return=     0.991, Steps=  10, Features = 16
  4296: E[0:00:48]-R[0:01:03]: Return=     0.985, Steps=  16, Features = 16
  4388: E[0:00:49]-R[0:01:03]: Return=     0.993, Steps=   8, Features = 16
  4468: E[0:00:50]-R[0:01:02]: Return=     0.995, Steps=   6, Features = 16
  4558: E[0:00:51]-R[0:01:01]: Return=     0.987, Steps=  14, Features = 16
  4642: E[0:00:52]-R[0:01:00]: Return=     0.991, Steps=  10, Features = 16
  4746: E[0:00:53]-R[0:00:59]: Return=     0.993, Steps=   8, Features = 16
  4846: E[0:00:54]-R[0:00:58]: Return=     0.993, Steps=   8, Features = 16
  4942: E[0:00:55]-R[0:00:57]: Return=     0.993, Steps=   8, Features = 16
  5000: >>> E[0:00:56]-R[0:00:56]: Return=    0.6938, Steps=7.22, Features = 16
  5070: E[0:00:57]-R[0:00:55]: Return=     0.985, Steps=  16, Features = 16
  5172: E[0:00:58]-R[0:00:54]: Return=     0.993, Steps=   8, Features = 16
  5270: E[0:00:59]-R[0:00:53]: Return=     0.987, Steps=  14, Features = 16
  5362: E[0:01:00]-R[0:00:52]: Return=     0.991, Steps=  10, Features = 16
  5462: E[0:01:01]-R[0:00:51]: Return=     0.993, Steps=   8, Features = 16
  5554: E[0:01:02]-R[0:00:50]: Return=     0.993, Steps=   8, Features = 16
  5642: E[0:01:03]-R[0:00:49]: Return=     0.985, Steps=  16, Features = 16
  5722: E[0:01:04]-R[0:00:48]: Return=     0.989, Steps=  12, Features = 16
  5810: E[0:01:06]-R[0:00:47]: Return=     0.989, Steps=  12, Features = 16
  5894: E[0:01:07]-R[0:00:46]: Return=     0.995, Steps=   6, Features = 16
  6000: >>> E[0:01:08]-R[0:00:45]: Return=    0.6333, Steps=7.74, Features = 16
  6112: E[0:01:09]-R[0:00:44]: Return=    -1.003, Steps=   4, Features = 16
  6210: E[0:01:10]-R[0:00:43]: Return=     0.993, Steps=   8, Features = 16
  6300: E[0:01:11]-R[0:00:42]: Return=     0.995, Steps=   6, Features = 16
  6392: E[0:01:12]-R[0:00:41]: Return=     0.993, Steps=   8, Features = 16
  6480: E[0:01:13]-R[0:00:40]: Return=     0.995, Steps=   6, Features = 16
  6580: E[0:01:14]-R[0:00:38]: Return=     0.993, Steps=   8, Features = 16
  6668: E[0:01:15]-R[0:00:37]: Return=     0.993, Steps=   8, Features = 16
  6758: E[0:01:16]-R[0:00:36]: Return=     0.991, Steps=  10, Features = 16
  6848: E[0:01:17]-R[0:00:35]: Return=    -1.005, Steps=   6, Features = 16
  6954: E[0:01:18]-R[0:00:34]: Return=     0.991, Steps=  10, Features = 16
  7000: >>> E[0:01:19]-R[0:00:34]: Return=    0.6935, Steps=7.52, Features = 16
  7104: E[0:01:20]-R[0:00:32]: Return=     0.987, Steps=  14, Features = 16
  7216: E[0:01:21]-R[0:00:31]: Return=     0.987, Steps=  14, Features = 16
  7334: E[0:01:22]-R[0:00:30]: Return=     0.983, Steps=  18, Features = 16
  7436: E[0:01:23]-R[0:00:29]: Return=     0.991, Steps=  10, Features = 16
  7524: E[0:01:24]-R[0:00:28]: Return=     0.995, Steps=   6, Features = 16
  7610: E[0:01:25]-R[0:00:27]: Return=    -1.005, Steps=   6, Features = 16
  7690: E[0:01:26]-R[0:00:26]: Return=     0.995, Steps=   6, Features = 16
  7776: E[0:01:27]-R[0:00:25]: Return=     0.993, Steps=   8, Features = 16
  7866: E[0:01:28]-R[0:00:24]: Return=     0.989, Steps=  12, Features = 16
  7952: E[0:01:29]-R[0:00:23]: Return=    -1.007, Steps=   8, Features = 16
  8000: >>> E[0:01:30]-R[0:00:22]: Return=    0.6737, Steps=7.28, Features = 16
  8086: E[0:01:31]-R[0:00:21]: Return=     0.993, Steps=   8, Features = 16
  8176: E[0:01:32]-R[0:00:20]: Return=    -1.013, Steps=  14, Features = 16
  8258: E[0:01:33]-R[0:00:20]: Return=     0.985, Steps=  16, Features = 16
  8338: E[0:01:34]-R[0:00:19]: Return=     0.995, Steps=   6, Features = 16
  8434: E[0:01:35]-R[0:00:18]: Return=     0.991, Steps=  10, Features = 16
  8520: E[0:01:36]-R[0:00:17]: Return=     0.991, Steps=  10, Features = 16
  8606: E[0:01:37]-R[0:00:16]: Return=     0.993, Steps=   8, Features = 16
  8696: E[0:01:38]-R[0:00:15]: Return=     0.995, Steps=   6, Features = 16
  8792: E[0:01:39]-R[0:00:14]: Return=     0.993, Steps=   8, Features = 16
  8882: E[0:01:40]-R[0:00:13]: Return=     0.995, Steps=   6, Features = 16
  8974: E[0:01:41]-R[0:00:12]: Return=    -1.003, Steps=   4, Features = 16
  9000: >>> E[0:01:42]-R[0:00:11]: Return=    0.5934, Steps=7.62, Features = 16
  9092: E[0:01:43]-R[0:00:10]: Return=     0.987, Steps=  14, Features = 16
  9166: E[0:01:44]-R[0:00:09]: Return=     0.993, Steps=   8, Features = 16
  9264: E[0:01:45]-R[0:00:08]: Return=    -1.001, Steps=   2, Features = 16
  9378: E[0:01:46]-R[0:00:07]: Return=     0.985, Steps=  16, Features = 16
  9482: E[0:01:47]-R[0:00:06]: Return=    -1.011, Steps=  12, Features = 16
  9578: E[0:01:48]-R[0:00:05]: Return=     0.993, Steps=   8, Features = 16
  9680: E[0:01:49]-R[0:00:04]: Return=     0.995, Steps=   6, Features = 16
  9780: E[0:01:50]-R[0:00:02]: Return=     0.991, Steps=  10, Features = 16
  9882: E[0:01:51]-R[0:00:01]: Return=     0.985, Steps=  16, Features = 16
  9964: E[0:01:52]-R[0:00:00]: Return=     0.993, Steps=   8, Features = 16
 10000: >>> E[0:01:53]-R[0:00:00]: Return=    0.6733, Steps= 7.7, Features = 16
Total Experiment Duration 0:01:53
Output:			./Results/Experiment6/
     0: >>> E[0:00:00]-R[?]: Return=    0.5737, Steps=7.26, Features = 16
    50: E[0:00:01]-R[0:01:48]: Return=     0.987, Steps=  14, Features = 16
   132: E[0:00:02]-R[0:01:56]: Return=     0.989, Steps=  12, Features = 16
   214: E[0:00:03]-R[0:01:59]: Return=     0.995, Steps=   6, Features = 16
   316: E[0:00:04]-R[0:01:54]: Return=     0.985, Steps=  16, Features = 16
   406: E[0:00:05]-R[0:01:53]: Return=     0.991, Steps=  10, Features = 16
   510: E[0:00:06]-R[0:01:49]: Return=     0.991, Steps=  10, Features = 16
   598: E[0:00:07]-R[0:01:48]: Return=     0.995, Steps=   6, Features = 16
   698: E[0:00:08]-R[0:01:46]: Return=     0.991, Steps=  10, Features = 16
   800: E[0:00:09]-R[0:01:43]: Return=     0.995, Steps=   6, Features = 16
   900: E[0:00:10]-R[0:01:42]: Return=     0.991, Steps=  10, Features = 16
   988: E[0:00:11]-R[0:01:41]: Return=     0.995, Steps=   6, Features = 16
  1000: >>> E[0:00:11]-R[0:01:41]: Return=    0.7129, Steps=8.14, Features = 16
  1106: E[0:00:12]-R[0:01:39]: Return=     0.989, Steps=  12, Features = 16
  1174: E[0:00:13]-R[0:01:41]: Return=     0.993, Steps=   8, Features = 16
  1224: E[0:00:14]-R[0:01:44]: Return=     0.991, Steps=  10, Features = 16
  1280: E[0:00:16]-R[0:01:46]: Return=    -1.009, Steps=  10, Features = 16
  1332: E[0:00:17]-R[0:01:49]: Return=     0.989, Steps=  12, Features = 16
  1388: E[0:00:18]-R[0:01:50]: Return=     0.995, Steps=   6, Features = 16
  1480: E[0:00:19]-R[0:01:48]: Return=     0.983, Steps=  18, Features = 16
  1568: E[0:00:20]-R[0:01:47]: Return=     0.995, Steps=   6, Features = 16
  1662: E[0:00:21]-R[0:01:45]: Return=     0.983, Steps=  18, Features = 16
  1756: E[0:00:22]-R[0:01:43]: Return=     0.995, Steps=   6, Features = 16
  1862: E[0:00:23]-R[0:01:40]: Return=     0.993, Steps=   8, Features = 16
  1962: E[0:00:24]-R[0:01:38]: Return=     0.993, Steps=   8, Features = 16
  2000: >>> E[0:00:24]-R[0:01:38]: Return=    0.6138, Steps=7.22, Features = 16
  2104: E[0:00:26]-R[0:01:36]: Return=     0.995, Steps=   6, Features = 16
  2192: E[0:00:27]-R[0:01:35]: Return=    -1.001, Steps=   2, Features = 16
  2270: E[0:00:28]-R[0:01:34]: Return=     0.993, Steps=   8, Features = 16
  2364: E[0:00:29]-R[0:01:33]: Return=     0.991, Steps=  10, Features = 16
  2464: E[0:00:30]-R[0:01:31]: Return=     0.993, Steps=   8, Features = 16
  2556: E[0:00:31]-R[0:01:29]: Return=     0.995, Steps=   6, Features = 16
  2648: E[0:00:32]-R[0:01:28]: Return=     0.995, Steps=   6, Features = 16
  2740: E[0:00:33]-R[0:01:27]: Return=    -1.003, Steps=   4, Features = 16
  2842: E[0:00:34]-R[0:01:25]: Return=     0.995, Steps=   6, Features = 16
  2936: E[0:00:35]-R[0:01:24]: Return=    -1.005, Steps=   6, Features = 16
  3000: >>> E[0:00:36]-R[0:01:23]: Return=    0.6535, Steps= 7.5, Features = 16
  3092: E[0:00:37]-R[0:01:22]: Return=     0.991, Steps=  10, Features = 16
  3188: E[0:00:38]-R[0:01:21]: Return=    -1.003, Steps=   4, Features = 16
  3286: E[0:00:39]-R[0:01:20]: Return=     0.993, Steps=   8, Features = 16
  3384: E[0:00:40]-R[0:01:18]: Return=     0.979, Steps=  22, Features = 16
  3484: E[0:00:41]-R[0:01:17]: Return=     0.985, Steps=  16, Features = 16
  3580: E[0:00:42]-R[0:01:16]: Return=     0.991, Steps=  10, Features = 16
  3684: E[0:00:43]-R[0:01:14]: Return=     0.993, Steps=   8, Features = 16
  3778: E[0:00:44]-R[0:01:13]: Return=     0.995, Steps=   6, Features = 16
  3862: E[0:00:45]-R[0:01:12]: Return=     0.987, Steps=  14, Features = 16
  3970: E[0:00:46]-R[0:01:10]: Return=     0.995, Steps=   6, Features = 16
  4000: >>> E[0:00:47]-R[0:01:10]: Return=    0.7933, Steps=7.72, Features = 16
  4102: E[0:00:48]-R[0:01:09]: Return=     0.995, Steps=   6, Features = 16
  4196: E[0:00:49]-R[0:01:07]: Return=     0.991, Steps=  10, Features = 16
  4296: E[0:00:50]-R[0:01:06]: Return=     0.985, Steps=  16, Features = 16
  4388: E[0:00:51]-R[0:01:05]: Return=     0.993, Steps=   8, Features = 16
  4486: E[0:00:52]-R[0:01:04]: Return=    -1.009, Steps=  10, Features = 16
  4558: E[0:00:53]-R[0:01:03]: Return=     0.987, Steps=  14, Features = 16
  4612: E[0:00:54]-R[0:01:03]: Return=    -1.005, Steps=   6, Features = 16
  4666: E[0:00:55]-R[0:01:03]: Return=     0.995, Steps=   6, Features = 16
  4718: E[0:00:56]-R[0:01:03]: Return=     0.991, Steps=  10, Features = 16
  4794: E[0:00:57]-R[0:01:02]: Return=     0.995, Steps=   6, Features = 16
  4898: E[0:00:59]-R[0:01:01]: Return=     0.983, Steps=  18, Features = 16
  4990: E[0:01:00]-R[0:01:00]: Return=     0.995, Steps=   6, Features = 16
  5000: >>> E[0:01:00]-R[0:01:00]: Return=    0.6938, Steps=7.22, Features = 16
  5094: E[0:01:01]-R[0:00:59]: Return=     0.991, Steps=  10, Features = 16
  5198: E[0:01:02]-R[0:00:57]: Return=     0.993, Steps=   8, Features = 16
  5292: E[0:01:03]-R[0:00:56]: Return=     0.995, Steps=   6, Features = 16
  5390: E[0:01:04]-R[0:00:55]: Return=     0.987, Steps=  14, Features = 16
  5482: E[0:01:05]-R[0:00:54]: Return=     0.993, Steps=   8, Features = 16
  5578: E[0:01:06]-R[0:00:52]: Return=     0.995, Steps=   6, Features = 16
  5680: E[0:01:07]-R[0:00:51]: Return=     0.991, Steps=  10, Features = 16
  5778: E[0:01:08]-R[0:00:50]: Return=     0.991, Steps=  10, Features = 16
  5876: E[0:01:09]-R[0:00:49]: Return=    -1.003, Steps=   4, Features = 16
  5974: E[0:01:10]-R[0:00:47]: Return=     0.993, Steps=   8, Features = 16
  6000: >>> E[0:01:11]-R[0:00:47]: Return=    0.6333, Steps=7.74, Features = 16
  6098: E[0:01:12]-R[0:00:46]: Return=     0.977, Steps=  24, Features = 16
  6186: E[0:01:13]-R[0:00:45]: Return=     0.993, Steps=   8, Features = 16
  6276: E[0:01:14]-R[0:00:44]: Return=     0.995, Steps=   6, Features = 16
  6374: E[0:01:15]-R[0:00:42]: Return=     0.991, Steps=  10, Features = 16
  6474: E[0:01:16]-R[0:00:41]: Return=     0.995, Steps=   6, Features = 16
  6572: E[0:01:17]-R[0:00:40]: Return=     0.995, Steps=   6, Features = 16
  6668: E[0:01:18]-R[0:00:39]: Return=     0.993, Steps=   8, Features = 16
  6772: E[0:01:19]-R[0:00:38]: Return=     0.993, Steps=   8, Features = 16
  6868: E[0:01:20]-R[0:00:36]: Return=     0.995, Steps=   6, Features = 16
  6964: E[0:01:21]-R[0:00:35]: Return=     0.991, Steps=  10, Features = 16
  7000: >>> E[0:01:21]-R[0:00:35]: Return=    0.6935, Steps=7.52, Features = 16
  7114: E[0:01:22]-R[0:00:33]: Return=     0.991, Steps=  10, Features = 16
  7216: E[0:01:24]-R[0:00:32]: Return=     0.987, Steps=  14, Features = 16
  7310: E[0:01:25]-R[0:00:31]: Return=     0.991, Steps=  10, Features = 16
  7406: E[0:01:26]-R[0:00:30]: Return=     0.995, Steps=   6, Features = 16
  7514: E[0:01:27]-R[0:00:29]: Return=     0.983, Steps=  18, Features = 16
  7620: E[0:01:28]-R[0:00:27]: Return=     0.991, Steps=  10, Features = 16
  7724: E[0:01:29]-R[0:00:26]: Return=     0.995, Steps=   6, Features = 16
  7824: E[0:01:30]-R[0:00:25]: Return=     0.987, Steps=  14, Features = 16
  7896: E[0:01:31]-R[0:00:24]: Return=     0.989, Steps=  12, Features = 16
  7952: E[0:01:32]-R[0:00:24]: Return=    -1.007, Steps=   8, Features = 16
  8000: >>> E[0:01:33]-R[0:00:23]: Return=    0.6737, Steps=7.28, Features = 16
  8042: E[0:01:34]-R[0:00:23]: Return=     0.995, Steps=   6, Features = 16
  8092: E[0:01:35]-R[0:00:22]: Return=     0.995, Steps=   6, Features = 16
  8162: E[0:01:36]-R[0:00:22]: Return=     0.993, Steps=   8, Features = 16
  8258: E[0:01:38]-R[0:00:21]: Return=     0.985, Steps=  16, Features = 16
  8360: E[0:01:39]-R[0:00:19]: Return=     0.993, Steps=   8, Features = 16
  8456: E[0:01:40]-R[0:00:18]: Return=     0.987, Steps=  14, Features = 16
  8546: E[0:01:41]-R[0:00:17]: Return=     0.993, Steps=   8, Features = 16
  8640: E[0:01:42]-R[0:00:16]: Return=     0.989, Steps=  12, Features = 16
  8730: E[0:01:43]-R[0:00:15]: Return=     0.995, Steps=   6, Features = 16
  8820: E[0:01:44]-R[0:00:14]: Return=     0.993, Steps=   8, Features = 16
  8912: E[0:01:45]-R[0:00:13]: Return=     0.991, Steps=  10, Features = 16
  9000: >>> E[0:01:46]-R[0:00:12]: Return=    0.5934, Steps=7.62, Features = 16
  9098: E[0:01:47]-R[0:00:11]: Return=     0.995, Steps=   6, Features = 16
  9194: E[0:01:48]-R[0:00:09]: Return=     0.995, Steps=   6, Features = 16
  9296: E[0:01:49]-R[0:00:08]: Return=     0.995, Steps=   6, Features = 16
  9378: E[0:01:50]-R[0:00:07]: Return=     0.985, Steps=  16, Features = 16
  9492: E[0:01:51]-R[0:00:06]: Return=     0.991, Steps=  10, Features = 16
  9602: E[0:01:52]-R[0:00:05]: Return=     0.991, Steps=  10, Features = 16
  9704: E[0:01:53]-R[0:00:03]: Return=     0.987, Steps=  14, Features = 16
  9798: E[0:01:54]-R[0:00:02]: Return=    -1.005, Steps=   6, Features = 16
  9882: E[0:01:55]-R[0:00:01]: Return=     0.985, Steps=  16, Features = 16
  9964: E[0:01:56]-R[0:00:00]: Return=     0.993, Steps=   8, Features = 16
 10000: >>> E[0:01:57]-R[0:00:00]: Return=    0.6733, Steps= 7.7, Features = 16
Total Experiment Duration 0:01:57
Output:			./Results/Experiment6/
     0: >>> E[0:00:00]-R[?]: Return=    -1.012, Steps=13.02, Features = 64
    21: E[0:00:00]-R[0:03:15]: Return=    -1.007, Steps=   8, Features = 64
    78: E[0:00:01]-R[0:03:10]: Return=    -1.037, Steps=  38, Features = 64
   135: E[0:00:03]-R[0:03:07]: Return=    -1.012, Steps=  13, Features = 64
   211: E[0:00:04]-R[0:03:09]: Return=    -1.031, Steps=  32, Features = 64
   272: E[0:00:05]-R[0:03:05]: Return=    -1.035, Steps=  36, Features = 64
   329: E[0:00:06]-R[0:03:04]: Return=     -1.01, Steps=  11, Features = 64
   386: E[0:00:07]-R[0:03:01]: Return=    -1.012, Steps=  13, Features = 64
   442: E[0:00:08]-R[0:03:00]: Return=    -1.006, Steps=   7, Features = 64
   510: E[0:00:10]-R[0:02:58]: Return=    -1.015, Steps=  16, Features = 64
   681: E[0:00:13]-R[0:02:54]: Return=     -1.17, Steps= 171, Features = 64
   834: E[0:00:15]-R[0:02:50]: Return=    -1.152, Steps= 153, Features = 64
   922: E[0:00:17]-R[0:02:48]: Return=    -1.087, Steps=  88, Features = 64
   993: E[0:00:18]-R[0:02:46]: Return=    -1.034, Steps=  35, Features = 64
  1000: >>> E[0:00:19]-R[0:02:47]: Return=    -1.018, Steps=18.62, Features = 64
  1096: E[0:00:20]-R[0:02:44]: Return=    -1.053, Steps=  54, Features = 64
  1191: E[0:00:22]-R[0:02:42]: Return=    -1.056, Steps=  57, Features = 64
  1296: E[0:00:24]-R[0:02:41]: Return=    -1.092, Steps=  93, Features = 64
  1368: E[0:00:25]-R[0:02:40]: Return=    -1.071, Steps=  72, Features = 64
  1448: E[0:00:27]-R[0:02:38]: Return=    -1.079, Steps=  80, Features = 64
  1518: E[0:00:28]-R[0:02:38]: Return=    -1.017, Steps=  18, Features = 64
  1569: E[0:00:29]-R[0:02:37]: Return=    -1.033, Steps=  34, Features = 64
  1629: E[0:00:30]-R[0:02:36]: Return=    -1.059, Steps=  60, Features = 64
  1701: E[0:00:32]-R[0:02:34]: Return=    -1.071, Steps=  72, Features = 64
  1807: E[0:00:34]-R[0:02:32]: Return=    -1.105, Steps= 106, Features = 64
  1918: E[0:00:36]-R[0:02:30]: Return=    -1.058, Steps=  59, Features = 64
  2000: >>> E[0:00:37]-R[0:02:28]: Return=    -1.155, Steps=156.25, Features = 64
  2135: E[0:00:40]-R[0:02:26]: Return=    -1.216, Steps= 217, Features = 64
  2188: E[0:00:41]-R[0:02:25]: Return=    -1.052, Steps=  53, Features = 64
  2237: E[0:00:42]-R[0:02:25]: Return=    -1.009, Steps=  10, Features = 64
  2297: E[0:00:43]-R[0:02:25]: Return=    -1.059, Steps=  60, Features = 64
  2504: E[0:00:47]-R[0:02:22]: Return=    -1.206, Steps= 207, Features = 64
  2601: E[0:00:49]-R[0:02:20]: Return=    -1.096, Steps=  97, Features = 64
  2659: E[0:00:50]-R[0:02:19]: Return=    -1.057, Steps=  58, Features = 64
  2726: E[0:00:52]-R[0:02:18]: Return=    -1.066, Steps=  67, Features = 64
  2885: E[0:00:55]-R[0:02:15]: Return=    -1.136, Steps= 137, Features = 64
  2966: E[0:00:57]-R[0:02:14]: Return=    -1.047, Steps=  48, Features = 64
  3000: >>> E[0:00:57]-R[0:02:14]: Return=    -1.007, Steps=28.26, Features = 64
  3111: E[0:01:00]-R[0:02:12]: Return=      -1.1, Steps= 101, Features = 64
  3196: E[0:01:01]-R[0:02:10]: Return=    -1.084, Steps=  85, Features = 64
  3257: E[0:01:03]-R[0:02:10]: Return=     -1.06, Steps=  61, Features = 64
  3337: E[0:01:04]-R[0:02:09]: Return=    -1.079, Steps=  80, Features = 64
  3372: E[0:01:06]-R[0:02:09]: Return=    -1.024, Steps=  25, Features = 64
  3418: E[0:01:07]-R[0:02:08]: Return=     -1.01, Steps=  11, Features = 64
  3504: E[0:01:08]-R[0:02:07]: Return=    -1.076, Steps=  77, Features = 64
  3562: E[0:01:10]-R[0:02:06]: Return=    -1.057, Steps=  58, Features = 64
  3633: E[0:01:11]-R[0:02:04]: Return=     -1.07, Steps=  71, Features = 64
  3683: E[0:01:12]-R[0:02:03]: Return=    -1.032, Steps=  33, Features = 64
  3797: E[0:01:14]-R[0:02:01]: Return=    -1.113, Steps= 114, Features = 64
  3890: E[0:01:16]-R[0:02:00]: Return=    -1.063, Steps=  64, Features = 64
  3947: E[0:01:18]-R[0:01:59]: Return=    -1.056, Steps=  57, Features = 64
  4000: >>> E[0:01:19]-R[0:01:58]: Return=    -1.036, Steps=36.87, Features = 64
  4049: E[0:01:20]-R[0:01:57]: Return=    -1.036, Steps=  37, Features = 64
  4112: E[0:01:21]-R[0:01:56]: Return=    -1.028, Steps=  29, Features = 64
  4167: E[0:01:22]-R[0:01:55]: Return=    -1.054, Steps=  55, Features = 64
  4223: E[0:01:23]-R[0:01:54]: Return=    -1.055, Steps=  56, Features = 64
  4274: E[0:01:24]-R[0:01:53]: Return=    -1.012, Steps=  13, Features = 64
  4323: E[0:01:26]-R[0:01:52]: Return=    -1.009, Steps=  10, Features = 64
  4369: E[0:01:27]-R[0:01:52]: Return=    -1.024, Steps=  25, Features = 64
  4417: E[0:01:28]-R[0:01:51]: Return=    -1.028, Steps=  29, Features = 64
  4546: E[0:01:30]-R[0:01:48]: Return=     -1.12, Steps= 121, Features = 64
  4647: E[0:01:33]-R[0:01:47]: Return=     0.931, Steps=  70, Features = 64
  4706: E[0:01:35]-R[0:01:47]: Return=     0.969, Steps=  32, Features = 64
  4810: E[0:01:37]-R[0:01:45]: Return=    -1.083, Steps=  84, Features = 64
  4866: E[0:01:39]-R[0:01:44]: Return=    -1.026, Steps=  27, Features = 64
  4951: E[0:01:41]-R[0:01:43]: Return=    -1.038, Steps=  39, Features = 64
  5000: E[0:01:42]-R[0:01:42]: Return=    -1.037, Steps=  38, Features = 64
  5000: >>> E[0:01:42]-R[0:01:42]: Return=   -0.6995, Steps=60.45, Features = 64
  5104: E[0:01:44]-R[0:01:40]: Return=    -1.079, Steps=  80, Features = 64
  5134: E[0:01:45]-R[0:01:40]: Return=    -1.008, Steps=   9, Features = 64
  5166: E[0:01:47]-R[0:01:40]: Return=    -1.016, Steps=  17, Features = 64
  5195: E[0:01:48]-R[0:01:40]: Return=     -1.01, Steps=  11, Features = 64
  5249: E[0:01:49]-R[0:01:39]: Return=    -1.053, Steps=  54, Features = 64
  5299: E[0:01:52]-R[0:01:39]: Return=    -1.024, Steps=  25, Features = 64
  5328: E[0:01:53]-R[0:01:39]: Return=    -1.028, Steps=  29, Features = 64
  5373: E[0:01:55]-R[0:01:39]: Return=    -1.044, Steps=  45, Features = 64
  5619: E[0:02:04]-R[0:01:36]: Return=    -1.222, Steps= 223, Features = 64
  5818: E[0:02:09]-R[0:01:32]: Return=    -1.198, Steps= 199, Features = 64
  5892: E[0:02:10]-R[0:01:31]: Return=    -1.058, Steps=  59, Features = 64
  5959: E[0:02:12]-R[0:01:29]: Return=    -1.031, Steps=  32, Features = 64
  6000: >>> E[0:02:13]-R[0:01:29]: Return=    -1.027, Steps=48.34, Features = 64
  6073: E[0:02:14]-R[0:01:27]: Return=     -1.05, Steps=  51, Features = 64
  6143: E[0:02:16]-R[0:01:25]: Return=    -1.036, Steps=  37, Features = 64
  6286: E[0:02:19]-R[0:01:22]: Return=    -1.142, Steps= 143, Features = 64
  6515: E[0:02:23]-R[0:01:17]: Return=    -1.222, Steps= 223, Features = 64
  6612: E[0:02:25]-R[0:01:15]: Return=    -1.096, Steps=  97, Features = 64
  6723: E[0:02:28]-R[0:01:12]: Return=     -1.11, Steps= 111, Features = 64
